season,episode,
2,11,https://community-sitcom.fandom.com/wiki/Abed%27s_Uncontrollable_Christmas/Transcript
1,5,https://community-sitcom.fandom.com/wiki/Advanced_Criminal_Law/Transcript
2,14,https://community-sitcom.fandom.com/wiki/Advanced_Dungeons_%26_Dragons/Transcript
6,6,https://community-sitcom.fandom.com/wiki/Basic_Email_Security/Transcript
2,4,https://community-sitcom.fandom.com/wiki/Basic_Rocket_Science/Transcript
2,13,https://community-sitcom.fandom.com/wiki/Celebrity_Pharmacology_212/Transcript
3,2,https://community-sitcom.fandom.com/wiki/Competitive_Ecology/Transcript
2,8,https://community-sitcom.fandom.com/wiki/Cooperative_Calligraphy/Transcript
2,19,https://community-sitcom.fandom.com/wiki/Critical_Film_Studies/Transcript
3,20,https://community-sitcom.fandom.com/wiki/Digital_Estate_Planning/Transcript
6,13,https://community-sitcom.fandom.com/wiki/Emotional_Consequences_of_Broadcast_Television/Transcript
3,9,https://community-sitcom.fandom.com/wiki/Foosball_and_Nocturnal_Vigilantism/Transcript
1,6,"https://community-sitcom.fandom.com/wiki/Football,_Feminism_and_You/Transcript"
1,8,https://community-sitcom.fandom.com/wiki/Home_Economics/Transcript
4,9,https://community-sitcom.fandom.com/wiki/Intro_to_Felt_Surrogacy/Transcript
4,10,https://community-sitcom.fandom.com/wiki/Intro_to_Knots/Transcript
1,2,https://community-sitcom.fandom.com/wiki/Introduction_to_Film/Transcript
3,22,https://community-sitcom.fandom.com/wiki/Introduction_to_Finality/Transcript
2,10,https://community-sitcom.fandom.com/wiki/Mixology_Certification/Transcript
3,15,https://community-sitcom.fandom.com/wiki/Origins_of_Vampire_Mythology/Transcript
2,21,https://community-sitcom.fandom.com/wiki/Paradigms_of_Human_Memory/Transcript
1,1,https://community-sitcom.fandom.com/wiki/Pilot/Transcript
3,4,https://community-sitcom.fandom.com/wiki/Remedial_Chaos_Theory/Transcript
1,4,https://community-sitcom.fandom.com/wiki/Social_Psychology/Transcript
1,2,https://community-sitcom.fandom.com/wiki/Spanish_101/Transcript
3,7,https://community-sitcom.fandom.com/wiki/Studies_in_Modern_Movement/Transcript
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
