No.,No. in,Title,Directed by,Written by,Original release date,Prod.,U.S. viewers,IMDB Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,season,,,,,code [25],(millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"""Pilot""",Anthony Russo & Joe Russo,Dan Harmon,"September 17, 2009",100,7.89[26],7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"""Spanish 101""",Joe Russo,Dan Harmon,"September 24, 2009",101,5.39[27],7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"""Introduction to Film""",Anthony Russo,Tim Hobert & Jon Pollack,"October 1, 2009",102,5.86[28],8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"""Social Psychology""",Anthony Russo,Liz Cackowski,"October 8, 2009",104,4.87[29],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,"""Advanced Criminal Law""",Joe Russo,Andrew Guest,"October 15, 2009",105,5.01[30],7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,"""Football, Feminism and You""",Joe Russo,Hilary Winston,"October 22, 2009",103,5.04[31],7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"""Introduction to Statistics""",Justin Lin,Tim Hobert & Jon Pollack,"October 29, 2009",106,5.32[32],8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,"""Home Economics""",Anthony Russo,Lauren Pomerantz,"November 5, 2009",107,5.45[33],7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,"""Debate 109""",Joe Russo,Tim Hobert,"November 12, 2009",109,5.09[34],8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,"""Environmental Science""",Seth Gordon,Zach Paez,"November 19, 2009",108,4.86[35],8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,"""The Politics of Human Sexuality""",Anthony Russo,Hilary Winston,"December 3, 2009",110,5.42[36],7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,"""Comparative Religion""",Adam Davidson,Liz Cackowski,"December 10, 2009",111,5.51[37],8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,"""Investigative Journalism""",Joe Russo,Jon Pollack & Tim Hobert,"January 14, 2010",113,5.42[38],7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,"""Interpretive Dance""",Justin Lin,Lauren Pomerantz,"January 21, 2010",112,4.75[39],7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,"""Romantic Expressionism""",Joe Russo,Andrew Guest,"February 4, 2010",115,5.23[40],7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,"""Communication Studies""",Adam Davidson,Chris McKenna,"February 11, 2010",116,5.15[41],8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,"""Physical Education""",Anthony Russo,Jessie Miller,"March 4, 2010",118,5.02[42],8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,"""Basic Genealogy""",Ken Whittingham,Karey Dornetto,"March 11, 2010",117,4.60[43],7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,"""Beginner Pottery""",Anthony Russo,Hilary Winston,"March 18, 2010",114,5.07[44],8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,"""The Science of Illusion""",Adam Davidson,Zach Paez,"March 25, 2010",122,5.07[45],8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,"""Contemporary American Poultry""",Tristram Shapeero,Emily Cutler & Karey Dornetto,"April 22, 2010",123,3.67[46],9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,"""The Art of Discourse""",Adam Davidson,Chris McKenna,"April 29, 2010",124,4.36[47],7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,"""Modern Warfare""",Justin Lin,Emily Cutler,"May 6, 2010",119,4.35[48],9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,"""English as a Second Language""",Gail Mancuso,Tim Hobert,"May 13, 2010",120,4.49[49],8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,"""Pascal's Triangle Revisited""",Joe Russo,Hilary Winston,"May 20, 2010",121,4.43[50],8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season 2 (2010–11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
