character,line
Pierce,"So then the guy says to the housekeeper, ""make sure she's dead."" Stop me if you heard this one before."
Jeff,Would have been nice to have that option 27 minutes ago.
Pierce,"The housekeeper says to the guy, ""we don't have a pool."" And the guy says... DEAN PELTON: Good morning, Greendale! Just a reminder, our debate team will bring home the championship tomorrow versus city college. Go, human beings!"
Pierce,"]Great. Now I got to start the whole joke over again. Okay, so this guy"
Britta,"No! I've got one for you. A doddering old fool walks into a bar, tells a stupid joke, and I crush his windpipe with my three-ring binder."
Shirley,I don't get it.
Jeff,Britta's trying to give up cigarettes.
Britta,Don't tell them my business. I will slap that smug look right off your pointy face.
Jeff,"Britta, I'm saying this because I care about you and you're my friend. You need to start smoking again."
Annie/Pierce/Shirley,"I really think you should. Absolutely. They say it makes you lose weight, and your skin looks really great when you do smoke."
Britta,"Guys, I really appreciate your support, but I've got to quit this time."
Pierce,Have you thought about hypnotherapy? I know a dynamite hypnotherapist.
Jeff,Ten-to-one says it's him.
Pierce,His name is Pierce Hawthorne. And I'm very effective.
Jeff,Can you help me block out people's voices; I find extremely annoying?
Pierce,"Jeff, she's right there."
Britta,"Pierce, I would be grateful for your help."
Pierce,You would? Super. I'll set it up.
Britta,"What? I feel bad for him. Plus, I just yelled at him."
Jeff,You yelled at me too.
Britta,"Oh, did I hurt your feelings, pointy face?"
Jeff,Wow. Wow.
Troy,Have you seen the film department's web site?
Jeff,What do you think?
Troy,All of Abed's films are about us.
Shirley,What?
Troy,Check it out.
Film Jeff,What else is new?
Film Study Group,Jeff.
Film Jeff,Hola.
Film Britta,"Jeff, stop being so relaxed. We need to talk to you about..."
Film Shirley,"We know you're living out of your car. Why, on lord's good earth, are you living out of your car, boy?"
Britta,Those people look just like us. That's eerie.
Film Jeff,"Fine, it's true. I'm living out of my car. And I don't want anyone's help."
Britta,We had almost that exact conversation last week.
Troy,"Yeah, but Abed posted this video two weeks ago."
Shirley,That boy's a soothsayer.
Troy,This is wrinkling my brain.
Film Troy,This is wrinkling my brain.
Troy,That's wrinkling my brain.
Film Pierce,Get a load of these wrinkles.
Pierce,Who's that old guy?
Film Pierce,"Hi, I'm Pierce Hawthorne."
Pierce,"Oh, come on! give me some rope, time in a tree give me the hope to run out of steam somebody said we could be here we could be roped up, tied up, dead in a year I can't count the reasons I should stay one by one they all just fade away"
Dean Pelton,"There he is. Oh, Mr. Winger... Mr. Winger, did you happen to hear my announcement this morning?"
Jeff,I hang on every word.
Dean Pelton,I'm gonna assume that's sarcasm.
Jeff,Correct.
Dean Pelton,So you didn't hear my announcement?
Jeff,I'm barely listening now.
Dean Pelton,Oh.
Annie,"My debate partner dropped out, and we need you to fill in for him at the championship tonight."
Professor Whitman,"Jeffrey, as debate coach, I am offering you an opportunity to spend the night drinking from the cup of life rather than romancing your nether regions in front of the e! channel."
Dean Pelton,"Come on, Jeff. I mean, who better than a former lawyer to really stick it to those City College snobs and their star debater Simmons?"
Jeff,"Mm, pass."
Dean Pelton,"Okay. No, no. Okay, wait. Wait. Okay, no, no. Look. Listen, jerkwad- I'm sorry. That got heated. Greendale needs a win. The best compliment our sports program gets is that our basketball team is really g*y, so what's it gonna take? You know, a plum parking space, free meals, a night of companionship - if you know what I mean."
