character,line
Troy,Why does being a librarian make her hotter?
Abed,"They're keepers of knowledge, she answers questions. Like ""Will you marry me?"" And ""Why are there still libraries?"""
Troy,"I wanna be a book. She could pick me up, flip through my pages, make sure nobody drew wieners in me. Mm-hm."
Abed,"Hey, maybe if we're too loud, she'll shush us."
Troy,Okay.
Abed,Books!
Troy,Pretend like you're asleep.
Troy,"Jeff, what do you do when you and your best friend wanna ask the same girl to the dance, but neither have dibs? You both fell in love at first sight."
Jeff,"I don't believe in dibs, love at first sight, love, best friends or doing things, but it's good you brought this to me."
Abed,"Gonna have to open your heart eventually, Jeff."
Jeff,What if I don't? I miss the heart opening deadline?
Pierce,"Valentine's, Crapentine's."
Jeff,Opening my heart is on my list.
Shirley,"Pierce, what was that?"
Pierce,Gum.
Annie,Why aren't you chewing?
Pierce,Because I'm using my mouth for this dumb conversation.
Britta,Bye.
Page,Bye.
Britta,"That's my friend Page. She's cool, but whatever."
Troy,She's cute.
Britta,"Oh, Troy. Heh. Before you go barking up that tree, she might not be interested."
Annie,Why wouldn't she be...? Oh. Is she a friend of Ellen?
Britta,"Yes, Annie, but you can say the word. Page is a lesbian. Pierce, as someone who's been calling me a lesbian for the last year and a half, I'm sure you don't have anything to say about me being friends with one."
Pierce,"Nothing off the cuff. What I do have is a prepared statement. Give me some rope, time in a tree give me the hope to run out of steam somebody said we could be here we could be roped up, tied up, dead in a year I can't count the reasons I should stay one by one they all just fade away"
Pierce,"And in summation, good luck and bon appétit."
Jeff,"Many, many paragraphs of that were oddly supportive."
Pierce,Wait till you hear the one I have for you.
Shirley,"Okay, I know that wasn't gum."
Pierce,"You're right. It was an awesome exit pill. Zip, zop, zooey. Bye."
Shirley,We gotta do something about those painkillers.
Jeff,He's recovering from broken legs.
Troy,He sure is. Dude can moonwalk.
Jeff,"He's almost through his prescription. Besides, he's a baby boomer. They invented drugs."
Britta,"Yeah, they also invented TV. Have you seen him control one of those?"
Annie,Intervention? Intervention?
Jeff,Count me out.
Shirley,We can't count you out. He listens to you.
Jeff,He also listens to the Barenaked Ladies. Go get their dumb asses to help you.
Britta,Back it up.
Troy,"Okay, Jeff. You are clearly in a bad space today, but Pierce is our friend and the Barenaked Ladies are triple platinum. Are you?"
Jeff,Why does everyone leap to defend that band so aggressively? And how much stuff do we have to go through before my friendship stops being questioned?
Annie,Maybe friendship is about going through a lot of stuff. And maybe BNL has two Billboard Awards to your zero.
Jeff,"Oh, they're ""BNL"" now? We need a shorthand for the Barenaked Ladies. That's how fundamental they are. You know what Pierce probably needs more than anything? Some space. Maybe I do too."
Britta,"Maybe we all need some space to pull the knife out of the back of the most celebrated Canadian alt-rock band of the mid-'90s, you selfish, jaded a*s."
Jeff,This is a fight. We are fighting.
Duncan,Jeff. Hello. I hear you're fighting with your group.
Jeff,Correct.
Duncan,"You won't know this, being American, but tonight, Liverpool are playing..."
Jeff,"Manchester United. I'm a stylish American, professor. I've been forcing myself to be into soccer since 2004."
Duncan,"Oh, then it's destiny. God gave you a British friend and a massive TV for a reason."
Jeff,"Oh, it's Valentine's day. Even though we're fighting, I did promise the group I'd go to the dance."
Duncan,"You promised the study group? Whip crack. I'll see you at precisely 6:30, or, as the English call it, gravedigger's biscuits. Okay? Ha!"
Tiny Man,"That moonwalk back there was streets ahead, buddy."
Pierce,"Hey, thanks, buddy."
Tiny Man,"Hey, Pierce. Hey, it's you. Yeah, the tiny man you see when you take enough pills. We have a good time, don't we, Pierce?"
Pierce,I ain't hurting.
Tiny Man,"And you wanna keep this going, right? Because I'm sure you've noticed, the prescription is almost done."
Pierce,"Heh, heh. I don't think the doctor... You know, he won't..."
Tiny Man,"Pierce, if doctors are so smart, why are there millions of them? Look in your hand. It's Valentine's, buddy. Be mine."
Abed,"Ahem. Mariah, Abed Nadir. My associate, Troy Barnes."
Troy,"Charmed, I'm sure."
Mariah,"Are you the guys who keep staring at me and intermittently yelling out ""books""?"
Troy,The very same. We're both interested in taking you to the dance. But we are also best friends with each other.
Abed,"It is important we protect that friendship from the stresses of courting. So we're trying to be direct. Will you go to the dance with one of us, and if so, which one?"
Mariah,We need to get something straight first. This is the cutest thing that's ever happened to me. But I don't know either one of you.
Abed,Give us a moment. New proposal: Get to know us at the dance and decide which of us you'd like to see again.
Mariah,"Okay, deal."
Troy,Nice.
Mariah,What's in the briefcase?
Troy,"Oh, tacos. You want one?"
Mariah,No.
Troy,"Great, we really wanted them."
Abed,"Yeah, we're gonna eat them."
Annie,"So, like, would you change clothes in front of her?"
Britta,"Annie, I know your lack of world experience creates curiosity, but questions like that can make you seem a bit h*m*."
Annie,It's h*m* to ask questions?
Britta,"If you have to ask if it's h*m* to ask questions, haven't you already answered your own question?"
Annie,Have I?
Britta,"Don't know. Not a h*m*. Oh. Oh, there's Page. Should I ask her 500 questions about being a lesbian? Or should I just treat her like a normal person? That's a question you can ask."
Britta,"Hey, how are you? What's going on? PAGE'"
S Friend,Hey.
Annie,Hi. PAGE'
S Friend,I'm not a lesbian.
Annie,Oh. I'm not either. But it's cool that you're friends with one. PAGE'
S Friend,"Oh. Page isn't a lesbian. She just likes hanging out with Britta. It makes her feel cool to have a lesbian friend. Heh, heh."
Annie,But Britta's not a lesbian. She thinks that Page is.
Britta,"Guess what, Annie. Page and I are going to the dance together. Hope I stay straight, right? Oh, sorry, my friend's a tad h*m*, so I was doing a bit. PAGE'"
S Friend,Oh... Heh.
Britta,Bye.
Duncan,Pretty exciting first half.
Jeff,"Yeah, zero-zero. Electrifying."
Duncan,Worried that your six-headed ball and chain will be calling?
Jeff,Fine.
Duncan,"That's better, you big sl*t."
Jeff,It's Chang.
Duncan,Chang? Why?
Jeff,I don't know.
Chang,I can hear you guys.
Jeff,"What are you doing here, Chang? And how do you know where I live?"
Chang,I can answer both of those questions by returning your driver's license. Ah. There it is. Man U versus Liverpool.
Duncan,"For God's sakes, just let him in. He's wearing the right colors and everything. Come in."
Chang,"Don't mind if I Chang. Hey, hey. Hey, man, check this out. Ya-tah!"
Chang,The thing I was going to show you guys was pretty cool.
Jeff,I'm ignoring you and watching soccer.
Duncan,"Just sit down, Chang. There's space for three fannies on this sofa."
Chang,"In England, fanny means vag*na right?"
Duncan,"In England, everything means vag*na."
Chang,"I'm gonna make it up to you. Even though, like I said, weird place to put a lamp. But let me order a pizza."
Duncan,"Ooh, I love pizza. In England, we call them ""Italian fannies."""
Chang,I'm hooking us up. Celly.
Jeff,"Uh, go use the landline."
Chang,"Landline? Okay, Grandma Bell. Star-Burns. It's Chang. Remember that pizza you owe me? Well, it's time to pay up. Party at Winger's tonight. Yeah, you can tell people. Cool. Cool."
Starbucks,Wingding at Wingers. Wingding at Wingers.
Abed,"So, Mariah, what you get with me is the complete package. HBO, Showtime, Starz, Starz Black."
Mariah,Sounds expensive.
Troy,"With all due respect to my friend, if you go with me, you can expect this on the dance floor Go, go, go..."
Page,I feel like everyone's staring. Not that I care.
Britta,"Well, of course they're staring. They've probably never seen a straight girl and a lesbian so comfortable together. Exactly."
Page,Those two were talking about us.
Britta,"Well, let's give them something to really talk about."
Page,Let's do it.
Britta,Okay.
Page,Excuse us.
Britta,Hi. Sorry.
Tiny Man,"Cool music, huh?"
Duncan,"Oh, nice call, ref. Bite my banger."
Chang,"Jeff, something's up with your toothbrush, man."
Jeff,What the hell?
Chang,I had to get cleaned up.
Jeff,Why?
Chang,"Oh, yeah. Pizza time."
Jeff,Leonard?
Leonard,Where are the white women at?
Jeff,"No. There are no white women here, Leonard. This is not a party."
Chang,Don't tell that to Magnitude.
Jeff,Who's Magnitude?
Magnitude,"Yo, yo, yo. Pop, pop! Ha, ha, ha! Pop, pop! Bam! Bam!"
Chang,"Come on in. What's up? Oh, yeah, dog. Looking good."
Abed,That is my analysis of the Saw movie franchise. That about does it. So I think it's time for you to choose.
Mariah,"Abed, could you get us some punch?"
Abed,On it.
Mariah,You guys are really cute together.
Troy,Thank you.
Mariah,"But, you know, having to actually choose, l..."
Troy,"Hey, we both agreed to this. We're both comfortable with each other. So I won't be..."
Mariah,"No, I choose you, Troy."
Abed,Psssh. Punch.
Troy,"Hey, Abed. Hey. I, um... She just, uh... She chose me."
Abed,"Cool. You can have this, then. Thank you, Mariah. Have a great night."
Pierce,Great.
Annie,Pierce?
Pierce,You go straight to hell!
Annie,Wha...?
Pierce,"Uh... Heh. Oh, I'm sorry. I don't know, I've been going through all these mood swings lately."
Annie,"You understand we care about you, right?"
Pierce,Hm.
Annie,Okay.
Tiny Man,"Well, look. Here's the deal. I am not sharing you with them. So before this goes further, you have a choice to make, my friend. Ha, ha! Look at the lesbians."
Pierce,Lesbians! BRITTA &
Page,Screw you!
Britta,Heh.
Page,"Heh. L... No, no."
Britta,I don't care what they say.
Page,"Oh, I don't either. I just wish it wasn't such an issue for them."
Britta,"Yeah, but that starts with us. That starts with us."
Page,I've never done this before.
Britta,Me neither.
Both,"Wait, what?"
Man,Bring it.
Troy,So... curious about one thing. What was wrong with Abed?
Mariah,"Well, I mean, he did talk about the Saw movies for two hours."
Troy,"Yeah, but there are eight of them and they're two hours apiece. And the first one did redefine the genre..."
Mariah,"Troy, I would love to be his friend."
Troy,"I know you would, it's incredible."
Mariah,"But romantically, he's... You know."
Troy,"I hate her, I hate her, I hate her!"
Abed,What happened?
Troy,She called you weird.
Abed,I am weird.
Troy,Not as weird as her. Who the hell is Nicholas Nickleby? She wouldn't shut up about it.
Abed,Hm. I know.
