character,line
Annie,I can't believe this is our 20th and final anthropology diorama of the year.
Britta,I can't believe our assignment is making a diorama of us making our 19th diorama.
Annie,That's kind of weird.
Jeff,"Oh, come on. My forehead is not this big."
Shirley,"Troy, can you pass me that paintbrush?"
Troy,"My monkey! My monkey took that paintbrush and went into that vent. Oh, I miss him so much. Someone's got to go after him."
Chang,I got this.
The Study Group,Ah!
Jeff,What are you doing?
Chang,Trust me. I know these vents like the back of my Chang.
Troy,Holy...
Pierce,Is that a new stereotype?
Chang,"Oh, my God."
Troy,Did you find him?
Pierce,Is that a new stereotype?
Chang,"No, and no. But there's all kinds of stuff in here. Guys, you won't believe this. Ooh. It's like a sentimental treasure pile. Oh, that's my spoon. No! Oh, Hubba Bubba. Cool. I thought they stopped making this."
Chang,And that's all of it.
Shirley,That's good. That means you can put your clothes back on.
Chang,Uh-uh. I'm going back in.
Abed,Why?
Chang,Monkey took my spoon.
Troy,It's like a reverse cow birth.
Britta,"Annie, look! All of your purple pens are here. Do you remember when you got so mad because you thought someone was stealing them? There are so many memories in this pile. Look."
Jeff,Whoa. The deputy's badge from when we spent that day in that old ghost town.
Annie,"Oh, yeah."
Britta,We have to find the saloon.
Shirley,Every building is a saloon.
Troy,We gotta go!
Prospector,"Get the tarnation back here, you city-slicking sons of..."
"Jeff, Britta, Shirley",Aah!
Abed,Mm-mm.
Jeff,That was like one of the best days of the whole year and I almost totally forgot about it.
Abed,We almost totally got shot.
Britta,"Yeah, but by a prospector in red long underwear. How cool was that?"
Troy,"Glad you had fun. By the way, that dude was hard-core racist, like 1800s Disney-style. We learned new ways to hate ourselves."
Jeff,"Hey,"
(singing),"Sing, sing, sing, sing-a-ling, ding-dong!"
(singing),"Sing, sing, sing, sing-a-ling, ding-dong!"
(singing),"Sing, sing, sing, sing-a-ling, ding-dong, ah, ah, ah!"
(singing),"Sing, sing, sing, sing, sing, yeah, yeah, yeah, yeah, uh!"
Annie,"Guys, that's not a fond memory."
Jeff,"We won, like, 70 awards."
Annie,"Yeah, but the reason we had to fill in for Glee Club was because they...died. Their bus crashed."
Jeff,"I know, but I was remembering around that part."
Britta,"Yeah, focus on the positives, like we got that cool new bus driver."
Troy,"Nice try, Britta, but the truth is, it's been a dark year. Pierce got hooked on painkillers. Shirley's having an unplanned baby. And apparently, Chang is in the group now?"
Annie,It's true. God hates us. Remember when Abed had a total mental breakdown at Christmas?
Britta,That was adorable and magical. He thought everything was claymation.
Jeff,"Heh, heh."
Pierce,Yeah. But everything wasn't.
Ian Duncan,"And what do you see now, Abed?"
Abed,"A candy cane forest. We're all running through the candy cane forest. Oh, careful"
Britta,"Oh, no, I tripped! On a gumdrop!"
Jeff,Yay. Let's find Santa some more.
Jeff,"Well, I think this year was awesome. Full of good times with great people. Come on, you guys. Stop focusing on all the bad stuff and dig deep. Abed, you're a computer. Scan your mainframe for some juicy memories."
Abed,Jeff and Britta are having secret sex.
Annie & Shirley,Ah!
Britta,Uh...
Abed,"Exhibit A, the one thing I do remember from Halloween."
Jeff,Hi.
Britta,Hi.
Jeff,You need some help in there?
Britta,"Yeah, well, I can't use my hands in this costume, so..."
Abed,Snarl!
Britta,"Well, uh..."
Abed,Exhibit B. Something I overheard during Christmas.
Abed,Why would I want to be in a school that hates Christmas?
Jeff,He's got a point. Kidding. What are you doing later? How about some holiday benefits?
Britta,Hey. Ixnay in front of Uncan-day.
Duncan,Hmm.
Abed,"Finally, exhibit C, the curious circumstances following the exciting conclusion of our St. Patrick's Day adventure."
Jeff,Really?
Britta,Yeah.
Jeff,"Oh! Abed! Uh, uh, uh, a leprechaun took our clothes."
Britta,"And you can never tell anyone, okay?"
Jeff,"Okay, so we hooked up a few times, but there's a much larger issue here. We are friends with a grown man that clearly believes in leprechauns."
Troy,Didn't we decide at the beginning of the year that for the good of the group we wouldn't allow any intimacy between each other or ourselves?
Jeff,"Troy, we never said ourselves."
Troy,"Okay, now I'm really mad."
Shirley,So am I. Now we know why our year's been so horrible. It's not God that hates us. It's Jeff and Britta.
Britta,"Oh, please. If we were ruining your year, why didn't you know about it?"
Annie,Maybe we were so distracted by all the other times you two put yourselves before the group.
Jeff,What? When have we ever put ourselves before the group?
Pierce,You want examples?
Troy,"I think they want some examples, Pierce."
Pierce,"Okay, let's give them some examples. Troy, drop a beat."
Troy,Just give them some examples.
Pierce,Fine.
Jeff,Chipmunk.
Barber Professor,"Mmm. Impressive, Mr. Winger. Someone's going to regionals."
TV announcer,It's a special cape. A cape for justice.
Troy,What are you doing?
Britta,There's rioting in Tunisia!
Abed,The Cape
Britta,"Humanity is premiering, you jags."
Shirley,We need to talk.
Jeff,These people are giving out free iPhones!
Dean Pelton,"This habitat was for humanity. Whoever did it, step forward. You five are in big trouble. Jeff and Britta, you're free to go. Because you didn't step forward, and are therefore innocent."
Shirley,You can't ignore the facts. You two are ruining this group.
Jeff,"Look, just because we're good-looking doesn't make us villains."
Britta,"Yeah, are you sure you guys have the group's best interests at heart? Feast your ear tongues on these memory pops."
Jeff,"Pierce, you've had three flu shots. That's for the day-care center."
Pierce,I'll be a living god!
Shirley,"I'm glad you're considering the exciting opportunity of selling Lady Miss Lady cosmetics. Please, now open your starter kits. Okay, now that the seals have been broken, you each owe me $50."
Pierce,"Caw, caw! Caw, caw! Caw, caw!"
Troy,I'm Jeff Winger. Does this hard-boiled egg make me look fat?
Abed,My name is Jeff Winger. I love working this BlackBerry because it really tones my thumbs.
Jeff,It was a particularly small egg. That's why I was asking.
Troy,You can yell at me all you want. I've seen enough movies to know that popping the back of a raft makes it go faster.
Jeff,Show's gonna last three weeks!
Abed,Six seasons and a movie!
Annie,"Pierce, you can't sneak up on me like that. When I'm startled, my training takes over."
Shirley,Hello!
Annie,Hi-ya! Oh!
Annie,Those are just stories about us being cute.
Shirley,You guys actually go out of your way to endanger the fabric of the group.
Troy,"Yeah, leave our fabric alone."
Jeff,You guys aren't seeing the bigger picture. We compartmentalized our libidos for the good of the group.
Annie,"Oh, you compartmentalized, did you? Then what's been going on with us all year?"
Jeff,What are you talking about?
Annie,"I'm talking about the Annie of it all. The long looks, the stolen glances. The general atmosphere of ""Would they, might they?"""
Jeff,"Annie, I think you're reading into some things."
Annie,"Oh, really?"
Jeff,"Oh, give me a break. I mean, you could do the same thing with Pierce and Abed."
Abed,"Yeah, but Jeff, let's be honest. There's more between you and Annie than there is between me and Pierce."
Pierce,How dare you?
Jeff,"Abed, it's called chemistry. I have it with everybody."
Shirley,"Everybody? I haven't felt any of that chemistry coming my way. I don't know if it's because you're racist or because I intimidate you sexually, but I know it's one of those two."
Pelton,Dean-a-ling-a-ling. I was just heading to judge our belated carnival when I heard you guys having a tiff. What's the rumpus?
Jeff,We were debating how many times per year a man can drop in a
Pelton,"Dean-yow! It's Feline Aids Awareness day, folks, so let's whip it in the keister."
Pelton,"Dean, deanie, dean, dean, dean, dean, dean, dean. Guys, Greendale's music department is flat ""baroque,"" so we are having a fund-raiser."
Pelton,"What's Dean got to do with it? Heh, heh, heh. Why, it's time to Tina ""Turner"" the clocks ahead. Happy daylight savings!"
Pelton,"Deanie, vidi, vici! I came, I saw, I conquered the idea of a free Caesar salad bar in the cafeteria."
Pelton,"Frankly, my dear, I don't give a Dean. Heh, heh. That's right, Greendale presents ""Gone With the Windows,"" where we'll celebrate our new energy-conscious windows with a cotillion. Heh, heh, heh. Oop. Okay."
Pelton,"Well, I guess we don't see our patterns until they're all laid out in front of us. Thank you for being so nice about it."
Shirley,"Oh, Dean. Dean. Can we please stop fighting? We're starting to hurt innocent perverts."
Troy,"I don't want to stop. We're airing out this dirty laundry. After that, we'll stop fighting forever."
Abed,Am I the only one that remembers our horrible camping trip?
Britta,"""Some-mores,"" not ""s'mores."""
Jeff,"No, you're saying it wrong."
Troy,I just found out about it.
Jeff,"It's pronounced ""s'mores."""
Britta,"Yeah, it's a contraction of ""some mores."""
