character,line
Jeff,"Why is everyone wearing those hats? Is the dean planning another event, or is the Greendale Hat Club struggling to be noteworthy?"
Pierce,You're talking about it.
Jeff,I talk about lots of stuff that annoys me. Speaking of the dean...
Dean Pelton,"Guten Tag, homies. I hope you'll all be attending Oktoberfest. It's not often we get to celebrate German culture."
Britta,It's not often we want to.
Annie,"Yeah, a little goes a long way."
Dean Pelton,"True, Greendale's Oktoberfest has never drawn huge crowds, probably due to our diversity, so this year, we are adding some color. Kick it. I'm gonna give this to you, Troy."
Troy,"""Pop and Locktoberfest."""
Dean Pelton,The central event will be a pop-and-Iock-a-thon. Winner gets to annex Poland. Kidding. The winner gets an iTunes gift card. Okay.
Shirley,"Oh, a break dance contest. What should we name our team?"
Jeff,Gonna go hang myself in my closet.
Abed,I'm coming with.
Jeff,"Is it me, or is this campus getting more cartoonish every day?"
Abed,"It's exciting. I painted a tunnel outside of the library. When it dries, I'm going for it."
Jeff,See that guy over there?
Abed,The one wearing the Gucci suit in a lightweight woven wool-mohair?
Jeff,We used to work together.
Abed,Cool. So he's from your origins?
Jeff,This is all I need.
Abed,"Excuse me, sir. You're all my friend needs. Your mouth isn't curved upwards. Did I misread something?"
Alan,"Aw, Tango?"
Jeff,Sundance. We worked with different partners.
Abed,Got it.
Alan,Hey. What brings you to Greendale?
Jeff,"I'm a teacher. Wait, that's worse than the truth. I'm a student."
Alan,"Hey, I'm in no position to judge. I'm here for an NA meeting."
Jeff,Narcotics Anonymous?
Alan,"Remember when you asked for my secret, I said yoga? I lied."
Abed,I'm Abed.
Jeff,"Abed, this is Alan Connor. This guy and I used to wipe the courtroom floor with prosecutors."
Alan,"DA called us The Litterbugs, we put so much trash back out on the street."
Alan,"Come here, come here. You still ticklish?"
Jeff,Stop that.
Alan,"Hey, let's get a drink, huh?"
Jeff,Are you allowed?
Alan,"Yeah, I quit doing blow, not being rad."
Jeff,"All right, let's do it."
Abed,Jeff can't go. He has class.
Alan,"Well, those cargo pants would suggest otherwise. Heh, heh. What has this place done to you?"
Jeff,You have no idea. Random student Hat Club.
Jeff,Now you have some idea.
Troy,So…?
Chang,So? Anyone that's been in a team pop-and-Iock-a-thon knows you need seven people to stand a chance.
Annie,We have seven.
Chang,"Oh, do you? Word on campus is Winger's too busy hanging with his cool lawyer friend."
Britta,Slow news day.
Chang,That's your Carson?
Britta,Jon Stewart.
Chang,You depress me.
Troy,"Look, we'll get back to you."
Chang,"All right, well, don't take too long. And don't rip off this exit."
Annie,Where is Jeff?
Britta,Obviously hanging with Alan. Those two are like Siamese twins attached at the cell phone holster.
Annie,I haven't met him yet. Shouldn't we be happy that Jeff found an old friend?
Abed,My fear is that Alan is to Jeff what Rob Lowe is to James Spader in 1990's Bad Influence.
Shirley,He's a bad influence.
Abed,You saw it?
Jeff,"Hey, guys, I'm gonna be a little bit late today. Alan and I are gonna take a quick sidebar."
Alan,Or any bar.
Troy,"Oh, he's got Britta down."
Annie,You look familiar.
Alan,It's possible. Have you or someone you know been injured at work? Oh.
Shirley,"Yes, a shrimp boat ran over my cousin."
Alan,That's serious. Call me.
Shirley,"Jeff, you need to be respectful of our time."
Jeff,"Shirley, if I k*lled a man, as a Christian, would you forgive me?"
Shirley,I would.
Jeff,"Then either that man's life is worth less than your time, or it's okay for me to be late."
Alan,"Ha, ha. You've still got the moves, man. If they gave away awards for mind games, the statue would be Jeff Winger doing it to a brain."
