character,line
Narrator,"Greendale Community College is represented by two separate, yet equally important types of people: The goofballs that run around stirring up trouble, and the eggheads that make a big deal out of it. These are their stories."
Jerry,You'll be better off without her.
Crazy Schmidt,"She was perfect. Warm, smart, beautiful. I'm never gonna find another dental hygienist like that."
Jerry,"Well, you should stop hitting on her."
Crazy Schmidt,"Hey, she's the one putting her hands in my mouth."
Jerry,Hey! Over here.
Chang,"Move along, nothing to see here."
Jeff,That's the first time those words have actually been true.
Professor Kane,"Ms. Edison, when you called me down here at midnight, I expected more than a yam. Specifically since you said, ""There's been a m*rder."""
Annie,Our yam was m*rder*d.
Jeff,"If it's any consolation, she got me here on a very misleading text message."
Annie,"Jeff, technically, you are about to be screwed in the biology room because our final project has been destroyed."
Professor Kane,"All right, look, I'm sorry for your loss. I know you guys put the work in, so you'll get a passing grade."
Annie,"A passing grade? Like a ""C""? Why don't I just get pregnant at a bus station? That was going to be an A-plus yam."
Professor Kane,I can't give an A-plus to everyone whose yam falls of a counter.
Annie,Somebody did this to us.
Professor Kane,"In science, we call that a hypothesis. You find something to back it up and we can talk. Now if you'll excuse me, I was watching Mama's Family."
Shirley,What happened?
Annie,"Our yam was k*lled. But Professor Kane says we can still get an ""A"" if we figure out who did it."
Jeff,He did not say that.
Annie,He basically did. You let me handle the nitty gritty.
Shirley,"I watch crime shows when I'm bored. You boys, canvas for witnesses, establish a time frame and motive, and bring me a suspect. You've got 48 hours before the trail runs cold, so start with the last person to see that yam alive."
Troy,"Yes, ma'am."
Abed,Understood.
Shirley,It's been a long 15 years.
Troy,Looks like it's gonna be a late night. How'd we manage to pull the short straw?
Abed,It's not a short straw. It's a hot potato.
Troy,"Yeah, well, looks pretty cold to me."
Abed,Cold? Or dead?
Troy,Survey says...
Abed,We can't both do the zinger.
Troy,Sorry.
Pierce,"Okay, okay, five-to-one on the black guy."
Old Man,That's offensive.
Pierce,"Fine, six-to-one."
Abed,"Hello, boys."
Leonard,Youth! Scatter!
Troy,"Whoa, whoa, whoa, whoa, slow down, Pierce. Mind if we ask you a couple of questions?"
Pierce,"Sure, I always say you guys should ask me more questions."
Abed,Did you water our biology yam last night?
Pierce,"Of course I watered it. It was my turn, wasn't it? I hold up my end."
Troy,Did you hold it or drop it?
