character,line
Jeff,"So, cellular mitosis is what?"
Britta,I miss Troy.
Jeff,"Wrong, and stop guessing that. Annie."
Annie,I'm worried about Abed. He hasn't left the apartment since Troy moved out. He won't even play in the
Jeff,"Guys, we just finished retaking Biology all summer, and if I don't pass this final, it was for nothing. Can we stay on target?"
Dean Pelton,"Did someone say ""sexy construction worker""?"
Shirley,Ooh!
Jeff,"Stay, stay on target."
Pelton,I'm dressed like this because I'm building to big news.
Shirley,"Ooh, we should both sign it, we're 50-50 partners."
Pelton,"But there's only one dotted line on the form, so..."
Shirley,"Oh, well, Pierce can..."
Pierce,Me.
Shirley,Hey!
Pierce,I paid for it.
Shirley,"Well, there'd be no ""it"" to pay for if I hadn't done all the work."
Pelton,"My goodness, this molehill is becoming a mountain. You guys work it out, while I put together an Alpine costume."
Pierce,"I knew eventually you'd try to box me out of my own business, just like"
Shirley,I'm not letting you guilt me into letting you call yourself the owner of my company.
Annie,Jeff! Hello? Get involved.
Jeff,No. I am here to replace my fake bachelor's so I can get back to my life as a lawyer. Nobody else is sacrificing their interests. Don't ask me to sacrifice mine.
Annie,"Don't ask me to sacrifice mine. That's you, just now."
Jeff,"Okay, so name the stages of mitosis."
Britta,"Ooh, I gotta go."
Jeff,Unbelievable.
Britta,Today is Abed's first therapy session.
Jeff,His what?
Britta,He's been feeling extra vulnerable lately having lost Troy to the
Leonard,Classic tee-up.
Britta,"Shut up, Leonard, I know about your crooked wang."
Leonard,No such thing as bad press.
Evil Abed,"Hey, Abed!"
Abed,This can't be good.
Murray,"There are those who ask, why connect the capillary tube directly to the compressor valve? Oh, sure, why not just attach it to the moisture accumulator? Hey, Troy. We boring you?"
Troy,I miss my friends.
Murray,He misses his friends.
Students,Aww.
Vice Dean Laybourne,Mr. Barnes. Gather your things and come with me. Now!
Laybourne,The Sun Chamber
Troy,I miss Abed so much.
Laybourne,"I'm ashamed to confess that I once thought that this might be me. Now I realize that it's you. You are the true repairman, Troy. You fix not only air conditioners but the men who fix them."
Troy,It's a trade school. It's a two-year degree in boxes that make rooms cold.
Murray,"Sir, there's been a flow duct rupture in quadrant four."
Laybourne,"I'll handle it. This is your destiny, Mr. Barnes. The true repairman will repair man."
Evil Abed,Abed.
Abed,I'm not talking to you because I'm not crazy.
Evil Abed,Think of it as inner dialogue.
Abed,I'm reading the novelization of Chronicles of Riddick.
Evil Abed,"Can you honestly tell me that's a saner decision? You're worried you'll go crazy without Troy. That's why you're gonna let Britta fix you, right? Because you think you're broken, you're gonna get diagnosed by someone who said her favorite superhero was ""x-man""?"
Abed,I'm a little scared. Things are bad.
Evil Abed,"When the world gets bad enough, Abed, the good go crazy. But the smart...they go bad. Come on in here, let's talk about it."
Abed,I think it's safer if I talk to Britta.
Evil Abed,I think it's even safer if I talk to her first.
Shirley,Hello.
Jeff,"Are you here to help me with biology, or get me to help you?"
Shirley,Bi-ol-o-gy.
Jeff,"Are you lying? Hard to break the word ""yes"" into lilting syllables, huh?"
Shirley,"Ye-es? Look, Pierce and I are so close to getting the sandwich shop going. I just need you to help..."
Jeff,Look. You want one piece of free advice? Let Pierce cool down. You know how crazy and paranoid he can get.
Pierce,A-ha! Crazy? Paranoid? Impotent?
Jeff,Cellular...
Pierce,"I knew you'd run to Jeff, and turn him against me."
Jeff,Mitosis.
Pelton,"Guys, why are we yelling?"
Pierce,"You sign that paper, I'll sue."
Pelton,"Well, hold on. This will be settled in Greendale court, 3:00 P.M. Obviously, Shirley has her counsel, and I get to dress like a judge."
Pierce,"I was born in a courtroom, sued it for my own placenta, and won. Now I'm calling my lawyer."
Jeff,My Biology final is at 5:00. I'm available from 3:00 to 4:00. I'll see you in court.
Britta,"Hello, Abed? Ready to get therapized? Abed?"
Evil Abed,"Hello, Britta. Come in."
Troy,What's going on?
Chaplain,"Vice Dean Laybourne was repairing a flow duct rupture, and he inhaled a lethal dose of Freon. May his breeze join the wind."
Jeff,"Okay, so mitosis is when cells divide..."
Shirley,I wonder who Pierce is gonna get to represent him.
Jeff,"I promise, whoever Pierce brings won't be prepared for me. That's the Winger guarantee..."
Shirley,Is that the cold-blooded former colleague that got you fired from your old law firm by ratting on you to the state bar?
Alan Connor,Tee.
Shirley,"So, is this a conflict of interest? You know, Alan working at your former firm and all?"
Jeff,"Hey, Pierce just did you the biggest favor of your life. He hired a guy I've spent the last two years fantasizing about stabbing in the... Sundance!"
Alan,Tango! Uh! So...the case of the sandwich signature.
Jeff,"What are you doing here? I mean, me, I have to, but you?"
Alan,"Hawthorne's a cash cow, and old A-con here is tugging at that teat. That's money. Money."
Jeff,Please stop that.
Alan,"So, full disclosure. The firm would really like to keep ""Vitamin P"" in its medicine chest."
Jeff,Full disclosure. I really want to be done by 4:00.
Alan,"Oh, that's the Jeff wing basket I remember loving."
Jeff,"Hey, just go easy on Shirley."
Alan,"Scout's honor, Sinead O'Connor."
Leonard,"Oy-yay, oy-yay, the honorable Craig Pelton presiding."
Pelton,"First off, there's one decision I'll need your help making. Judging Amy or Judge Judy?"
Britta,"You say your name is Evil Abed, which does not throw me, because I'm a therapist. So let's talk about evil. You know what? Maybe I should talk to Good Abed instead."
Evil Abed,"Where I come from, his name is Lame Abed."
Britta,And you come from...
Evil Abed,The
Britta,Ah! Now we're getting somewhere. I think lame Abed sent you to talk because you're more equipped to deal with fear.
Evil Abed,"That's the lame way of seeing it, yes. Here's the truth. I've crossed into your dark timeline, and now I'm going to darken it."
Britta,How?
Evil Abed,"Tell me about your parents, Britta."
Britta,Um...no?
Murray,"Barnes, you should be in the chapel. We lost a great man today."
Troy,"Yeah, he was the best, wasn't he? That's why I don't understand how he could rupture a Freon line. That's kind of a rookie mistake."
Murray,"I'm sure it was just a faulty valve. My first order as Vice Dean, I'm gonna have them all replaced."
Troy,So you're Vice Dean now?
Murray,Why the sudden interest in air conditioning repair? I thought you missed your friends.
Troy,I do.
Murray,Then go be with them. I'm releasing you.
Troy,But you...
Murray,"Goodbye, Troy."
Alan,"Miss Edison, do you recognize the baby in that picture?"
Annie,That's Shirley's baby
Alan,Would you think less of Shirley Bennett if she offered to sell Ben on Craigslist for a chance to bump it with Denzel?
Shirley,"That was a joke for my cousin. Damn those Facebook privacy settings. Jeff, do something."
Jeff,He's got nothing.
Annie,I'm sure she didn't mean that.
Alan,"Or perhaps she doesn't even love that baby, because she spent most of last year not even knowing who the father is."
Jeff,Objection.
Alan,"Establishing character, your honor. This woman is clearly unfit to own a sandwich shop."
Jeff,"Alan, come on."
Alan,No furths.
Jeff,I thought you said you were gonna go easy.
Alan,Felt easy to me.
Evil Abed,What was he wearing?
Britta,He was dressed as a dinosaur.
Evil Abed,Is that why you dropped out of High School?
Britta,I don't know.
Evil Abed,Are those even real glasses?
Britta,No.
Evil Abed,"Ah, do you feel that, Britta? Your timeline's 10% darker now."
Britta,This was 10%?
