character,line
Britta,"Remember, you guys can have a dip too! And don't be afraid to play with the... Ruuubber spiiider!"
Shirley,I'll ask again... Are you sure I can't bring anything?
Pierce,"I don't understand. We're having a party before we're going to the real party? Sometimes, I think you young people are just making this crap up."
Britta,"It's a pre-party! It's informal, intimate, and just for us. And I told you guys you didn't have to dress up."
Troy,"Oh, we were wearing this when you called."
Abed,"Yeah, when we dress up, you'll know it."
Annie,"There's nothing in your playlist but spooky party, the Beetlejuice soundtrack, and NPR podcasts."
Britta,"Ooh! We could listen to one of those! I have Michele Norris interviewing Errol Morris. Don't worry, they address it."
Jeff,"Okay, let's make this quick. I got three more polite appearances to make tonight. What? I'm one of the Fast and Furious guys."
Abed,Which one?
Jeff,"Oh, I don't know. I don't watch that shallow crap. I just pick a costume girls will like."
Britta,"Jeff, can I have a quick conversation with you?"
Jeff,"Doubtful, but I support the dream."
Britta,"Remember last week, when I made you guys fill out those anonymous personality tests for my psych class?"
Jeff,"Listen, if you dropped them in another puddle"
Britta,"No, I processed the results, as per my assignment. And, Jeff, one of our friends is... Deeply disturbed."
Dean Pelton,Trick or Dean!
Dean Pelton,"Don't forget to come by our Halloween scare-tacular dance, starting in the cafeteria at 9:30. Also, I had the lights rigged to flicker for Halloween!"
Jeff,It's been happening all week.
Dean Pelton,Halloween week!
Jeff,So the lights will work on November 1st?
Dean Pelton,All Saint's day... Month!
Jeff,"I'm sorry, you were about to get ridiculous?"
Britta,"Look! One of the tests came back with 70 out of 75 red flags for an extreme personality disorder. Extreme, Jeff!"
Jeff,Like a dorito?
Britta,"A sociopathic dorito. A cool ranch lunatic. Only instead of Zest, Jeff, one member of our study group has... homicidal tendencies."
Jeff,I think one member of our study group is an overzealous psych major. You probably just Britta'd the test results somehow.
Britta,"No. I double-checked them. Wait. Are people using my name to mean ""make a small mistake""?"
Jeff,"Yes. Give me some rope, time in a tree give me the hope to run out of steam somebody said we could be here we could be roped up, tied up, dead in a year I can't count the reasons I should stay one by one they all just fade away"
Jeff,"Let's make this party fast and furious, in that order."
Troy,"Yeah, I want to go to the dance. I heard the Dean's got free taco meat from the army."
Britta,"We can go to the dance in a bit. But first, why don't we tell some scaaary stories?"
Britta,"Good! I'll start with a story about a horrible fate befalling innocent people, and then I'm curious to get individual reactions. Once upon a time, there was a couple in a car in the woods making out or something. ""BRITTA"": I think I heard something. ""JEFF"": It's just the sound of my heart, baby. ""BRITTA"": Mmm. HOST: In the news tonight, top story: An escaped convict from the asylum has escaped, and he's mental and he's on the loose and stuff. ""BRITTA"": Oh, my God. That sounds dangerous. ""JEFF"": Oh, I'm sure it's no biggie, but I am a horny man. I'm only half-present."
Radio Host,"He was last seen in the woods and has a thingy for a hand, a hook thing where his hand should be. You know what I mean. ""BRITTA"": That sounds dangerous. ""JEFF"": Fine, I'll get out and look. But then I'm entitled to s*x. I'm getting stabbed with his hook hand thing. ""BRITTA"": Oh, my God! No! I was right!"
Britta,And the woman was screaming and screaming and the man got k*lled. Abed?
Abed,Yep?
Britta,How did that story make you feel?
Abed,Embarrassed.
Britta,That's an odd reaction.
Troy,Seems fair.
Britta,What embarrassed you about it?
Abed,I didn't care about the characters.
Britta,Didn't care about them?
Abed,"They were stupid. They deliberately put themselves in danger, and, when they were warned about it, the guy got out of the car."
Britta,Do you believe because he was stupid he deserved to die?
Pierce,What the hell kind of party is this?
Abed,"I suppose, from a creative standpoint, some characters deserve to die. Ones that lack common sense or even basic survival instinct. Your story's not scary because the characters are making choices the audience wouldn't make. Plus, you need a smarter lead. Here, like this. It's a dark, cold night in the woods. We establish a traditional log cabin, then cut to ""ABED"": Here we are, a log cabin I rented so we could be intimate in safety, because it's not the 50s, so we don't have to park a car and neck at inspiration point. ""BRITTA"": That makes sense. I'm turned on by how logical you are. ""ABED"": I'm comforted by your shiny hair and facial symmetry. Well, I just brushed my teeth, so this would be the optimal time to kiss. Enjoyable. Soft lips. Just the right level of moisture. ""BRITTA"": Would you like to do it again? ""ABED"": No. We should listen to the news on this radio. I brought it as a cautionary measure, because this cabin is within walking distance of the local insane asylum. ""BRITTA"": Oh, is that why you were able to rent it at such a reasonable rate? ""ABED"": Yes. ""BRITTA"": I hope you're as fertile as I am tonight. ""ABED"": More. ""BRITTA"": Ahh."
Pierce,Abed! Why are you doing the whole song?
Abed,"They wouldn't turn the radio on at the exact moment of the most pertinent news broadcast. It's too coincidental. But I'll jump forward in time. ""BRITTA"": What was that noise? ""ABED"": Based on the news report we just heard, but not just just heard, I assume it's the deranged, hook-handed k*ller, who escaped when the asylum's antiquated security system failed. ""BRITTA"": I guess they shouldn't have cut corners, although it is understandable, given the recent economic downturn. Should we go check it out? ""ABED"": No. We should call 911 on my fully-charged cell phone, lock the doors, and then stand back to back in the middle of the room holding knives. ""BRITTA"": I love you ""ABED"": Shh."
Annie,Ugh. Do these people ever die or what?
Abed,"Eventually, once it had been... Eaaarned."
Jeff,"Well, Britta... It looks like you're barking up the wrong tree."
Annie,"Yeah. You want to hear a scary story? I've got a scary story. ""ANNIE"": Thank you for pulling me from that carriage. I don't know what could have frightened my horses so. ""JEFF"": Many vile creatures make these woods their home. Some even warn of... Monsters. ""ANNIE"": I don't believe in monsters. I believe every man has good within. I must retrieve my books from the debris tomorrow. I am a schoolteacher, and many children rely on me to educate them. ""JEFF"": Be gone, innocent one! ""ANNIE"": What's wrong? ""JEFF"": You may choose not to believe in them, but I am a monster. And I must feed. ""BRITTA"": Do not judge me for my weakness. ""JEFF"": Stifle your slackened maw, you drained and tainted b*tch dog. ""BRITTA"": I'm fine with this. ""ANNIE"": Ahh! ""JEFF"": Wait! Teach me to read. ""ANNIE"": Aww. ""JEFF"": Wo... ""ANNIE"": Sound it out. ""JEFF"": Wo...Rd dog hates... Cats. ""Oh reason not the need! Our basest beggars are in the poorest things superfluous."" ""ANNIE"": Yes! Yes! Yes! You should be proud of how much I've changed you. ""JEFF"": Thank you for helping me, but I'm afraid some monsters cannot change. ""ANNIE"": No... Resist your craving! Just pick up a good book and read! ""JEFF"": Your porcelain neck, in the light of the full moon, too appetizing. ""ANNIE"": Unfortunate... For you. You see, some monsters cannot change. But others can. ""JEFF"": What is this? ""ANNIE"": I'm a werewolf that feeds on selfish vampires."
Annie,"And she ripped into his torso, like a gerbil shredding a quaker oats box, sending chunks of viscera and an aerosol mist of blood all over the skanky concubine. Then, she flossed her teeth with his tendons. And, because he was a vampire, he lived through all of it. He had to watch her swallow his last eyeball. She kept it attached to the optic nerve, so he could see down her throat, to his own partially digested flesh in...Her...Stomach. See? There was a twist."
Jeff,"Wow, Annie. I didn't know you were such a fan of... gore."
Annie,"It's Halloween. If you're gonna tell a scary story, give it some texture. Wasn't that great."
Britta,"Well, your texture was so discompassionately macabre, as if without the slightest regard for human life."
Troy,"That's enough. Stop pinning ribbons to her. Why does Annie get to be good at everything? You guys wanna hear a real, legit scary story? ""TROY"": Hello? Is there anyone here? I need help. Oh, thank God. An old doctor. Me and my partner are top g*n fighter pilots, the best of the best. ""ABED"": Pew pew pew. ""TROY"": Our F-*5 went down in the woods. ""PIERCE"": I thought I heard something awesome out there. Please, come in, for first aids and what have you. ""ABED"": Mmm, drinks from a stranger. ""TROY"": So medical. Thank you. ""PIERCE"": Wakey-wakey. ""TROY"": What's going on? ""PIERCE"": This cabin is my lab, where I do weird experiments on people. Look! ""TROY & ABED"": Noo! Forced to be together forever! ""PIERCE"": I sewed you together. I totally sewed you together! ""TROY"": Abed! Now that we're sewn together, do we have E.S.P.? ""ABED"": Yes! We're psychic now. We can destroy him with mind powers. ""PIERCE"": Oh! ""TROY"": You tried to destroy us... ""ABED"": But you only made us... ""BOTH"": More awesome! ""PIERCE"": No! I'm legit jealous. ""TROY"": Now you are the subject. """
Pierce,"What? What? Tell me more. ""ABED"": We sewed your butt to your chest! Ha! ""PIERCE"": Noo! Wait. Ha! You fools! By sewing my butt to my chest, you've given me boobs I can touch all day. ""BOTH"": With what? ""PIERCE"": Noo! No! Noo! Nooo! Nooo! Feet hands."
Pierce,What did I do to deserve that? Keep me out of your stupid stories.
Troy,"I didn't say it was you. I said he was a crazy, old, r*cist doctor."
Pierce,"Yeah, and I'm your crazy, old, r*cist friend. I was, anyway. Now I'm not so sure."
Abed,"It's just a story, Pierce."
Pierce,"Yeah? Well so is this. ""SHIRLEY"": Come back to bed, Magnum. ""PIERCE"": In a moment, girls. I'm just enjoying an expensive, post-coital brandy. ""TROY"": Yo, yo, yo, yo, yo. Whats we gots heres? ""ABED"": This is a home invasion, you jive mother. ""PIERCE"": Easy, easy, easy. Nobody has to get hurt here. ""TROY"": Yeah, that's right, h*nky. You take it real easy and give us all your expensive brandy and hubcaps. ""Pierce"": Okay, but... ""TROY & ABED"": Whoa. Oh, man. ""TROY"": You...are... still...relevant! Oh, my God! Unh! ""PIERCE"": Okay, I'm ready for my birthday spanking. Which of you girls knows how to count to 30?"
Jeff,What... in the hell... was that?
Troy,That wasn't even a ghost story. It was like an episode of some show we're all too young to have heard of.
Pierce,Fine! Then I chopped up both your bodies.
Abed,"So that was us, and you were Magnum?"
Pierce,"Still am, Pakistan. Wanna try me?"
Annie,"Guys, I think these stories are starting to get personal."
Shirley,"And so needlessly violent. What happened to the days when ghost stories were about good versus evil? Once upon a time... ""JEFF"": Aw, man. My drugs are wearing off. Who's got more? ""BRITTA"": Ha ha! Here you go, baby. ""JEFF"": All right, all right. That is my kind of pot bong. ""ANNIE"": Yo, Jango, check it out. Swarms of locusts and tornadoes of frogs. ""BRITTA"": I don't care. I lived in New York. Ugh! It's like New York out there."
