character,line
Woman,So I can keep my job and get busy with my education. MAN #2: To meet different people. MAN #3: Because Greendale's a slam dunk.
Woman,So why should you MAN #1: Why should you MAN #2: Why should you go Greendale?
Former Dean,That's easy. Greendale has the most advanced typing class in the southwestern Greendale area. And now you can register by fax.
All,"Go Greendale, go Greendale, go!"
Dean Pelton,"That, as you probably know, is the currently-running commercial for our school."
Pierce,"Yeah, I always see it during late-night marathons of Fantasy Island."
Dean Pelton,"That's not an accident. It's the result of intensive targeting. But now, Greendale's School board has given me a budget of $2,000 to update our little ad."
Troy,Are you sure it should change? I chose Greendale over city college because of the way that one dude goes...
Dean Pelton,"Ah, okay, okay. You know I love to be seen agreeing with you, Troy. But this is our chance to make Greendale's most reasonable dreams come true. And I need your help- All of you. That's okay, Jeffrey. You can say no. This school asks very little of its students. It mainly gives. I feel like you guys might know what I'm talking about."
Jeff,How can we help?
Dean Pelton,"Oh, thanks for asking. I've chosen you, Greendale's brightest, most coincidentally diverse, hispanics not withstanding, study group to star in our commercial. Ooh. Pick a character. We start this weekend."
Shirley,"Oh, we get to be on tv!"
Dean Pelton,"Abed, true to form, has decided to do the weird thing and film a documentary instead of helping."
Abed,"As a student of character, I have a feeling that trying to make this commercial may cost the dean his sanity. And my camera follows the fire, not the smoke. Ever seen Hearts of Darkness? Way better than Apocalypse Now."
Pierce,What's the catering sitch going to be on this picture?
Dean Pelton,"This isn't Hollywood, Pierce. If it was, these glasses would be tinted, and I'd be friends with Stevie Nicks. No catering."
Pierce,This is outrageous. I'm not leaving my trailer till there's food.
Dean Pelton,You don't have a trailer.
Pierce,"Well, then, I'll rent a trailer. And I won't leave it till I have the one I don't have. I'm an actor, not a circus freak."
Dean Pelton,"Oh, no. I needed to go that way. Eh, I'll loop around. Give me some rope, time in a tree give me the hope to run out of steam somebody said we could be here we could be roped up, tied up, dead in a year I can't count the reasons I should stay one by one they all just fade away"
Dean Pelton,"All right, let's rehearse this mamajama. Does everyone know who they are? Where's my script girl?"
Annie,"It's supervisor, and I'm right behind you."
Dean Pelton,"Thank you, supervisor girl. Faster than a locomotive."
Annie,A script supervisor is the person that tells everyone to stay on script and keeps careful notes to prevent logical inconsistencies. So... basically the star.
Dean Pelton,"We open on a typical day at Greendale, only the students all look happy and you can't smell that smell. Troy?"
Troy,"Why do I go Greendale?"""
Shirley,"With three kids at home, you better believe every penny counts."""
Britta,"To meet different people."""
Dean Pelton,"And then, you and Troy hug- if you're comfortable with that."
Britta,"Of course. Yeah, Troy and I are buds. Best buds. Air buds, even. Feeling stupid."
Dean Pelton,"And then, the camera pans, and enter Dean Pelton."
Jeff,"I got stuck with the role of the dean. So I'm going to show him how much of a dean I can be. And I've got a feeling I won't make the cut. Welcome to Dean-Dale community colle-dean. I'm a silly goose. Honk, honk. Dean-a-Lee-doo. Look at me. Stop. This is my sister's outfit."
Dean Pelton,"Jeffrey, stop. You've hit gold. Save some for the screen."
Annie,"All right, people, scene six is up first. Oh, and I don't think Pierce is coming back. Can someone fill in as the pencil?"
Pierce,"Pierce Hawthorne, screen of stage and star, will not leave this trailer until he gets a trailer. And then I'm not leaving that trailer until there's catering. And I'm not eating the food until"
Dean Pelton,And action.
Jeff,"Why go Greendale? Just because, just dean it! Dean machine. Got dean, got much, much got"
Dean Pelton,"And cut. Oh, a star is born."
Jeff,"I suggested to the dean that we shoot my scenes in front of the Luis Guzman statue because the dean has no legal right to broadcast Guzman's image, which means every shot will be unusable. I even put a call in to Guzman's lawyers to alert them. I'm always willing to go the extra mile to avoid doing something."
Leonard,Like sex with women.
Jeff,"Shut up, Leonard, you smell like mentholyptus. What are you even doing here?"
Leonard,"I'm thinking about breaking into the tv game. Since it's apparently sticking around. I don't want to wake up in 30 years and wonder ""what if?"""
Shirley,"Because this full-time mama ain't breaking the bank with your expensive tuition."""
Dean Pelton,"Okay, cut. Shirley, the voice. Can you make it, um- I thought it would be more s- What's another word that means happy/threatening?"
Shirley,"The word he's looking for is ""sassy."" He better pray he don't find it."
Dean Pelton,"As soon as we get this shot, we are done."
Annie,Your phone is ringing.
Dean Pelton,Oh. Dean deaning. Dean Pelton?
Luiz Guzman,"Hey, man, how you doing? It's Luis Guzman. I hear you're making a commercial for Greendale, and you need permission to use my face or something?"
Dean Pelton,"Well, I, um... Uh..."
Luiz Guzman,"Well, why not use the real thing?"
Dean Pelton,I'm sorry?
Luiz Guzman,"I'm saying, I'd love to be in your commercial."
Dean Pelton,Wowee! A real big-time celebrity wants to be in my commercial. Wowee. A real big time celebrity wants to be in my commercial. Come on down.
Luiz Guzman,"Yeah, that's cool. But listen, I've got to finish this movie, so, you know, I can't come for a couple of weeks, all right?"
Dean Pelton,"Mr. Guzman, Luis, thank you. And can I just say, I loved you in- Innnnnnnn... IMDb."
Luiz Guzman,"See you soon, man."
Dean Pelton,"That was tragic. The students here mean well, they really do. But what Greendale has always needed is a miracle. This is it. This is how I get to put Greendale on the map. You know, I thought this commercial was going to be okay. Well, guess what? It just officially became great. Let me give you a little rundown of this commercial's great elements. Luis Guzman is in it. I'm sorry, will you excuse me? Everyone gather 'round, quick announcement. Come on around. Everything that we shot so far is worthless. I've thrown it out, and we're starting over tomorrow morning. Why? Because... Luis Guzman is in the commercial now, so... Yeah. For realsies. Everyone, go home. I'm rewriting all of your parts. Except for you, Jeffrey. You have locked into something here. And the only thing your character needs is more screen time."
Britta,"It's great that he got a celebrity, but why reshoot everything?"
Abed,Perfectionism. The dean's first step down a road that ends in self-destruction.
Britta,That sounds horrible.
Abed,"Actually, I might end up taking this to some festivals. The dean's production has taken over the entire school. Classes are shut down. The quilting club is being forced to sew costumes."
Dean Pelton,"Two females, both 5'10"", one brunette, one with asthma."
Abed,He's also using the P.A. system for casting calls.
Annie,"Okay, everyone- Does everyone have their new script?"
Neil,"Uh, it says I'm supposed to be a book reading a book. That- that doesn't make sense."
Annie,What's this?
Dean Pelton,"Scene four. Last night, I had an epiphany. I'm ready to step this mother up a notch. This commercial is going to push every button, starting with the one that is so hot, it will sizzle your finger- racccccce. And action."
Britta,To meet different people.
Dean Pelton,"Cut! I'm coming in. I am trying to pull a 400-year-old dagger out of this nation's heart, and you two are hugging. Her, I understand, but you?"
Troy,What did I do?
Dean Pelton,You didn't. Let's take it again!
Britta,To meet different people.
Dean Pelton,Again.
Britta,To meet different people.
Dean Pelton,"I need more! More! Wrong! Fight the power! Fight it with your hugs. Tear down those walls. Okay, you get this wrong one more time, I'm segregating the school."
Britta,To meet different people.
Dean Pelton,You can't even do it when we're helping!
Troy,Somebody help her!
Britta,To meet different people!
Troy,Stop saying I'm different!
Annie,"Dean, we've spent 12 hours on this scene. Maybe it's time to move on to something else."
Britta,"I'm in Psych 101, and even I don't know what's happening."
Abed,The dean is going insane and taking all of you with him.
Troy,"If you know that, then do something!"
Abed,I'm doing everything I can. I only have so many cameras. TROY &
Britta,Oh! Aah!
Jeff,"I've spent an entire day in this thing for no reason. What if the shoot drags on for another day? Or, God forbid, two."
Dean Pelton,"And action, and move."
Shirley,This full-time mama ain't breaking the bank
Dean Pelton,"Cut, cut, cut, cut, cut, cut- Garrett, you're not taking advantage of the motion capture technology. You have to move."
Garrett,I forgot what I am again.
Dean Pelton,"Oh, for crying out- you are a microscope! No, that's a toilet. No, that's clearly a frog who can't get out of a box."
Chang,"Jeff thinks he has it bad? As Jeff's understudy, I have to wear my Jeff wig on top of my Chang hair and then my bald cap on top of that. There's no air getting through here. I'm literally dying. But you'll never hear my story. I mean, now you heard it, but... That was close. EUGENE ("
Richie),Are you sure you can't work a little faster? Nobody asked for perfection.
Dean Pelton,"Well, perfection is what you're getting. And if you don't like it, you can fire me. EUGENE ("
Richie),"Yeah, if we don't like it, at this point, we definitely will fire you."
Dean Pelton,"Good. That's how I like it. Ha! I'm surrounded by assassins. My own school's paper has turned on me. But when this is all over, I'll have a commercial with Luis Guzman in it, and all they'll have are their words and their fears and whatever embarrassing photos they can get from my two-faced mother."
Annie,"Garrett, I've got two men in diapers here. I know one of them is playing the dawn of a new era in education, but I've got nothing on the other one."
Man,"Oh, um, just a guest of the dean's."
Annie,"Well, both of you go that way, then. The dean had his seventh epiphany today, which has given me an epiphany of my own. The dean is a genius. He has to be. If he isn't, I've given almost two weeks of my life to an idiot. That is unacceptable. Therefore the dean is a genius. And I will die protecting his vision."
Abed,Are you by any chance familiar with Stockholm Syndrome?
Annie,"Is it something that the dean created? Because if not, I don't care."
Shirley,"We all wanna go, but the dean won't let us. I think Pierce played this the smartest from the beginning. He's probably at home watching Forensic Files and eating cheesy popcorn."
Pierce,"Well, about time."
Leonard,"Hey, that's for Luis Guzman."
Pierce,"Well, when you get me my trailer, he can have it back. And make it as nice as this one. Hey, Dean. Dean? Hey, Dean!"
Jeff,Pierce mistook me for the dean today.
Pierce,I want windows!
Abed,How did that make you feel?
Jeff,I've become a stranger to myself. I'm bald now. I've always been bald. I merely dreamt of having hair. And now the bald man is awake.
Annie,Jeff? It's time.
Jeff,"Lights, camera, Dean. Action. Why go Greendale? Just because!"
Dean Pelton,Cut. Cut. Lose the bald cap.
Jeff,What?
Dean Pelton,"I don't like it. It's hokey, it's fake. Take it off."
Jeff,No.
Dean Pelton,"I beg your pardon, actor?"
Jeff,I have worn this stupid thing for 12 days. I have made bald friends.
Dean Pelton,"Well, that's your mistake. Because it's a lie. It's Hollywood crap. And I won't allow it in my commercial. You're not bald."
Jeff,"Yes, I am."
Dean Pelton,"Well, then, you're wrong for the part!"
