character,line
Dean Pelton,"Dammit! Come on. Oh, Elroy! Elroy, hey. Computer no worky."
Elroy Patashnik,Please don't do that.
Pelton,Computer no worky.
Elroy,"Did you forget your password again? Pelton, I can't keep track of all the parakeets you had growing up."
Pelton,"This is different. No matter what I do, I get the same error."
Elroy,Which one?
Pelton,"You have been owned by Elite Fleet 69. Our hacks are all up in your systems. I'm not bothering to pronounce them, but there are a lot of z's being used."
Elroy,"Oh, crap."
Pelton,What?
Rhonda,Is there another Mask movie coming out?
Elroy,The school's been hacked.
Pelton,What? How can we stop it?
Elroy,"It's too late, it's happened."
Pelton,"No parlo hablo too late at Greendale, Elroy. There's always something that can be done."
Elroy,"You know I, I wasn't gonna say anything but. You could cut the hardline at the mainframe."
Pelton,Hardline. Mainframe. To the mainframe! To the mainframe! Cut the hardline. You were being sarcastic?
Elroy,"Yeah, but you should look at this."
Pelton,"Cancel your offensive performance. You know the one we mean. We have all your information. If you do not cancel this hateful comedy show, you will taste our power in this way."
Elroy,There's a link.
Pelton,"Oh, don't click it."
Elroy,"Oh, what, the green skull will get a virus?"
Pelton,My God. It's the lunch lady's emails. It's all the lunch lady's emails.
Elroy,Which lunch lady? The hot one?
Pelton,You mean the one who serves the hot food?
Elroy,"Mmm, that's the one."
Britta,Please tell me you guys aren't sitting there reading the lunch lady's leaked e-mails.
Jeff,"No one here could ever do that, not even in shifts, it's decades of data. I'm reading the"
Abed,I found a torrent of all the highlights if you don't want to wait for the ads to load.
Frankie Dart,"Abed, that's stealing. Those ads are there so the Gazette can pay people to through the lunch lady's email."
Annie,"Not to get too liberal, but once they're online, does anyone really own the lunch lady's emails?"
Elroy,That's why the future of the internet is branded content. WazzleDazzle.com has got five Bacardi cocktails inspired by the lunch lady's most embarrassing secrets.
Save Greendale Committee,Ooh.
Britta,You guys are violating her privacy.
Chang,"I'm pretty sure the media's doing that, Britta. We're just reading the news."
Pelton,The police are here about our computers being hacked.
Officer Cackowski,"Hi, guys. I see a few familiar faces here. A few new ones, as well. No, just gonna keep the cop you've known for for five years at arms length? I get it."
Annie,What have you boys been able to figure out?
Officer Cackowski,"Don't call us boys. And it's a unique case, because it's hard to decide what laws are being broken. Unless you count the lunch lady's sex life. Thanks, thanks a lot. Anyway, our city does have a cyber-crime division, but it's well, it's pretty new. Any leads, Officer Warburton?"
Officer Warburton,I want McDonald's.
Officer Cackowski,"Wants McDonald's. Some of you probably can't see from where you're sitting. It's literally a child in an adult sized police uniform. It's cute, but it doesn't help our situation."
Pelton,So what do we make of the demands?
Officer Cackowski,"Well we were able to find out a little more. This message was posted online and signed ""The Hackers"". And we assume it's legit because well, that's just where we're at. ""Greendale, cancel the performance of the terror1st comedian"
Pelton,$700.
Britta,"Oh my God, Dean, he's renowned for his racist act."
Pelton,How can he be racist? Listen to his name.
Officer Cackowski,"Well, the message says if you don't cancel his performance, what happened to the lunch lady's gonna happen to everyone on the activities committee."
Jeff,"Ha. We don't have a... Oh, God, that's us."
Pelton,"So, what do we do?"
Officer Cackowski,"That's up to the school. Though I'm just a cop, born in a small town, raised in the heartland, but I say cancel the performance, and give the government the sweeping powers it needs to detect and eliminate people before they turn into hackers. Think that's all I've got. How's everything otherwise? Stoked for Avengers, Avengers, Avengers, Avengers? I hear Marvel got really hands on this time. They really pinned in Joss Whedon creatively, so how can that go wrong? Okay, see ya."
Pelton,I guess I'm gonna call a press conference and announce the comedy is cancelled.
Britta,"Wait, hold on."
Jeff,What's that?
Britta,"Do your thing, inspire them."
Jeff,To do what?
Britta,To rise to the occasion. To not let these hackers push us around. Don't you guys think that we have an obligation here?
Annie,The cop says no.
