episode,character,line_count
1x12 Comparative Religion,Pelton,2
1x12 Comparative Religion,Shirley,38
1x12 Comparative Religion,Jeff,58
1x12 Comparative Religion,Troy,26
1x12 Comparative Religion,Pierce,29
1x12 Comparative Religion,Britta,16
1x12 Comparative Religion,Abed,18
1x12 Comparative Religion,Chang,8
1x1 Pilot,Pelton,1
1x1 Pilot,Abed,35
1x1 Pilot,Jeff,117
1x1 Pilot,Duncan,38
1x1 Pilot,Britta,45
1x1 Pilot,Pierce,26
1x1 Pilot,Troy,21
1x1 Pilot,Shirley,19
1x24 English as a Second Language,Pelton,7
1x24 English as a Second Language,Britta,12
1x24 English as a Second Language,Shirley,27
1x24 English as a Second Language,Pierce,15
1x24 English as a Second Language,Troy,20
1x24 English as a Second Language,Jeff,53
1x24 English as a Second Language,Abed,22
1x24 English as a Second Language,Chang,23
1x2 Spanish 101,Troy,14
1x2 Spanish 101,Abed,20
1x2 Spanish 101,Britta,30
1x2 Spanish 101,Shirley,19
1x2 Spanish 101,Pierce,34
1x2 Spanish 101,Jeff,47
1x2 Spanish 101,Chang,4
1x3 Introduction to Film,Jeff,67
1x3 Introduction to Film,Pierce,6
1x3 Introduction to Film,Britta,47
1x3 Introduction to Film,Troy,14
1x3 Introduction to Film,Shirley,15
1x3 Introduction to Film,Abed,36
1x4 Social Psychology,Chang,5
1x4 Social Psychology,Abed,6
1x4 Social Psychology,Shirley,11
1x4 Social Psychology,Jeff,28
1x4 Social Psychology,Britta,11
1x4 Social Psychology,Duncan,11
1x4 Social Psychology,Pierce,6
1x4 Social Psychology,Troy,8
1x5 Advanced Criminal Law,Pelton,1
1x5 Advanced Criminal Law,Duncan,5
1x5 Advanced Criminal Law,Jeff,6
1x5 Advanced Criminal Law,Abed,6
1x5 Advanced Criminal Law,Troy,5
1x5 Advanced Criminal Law,Britta,2
1x5 Advanced Criminal Law,Chang,4
1x5 Advanced Criminal Law,Shirley,1
1x6 Football Feminism and You,Troy,39
1x6 Football Feminism and You,Jeff,53
1x6 Football Feminism and You,Pierce,20
1x6 Football Feminism and You,Abed,9
1x6 Football Feminism and You,Pelton,30
1x6 Football Feminism and You,Britta,22
1x6 Football Feminism and You,Shirley,17
1x8 Home Economics,Chang,2
1x8 Home Economics,Troy,18
1x8 Home Economics,Shirley,12
1x8 Home Economics,Britta,37
1x8 Home Economics,Jeff,46
1x8 Home Economics,Pierce,21
1x8 Home Economics,Abed,26
1x9 Debate 109,Pierce,24
1x9 Debate 109,Jeff,50
1x9 Debate 109,Britta,20
1x9 Debate 109,Shirley,22
1x9 Debate 109,Troy,16
1x9 Debate 109,Pelton,11
1x9 Debate 109,Abed,20
2x10 Mixology Certification,Pierce,14
2x10 Mixology Certification,Shirley,22
2x10 Mixology Certification,Abed,25
2x10 Mixology Certification,Troy,44
2x10 Mixology Certification,Britta,55
2x10 Mixology Certification,Jeff,55
2x11 Abed s Uncontrollable Christmas,Pelton,2
2x11 Abed s Uncontrollable Christmas,Abed,75
2x11 Abed s Uncontrollable Christmas,Shirley,12
2x11 Abed s Uncontrollable Christmas,Troy,27
2x11 Abed s Uncontrollable Christmas,Pierce,20
2x11 Abed s Uncontrollable Christmas,Jeff,21
2x11 Abed s Uncontrollable Christmas,Britta,16
2x11 Abed s Uncontrollable Christmas,Duncan,44
2x11 Abed s Uncontrollable Christmas,Chang,4
2x13 Celebrity Pharmacology,Troy,16
2x13 Celebrity Pharmacology,Abed,15
2x13 Celebrity Pharmacology,Pierce,56
2x13 Celebrity Pharmacology,Jeff,27
2x13 Celebrity Pharmacology,Shirley,16
2x13 Celebrity Pharmacology,Britta,25
2x13 Celebrity Pharmacology,Pelton,7
2x13 Celebrity Pharmacology,Chang,14
2x14 Advanced Dungeons Dragons,Jeff,58
2x14 Advanced Dungeons Dragons,Shirley,17
2x14 Advanced Dungeons Dragons,Britta,21
2x14 Advanced Dungeons Dragons,Chang,7
2x14 Advanced Dungeons Dragons,Troy,17
2x14 Advanced Dungeons Dragons,Abed,76
2x14 Advanced Dungeons Dragons,Pierce,48
2x15 Early 21st Century Romanticism,Troy,30
2x15 Early 21st Century Romanticism,Abed,23
2x15 Early 21st Century Romanticism,Jeff,42
2x15 Early 21st Century Romanticism,Pierce,15
2x15 Early 21st Century Romanticism,Shirley,4
2x15 Early 21st Century Romanticism,Britta,28
2x15 Early 21st Century Romanticism,Duncan,22
2x15 Early 21st Century Romanticism,Chang,22
2x16 Intermediate Documentary Filmmaking,Jeff,48
2x16 Intermediate Documentary Filmmaking,Shirley,25
2x16 Intermediate Documentary Filmmaking,Britta,32
2x16 Intermediate Documentary Filmmaking,Pierce,44
2x16 Intermediate Documentary Filmmaking,Abed,13
2x16 Intermediate Documentary Filmmaking,Troy,13
2x19 Critical Film Studies,Jeff,48
2x19 Critical Film Studies,Abed,52
2x19 Critical Film Studies,Britta,10
2x19 Critical Film Studies,Pierce,6
2x19 Critical Film Studies,Shirley,5
2x19 Critical Film Studies,Troy,17
2x19 Critical Film Studies,Chang,6
2x21 Paradigms of Human Memory,Britta,28
2x21 Paradigms of Human Memory,Jeff,50
2x21 Paradigms of Human Memory,Shirley,19
2x21 Paradigms of Human Memory,Troy,23
2x21 Paradigms of Human Memory,Chang,9
2x21 Paradigms of Human Memory,Pierce,13
2x21 Paradigms of Human Memory,Abed,22
2x21 Paradigms of Human Memory,Duncan,2
2x21 Paradigms of Human Memory,Pelton,11
2x2 Accounting for Lawyers,Jeff,63
2x2 Accounting for Lawyers,Pierce,14
2x2 Accounting for Lawyers,Pelton,13
2x2 Accounting for Lawyers,Britta,14
2x2 Accounting for Lawyers,Troy,27
2x2 Accounting for Lawyers,Shirley,15
2x2 Accounting for Lawyers,Abed,26
2x2 Accounting for Lawyers,Chang,13
2x4 Basic Rocket Science,Jeff,2
2x4 Basic Rocket Science,Abed,2
2x4 Basic Rocket Science,Pierce,1
2x4 Basic Rocket Science,Troy,1
2x4 Basic Rocket Science,Britta,2
2x4 Basic Rocket Science,Shirley,1
2x6 Epidemiology,Pelton,25
2x6 Epidemiology,Jeff,46
2x6 Epidemiology,Britta,12
2x6 Epidemiology,Shirley,15
2x6 Epidemiology,Pierce,2
2x6 Epidemiology,Troy,32
2x6 Epidemiology,Chang,20
2x6 Epidemiology,Abed,23
