character,line
Summary,Dean Pelton is giving the morning announcements as Jeff arrives at school. The study group awaits Jeff's arrival and Britta is annoyed by him having kept everyone waiting.
Featuring,Dean Pelton
Setting,The Campus parking lot.
(Public address system),"Good afternoon, Greendale Community College. I am your dean with a few corrections to the fall class catalogue. Cosmology should be Cosmetology. Astrology should be Astronomy...and, uh, the students on the cover should be smiling, but I suppose that's a matter of opinion."
(P.A.),"Whoever is growing a small patch of cannabis behind the gymnasium, congratulations, you have won a cruise. Report to security to claim your tickets."
Featuring,Dean Pelton
Setting,Group Study Room F
(P.A.),"In order to increase awareness of homelessness, security has been given binoculars. In campus news, the debate over our library's PA system continues, with some students suggesting its volume be lowered while others question its very purpose. More on that story as it unfolds."
Troy,That dude makes a lot of announcements.
Abed,"I like it. It makes every 10 minutes feel like the beginning of a new scene of a TV show. Of course the illusion lasts until someone says something they never say on TV, like how much their life is like TV. There, it's gone."
Annie,I guess Jeff's running late again.
Britta,"Oh, what a shame. Maybe we should get started..."
Shirley,"No, no, no. I think we should wait for Jeff before we start studying."
Annie,"But maybe when Jeff gets here, we could talk to him, as a group, about his tardiness."
Pierce,"Oh, come on now. Don't use that word around Abed. If you want me to have a chat with Jeff, I'd do it. We've got a bond going, kind of, sort of like brothers."
Troy,I hope your mom didn't make you take baths together because one of you would have been like 30.
Annie,"Ha, ha, ha."
Shirley,That's funny.
Pierce,"You know Jeff probably comes late so he doesn't have to sit through your tardiness. Sorry, Abed."
Britta,"Hey, will you guys have some self-respect? You are obsessing over someone who does not give you a second thought. Meanwhile, in Guatemala, journalists are being killed by their own government."
Shirley,"Baby, you done jumped a column there. What's happening in Guatemala?"
Britta,Nothing.
Annie,Journalists are being murdered?
Britta,"Believe me, every day in that country, people are being killed for speaking out and the worst part of it is, when it's all over..."
Abed,Spoilers.
Britta,"...It's gonna be as if it never happened. Hey, Abed, real stories, they don't have spoilers. You understand that TV and life are different, right?"
Jeff,He-e-e-ey!
(to Annie),Milady.
Annie,Milord.
(to Shirley),"Hey, baby."
Shirley,"Hi, sweetie."
(to Shirley),You smell nice.
(to Pierce),Vitamin P.
Pierce,"Morning, Jeffrey. People were jazzed to see me too."
Troy,Word them up.
Jeff,Word them everywhere.
Abed,Good entrance.
Jeff,Thank you. It was for you.
Jeff,Britta.
Britta,"Hey, Jeff. I think there's something that the group would like to talk to you about."
Abed,"Actually, there's nothing more to say."
Pierce,Nice jacket.
Britta,"Okay, if you're gonna study with people, it would be cool of you to show up on time."
Jeff,Oh. Were you waiting?
Annie,No.
Pierce,I just got here.
Troy,No.
Jeff,Because you guys spend the first 20 minutes talking about your interesting personal lives and your cool emotional problems. I just feel like I never have anything to offer.
Annie,Ohh.
Jeff,"No, no. Truth is, my life is emptier than this three-ring binder. Annie, do you have any Spanish notes that might fit in there? Wow. Double-spaced. Thank you. So what's a guy gotta do to get a C around here?"
