character,line
Annie,"A small, fading remnant of a star."
Troy,A white dwarf.
Annie,That's right.
Troy,"I used a memory technique. Dwarves hate being called midgets, and midgets are small."
Annie,Good. And what does a star turn into after it collapses?
Jeff,A movie of the week.
Troy,A black hole.
Annie,"Right! Troy, you could be an astronomer."
Pierce,"As far as I'm concerned, there's only one black hole worth studying. It's called Sagittarius A. It's located in the center of our galaxy and it has the density of 40 suns. Just like my wiener."
Troy,"Ha, ha. You said ""wiener."" That's funny."
Abed,Pierce and Troy didn't get along at first but now they're bonding through mutual adolescence.
Pierce,"Shut up, fart head."
Troy,"Will you shut up, poo-poo head?"
Dean Pelton,"Hi, everybody. Ha, ha. Well, look at this group. Having some kind of meeting and being so diverse. There is just...boy, there is just one of every kind of you, isn't there?"
Pierce,"Well, we are missing a pipsqueak but we don't want one, so beat it."
Britta,"Uh, Pierce, that's the Dean."
Pierce,You kidding? Sorry. Just my luck.
Pelton,"It's all right. Don't let me interrupt. Sometimes, I just roll around campus like a little football. I can't believe this. Here I am in a random conversation about football, and I'm talking to Troy Barnes, star quarterback from Riverside High. Whoa. Heh. Troy, did you know"
Jeff,Did you know they had a football?
Pelton,"Ah, heh. Good. That's very funny. Troy, I was so sorry to hear about your injury, but now that you have recovered, we would love for you to play for the Human Beings."
Shirley,The team's name is the Human Beings?
Pelton,"Yeah. My idea. It was the Greendale Grizzlies but I thought that, um...well, a lot of these students have been called animals their whole lives. Unfortunately, I don't know what to do about the mascot."
Pierce,"Oh. I could help with that, Your Honor. I have a wealth of experience in image management, icon development and Y2K preparedness."
Pelton,"Ooh. Well, aren't you found money. Heh, heh. Troy, all of your friends are lining up to turn Greendale around. How about you?"
Annie,Troy isn't interested in football anymore. Getting injured in that keg stand was the best thing that ever happened to him.
Pelton,"Whoa. Yoko Ono much? Ha, ha, ha. Bros before ho's, Troy."
Troy,"Heh. Listen, man, no offense, but I was the best and I finished on top. I wouldn't play for this school with a 10-foot pole."
Jeff,"Dean, I'm sure Troy will sign up for football, if and when some accident damages the part of his brain that feels pride. Until then, would you excuse us?"
Pelton,"All right. Well, uh, if you change your mind, the field is always open. Oh, figuratively speaking. You know. Wednesdays and Sundays it's used as parking overflow for the megachurch. Okay."
Jeff,"Now let's meet the minimum requirements for a language credit, shall we?"
Shirley,"Yes, but I need to go to the bathroom first. Uh, Britta?"
Britta,"Oh, no, I don't have to go."
Annie,I'll go with you.
Britta,What? She's offended?
Jeff,Girls go in groups. Did you learn nothing from standup comedy in the '90s?
Britta,"I'm familiar with the concept, I just, uh. Fine. If it's important to Shirley, I'll go with her next time. I'm willing to try some more mainstream feminine stuff."
Jeff,"Well, then you should know nothing says, ""I'm a woman"" like doing it with me."
Britta,"Nothing says, ""I'm a pig,"" like you."
Abed,Will they or won't they? Sexual tension.
Jeff,Abed. It makes the group uncomfortable when you talk about us like we're characters in a show you're watching.
Abed,"Well, that's sort of my gimmick. But we did lean on that pretty hard last week. I can lay low for an episode."
Jeff,"Are you sure you made the right call on the football team, Troy? It looks like they won something once. ""Most Valued Customer, Henderson Trophy Cases."""
Annie,"So, we should still study a little more astronomy later, right? Maybe over some Milky Ways or some Mars bars."
Troy,Or pancakes.
Jeff,"""I'm Jeff and I'm a student at Greendale""? Well, that's not good."
Professor Baker,"Wood undergoes rapid oxidation because it reacts spontaneously to...okay, guys. Seriously. We've talked about this. Okay, you have got to turn off your cell...That's mine. My bad."
Britta,I'm going to the bathroom. Would you like to come with me?
Shirley,"Well, yes. Yes, I would. That's nice."
Baker,"Okay, what's it called? Antoni...? Hold on. Does anybody have a pen? A pen? No one has a pen. Why would you not bring a pen to class? Idiot. No, you're not an idiot. Ha, ha, ha."
Shirley,"I had my blinker on about five minutes and this no-good, ""clearly bald but trying to hide it with a bandana"" loser swooped right in. I couldn't believe it."
Britta,Maybe he didn't see you.
Shirley,He saw me.
Britta,Maybe he had his blinker on too.
Shirley,"Maybe. So you got any family, Britta?"
Britta,Yeah. Whatever.
Shirley,I think my Mom might visit this weekend. She and I are gonna get makeovers at that spa...
Britta,"Makeovers. They sure have us programmed, right? I am a female pleasure unit. I require a new coat of paint."
Shirley,Just something I thought might be fun.
Britta,"Here's something I think might be fun. Let's find out the number of makeup companies that are owned by women. I'll save you the trouble. It's zero. Of course, you're saying, ""Britta, aren't you a hypocrite? You're plastered with glitter and goo from head to toe just like the rest of us."" Well, I also pay income tax and pull over for cops. But that doesn't mean I support a country that oppresses its citizens..."
Pelton,"Thanks for offering to help design the new mascot. I, uh, have been a little stumped."
Pierce,"Heh. That's no problem. By the way, I took the liberty of thumbnailing a Human Being prototype, uh, which I modeled after Da Vinci's Vitruvian Man."
Pelton,Oh. You're offering it but...
Pierce,"The penis is a little small, I think."
Pelton,"Oh, okay. It looks a lot like you. Okay. Um, here's the thing. If we are the Human Beings, you know, and we have a mascot that's just a white guy, what message are we sending? Our symbol needs to reflect the diversity of our school and our species."
Pierce,"So, black?"
Pelton,"No, no, because we're not the Greendale Blacks, Mr. Hawthorne, or the Greendale Asians, or any other creed. We are the Greendale Human Beings."
