character,line
Narrator,"Gather close that you might hearken the story of Fat Neil. Born stout of heart but large of bone, his adolescent years were shadowed by scorn and mockery."
Girls,"Hey, fatty, fatty. Hey, fatty, fatty."
Narrator,"Outlets of fantasy afforded him some escape from the darkness throughout high school. And as a man, he traveled far, to a new school and a new beginning. Or so he thought."
Man 1,They're down there by Fat Neil.
Woman,It's Fat Neil.
Man 2,It's Fat Neil.
Narrator,The name became a joke.
Man 3,I'll have what Fat Neil's having.
Narrator,The joke became his life.
Teacher,"Yes, Fat Neil?"
Narrator,"And Neil fell again into darkness. Only this time, his thoughts turned to an escape of which we dare not speak. But pain need not be spoken to be known. Not to all. It was, strangely, Jeff the Liar, son of"
Jeff,Neil.
Narrator,"It was Jeff who pretended to be interested in Dungeons & Dragons in an effort to lift Neil's spirits. And when Jeff's fake interest resulted in Neil giving Jeff all his books, explaining he wouldn't need them anymore, it was Annie the Dayplanner, herself a recovering headcase, that recognized the signs of coming doom. A council was called. Troy the Obtuse. Shirley the Cloying."
Shirley,Hee-hee-hee. I know.
Narrator,Abed the Undiagnosable.
Britta,Assange is a modern-day Paine.
Narrator,"Britta the Needlessly Defiant. For reasons that should be obvious, Pierce the Insensitive, known also as Pierce the Dickish, and Grandpa the Flatulent, was not invited. The group agreed that what Fat Neil needed most was to feel like a winner for a change. They would invite Neil that Saturday to a game of Dungeons & Dragons designed by Abed to help Neil reclaim his confidence."
The Study Group,For Neil!
Narrator,"At the end of the meeting, they realized that Chang had been there and felt too awkward to mention it. What they couldn't have known was that they had just scheduled the most important game of Dungeons & Dragons ever. A game which not only might save a life, but which would forever change the balance between good and Pierce."
Chang,"Hey, Neil. This is gonna be awesome, yo."
Shirley,We're gonna ignore that hate crime?
Chang,I'm a dark elf or a drow.
Jeff,Shouldn't you be wearing armor or something?
Chang,"Ha, ha. I'm an elf, not a nerd."
Neil,You guys suddenly wanted to play Dungeons & Dragons?
Troy,Yeah. Why wouldn't we?
Shirley,Yeah.
Jeff,It's cool.
Troy,"And when you play it, it makes you happy, like a dragon."
Abed,"Okay. Hi, I am your Dungeon Master. We will be playing this adventure,"
Chang,Oh.
Abed,Neil has a character named Duquesne that he's been playing for years so I made these for you guys. Take your time. Choose your character carefully. They each have their own unique combinations of strengths and...
Troy,Shouldn't there be a board or some pieces or something to Jenga?
Abed,"No, no. This is a role-playing game. It takes place entirely in our collective imagination."
Troy,Neil.
Abed,"I tell a story and you make choices in the story. Let's begin. You're all standing on a country road. Legend has it that the evil dragon Draconis dwells nearby guarding a massive pile of treasure. Working as a team, your goal is to track down the dragon, kill him and then claim the treasure as your own. Jeff, your turn."
Jeff,"It's my turn? Oh. Um, what do I do, roll dice?"
Abed,You tell me what you want to do. Then I roll the dice to see if you're successful.
Jeff,What are my choices?
Abed,"OK, you're slowing things down, Jeff. Shirley what do you want to do?"
Shirley,"I'd like to introduce myself to the group. Hello, I am a dwarf named Zibbady Doo."
Abed,"OK, I'm not the best at making up names."
Jeff,"Oh, hey. I'm ""Marrrrrr."" Boy, you weren't kidding."
Troy,"Hello, Marrrrrr. My name is Bing Bong the Archer. I'm an archer and such."
Annie,"I'm...Ew. ""Hector the Well-Endowed""? Abed."
Abed,I didn't know you'd just grab one at random. I made that one with Troy in mind.
Shirley,"Yeah, I bet you did."
Britta,"Okay, hi, I'm ""Lavernica."" I have three armors, boots, belt, a torch..."
Jeff,"Wait, let her finish."
Chang,"Worst introduction ever. Check it. I am Brutalitops the Magician. Ha, ha, ha. Magic user, baby. What?"
Abed,"An arrow flies through the air, almost hitting Brutalitops. Six goblins are running toward you from the treeline, drawing daggers."
Troy,Oh. I attack them using my additional notes.
Abed,It has no effect. Britta?
Britta,I want to know why are these goblins attacking us? Maybe these woods are their rightful land and from their perspective...
Study Group,Groan!
Troy,You're the AT&T of people.
Abed,You've been shot by an arrow.
Britta,Ow!
Abed,"Yeah, it hurts. Jeff."
Jeff,"Uh, I take my throwing knife and throw it, knife style."
Abed,You do 10 points of damage.
Jeff,Look at that. What am I not good at?
Britta,Sex.
Abed,"But the goblins close in, surrounding you on all sides."
Neil,I draw my plus-three Sword of Duquesne and attack in a 180-degree arc.
Abed,"The goblins are terrified as Duquesne draws his powerful, glowing sword from its sheath and, in one move, slices the throats of three charging goblins."
Study Group,Oh!
Abed,The rest of the goblins run away.
Britta,"Great job with the sword, Neil. You saved us. What would we have done if you didn't exist?"
Jeff,"Dial it back, Lavernica. Pierce, what are you doing here?"
Pierce,How about you answer that question? What the hell is this little tea party?
Shirley,We're playing Dungeons & Dragons.
