character,line
Troy,Does anyone know how long it takes papier-mâché to dry?
Jeff,Three hours longer than it took Duncan to think up this assignment.
Annie,"I think he's really going to appreciate the extra work we did expanding our evolutionary chart. Oh, Britta, can you hold up the final stage of humanity?"
Britta,I still think that man is going to evolve into woman. Not a dragon monster with three legs.
Pierce,Three legs?
Jeff,"Well, it's been real. At least the paste smell has. But I have a date to catch. Or should I say, a catch to date."
Britta,"Oof, I hope you just came up with that."
Dean Pelton,"Look out, drive-by deaning!"
Dean Pelton,"Ha-ha, just kidding. Just a non-violent, verbal reminder. The local shelter is having a Puppy Parade this afternoon."
Troy,"Aw, I wanna lick it."
Dean Pelton,I expect all of you to lend a paw. Heh-heh.
Jeff,"Oh, like you're famous for your wit."
Abed,Puppy Parade?
Troy,I am in.
Troy,"I want to see if those wiener dogs are born that way, or if they start off normal and then get wiener."
Annie,"Abed, did you pick up my pen? It's a purple pen with a gel grip?"
Abed,Nope. I'm strictly mechanical pencils these days.
Pierce,More relatable?
Annie,It was just here.
Abed,"You okay, Annie? Chocolate?"
Shirley,"Would you like me to push you to the parade, Pierce?"
Pierce,"Oh, no thanks, I don't want people to think of me as a handicap. If anything, this chair makes me more than human."
Annie,"Wait. Please, just wait. I'm sorry, but I need to know who took my pen."
Britta,"Uh... sorry, I don't see it."
Jeff,"Yeah. Sorry, Annie."
Annie,"No! Not 'Sorry, Annie'. We passed 'Sorry, Annie' eight pens ago. I keep bringing pens, and you guys keep taking them, and I'm afraid I'm putting my foot down."
Shirley,"Okay. Well, now Annie has made it clear that this is an issue, so from now on, we need to be more respectful of her things, okay? Okay."
Abed,Cool.
Jeff,"Alright. It's not on the floor, so whoever accidentally took-"
Annie,Not
Jeff,"Okay, whoever insidiously and with great malice aforethought abducted Annie's pen, confess, repent, and relinquish so we can leave."
Troy,"Maybe nobody took it. Sometimes I think I lost something really important to me, and it turns out I already ate it."
Annie,"I didn't eat my pen, Troy. I know I brought it, and now it's gone."
Jeff,Annie. It's a pen.
Annie,It's not a pen! It's a principle.
Troy,Not a good time to get a stick of gum. Okay.
Abed,Are we going to the Puppy Parade or not? 'Cause this is starting to feel like a bottle episode.
Pierce,"Again with the TV crap. Hey, meatball, did you take Annie's pen to make life more like"
Annie,Abed?
Abed,I wouldn't do that. I hate bottle episodes. They're wall-to-wall facial expression and emotional nuance. I might as well sit in the corner with a bucket on my head.
Britta,"Well I have a photography project to finish, and my grandmother's hands aren't going to take close-ups of themselves."
Annie,Hmph.
Britta,"Was that ""hmph"" directed at me?"
Annie,"If the ""hmph"" fits."
Britta,"I don't have your pen, Annie."
Annie,I'm always lending you supplies. You never come prepared.
Britta,"If it's so important to you, here, have my pen."
Jeff,That's my pen.
Britta,"Well, whatever, people, they're just things."
Annie,"Since they're just things, I don't suppose you'd mind letting us take a quick look-see inside your bag?"
Britta,"Oh, I'd very much mind, Annie. There's no such thing as a quick invasion of civil liberties."
Pierce,"Oh, man."
Britta,"It all starts with a quick look-see into someone's bag, and then it's a brisk peek-a-roonie at our phone records, and before you can say 1984, the Thought Police are forcy-worcing you to bend and spread."
Jeff,Bend and spread? Are the Thought Police going to make love to us?
Troy,Do they find thoughts in our butts? I knew I should've read that book.
Annie,"Britta, stop using the Constitution as a baby blanket. Last week, she invoked the Freedom of Information Act to request photocopies of my notes."
Jeff,Heh. That's pretty good.
Britta,Well excuse me for living free.
Pierce,"Come on, stony, we all know the pen's in your bag."
Annie,"Yeah, come on."
Jeff,"Yeah, come on, just drop it."
Britta,Happy?!
Jeff,Not if that's a used Q-tip.
Pierce,Gross.
Britta,"Yes, gross. Welcome to the gross business of martial law. Welcome to what used to be individuality, seized and disintegrated by cowardly groupthink. Welcome, my friends, welcome to the machine!"
Jeff,"Well, Annie, it looks like you were wrong. Britta does come prepared for one thing."
Britta,Can't complain.
Pierce,Razzle pizazzle.
(over PA),"Attention, students. The Puppy Parade is starting on the quad. Better come quick. With every passing moment, these puppies grow older and less deserving of our attention."
Britta,"Woah, woah, woah, where do you people think you're going?"
Troy,"Uh, have you ever gone to a Puppy Parade halfway through, Britta? It is pointless."
Britta,Then you clearly stole the pen. The Patriot Act cuts both ways.
Jeff,"Actually, it's pretty one-sided. That's kind of the point."
Britta,"Here's my point. Whoever the pen thief is just stood there and watched me get Guantanamo'ed, and I'd like to know who it is so I can let them know that they have lost my trust forever."
Abed,It's a bottle episode.
Shirley,"Brit-ta, we're sorry we embarrassed you and looked at your prophylactic equipment, your lifestyle mistakes are none of our business."
Britta,"Oh, thanks, Shirley, but now let's rustle through"
Shirley,I'm sure everybody here knows that I don't steal.
Annie,"Have you checked your bag, Shirley? If you took it by mistake, I forgive you."
Britta,"Oh, so if I took it, it's larceny, but if you find it under mother hen, it's a mistake."
Shirley,Mother hen? I think we about the same age.
Britta,"Sure, unless time is linear."
Shirley,I'll make your ass linear.
Britta,That doesn't make any sense.
Shirley,I'll make your ass sense.
Pierce,"Girls, don't get your panties puckered. We all know what we're really thinking. If, and I mean if, the culprit is among us, statistically speaking, it's Troy."
Jeff,"Yes, we were all just thinking that, in 1856."
Troy,1856? What if a ghost took the pen?
Shirley,Please forgive him.
Troy,For what?
Pierce,"For stealing the pen, dummy."
Troy,"Why would I take her pen? I don't even like having my own. It's probably under one of Pierce's casts, he uses everything to itch his legs. We're on our third DVD remote."
Pierce,"If I took the pen, I'd say so."
Troy,You probably forgot. You've been popping pain killers like tic tacs.
Pierce,"Oh, yeah right."
"""Side effects","verbal dysphasia and octopus loss."" I don't see anything in this squirrel about memory, Troy."
Shirley,Now
Annie,"Nice try, Shirley, that doesn't take you off the list. Jeff, you're in charge. I demand you deal with this."
Jeff,There's nothing to deal with.
Abed,I'll say.
Jeff,"Okay. Alright, alright. Everyone, breathe."
Jeff,You know what this is?
Abed,Yep.
Jeff,"Shut up. This is a normal day, with a group of friends who are done studying, and a pen that maybe rolled away."
Annie,Rolled away?!
Jeff,Or fell down someone's shoe.
Annie,Let's check shoes.
Jeff,ANNIE.
Britta,They should.
Annie,Mm-hm.
Jeff,"Okay, okay. So, pen thief, we understand what happened, and we forgive you."
