character,line
Chang,"I really made my bones with that last collar, babe. Today's the day. You woke up with a guard this morning. But tonight, you're going to bed with a detective. Shh...okay, you get some rest, 'kay? Probably need it."
Shirley,Here's
The Study Group,Aww.
Troy,Here's me and Abed dressed as Nick Nolte and Eddie Murphy.
Study Group,Aww.
Annie,Who's Nick Nolte?
Study Group,Aww.
Pierce,"Hey, Abed, can I borrow some change for the water fountain?"
Abed,Yeah. Here you go.
Pierce,Thank you.
Britta,Wait. Change?
Jeff,"Hey, Dean."
Dean Pelton,Hmm?
Jeff,What are you doing?
Pelton,"Nothing after lunch. And I can skip lunch if you want...oh. That. Keeps tuition down and it saves on water, too."
Britta,That's because nobody's gonna pay to drink water.
Pelton,Actually it's a two drink-minimum. It'll be reflected in your tuition.
Chang,"Hey, Dean. Thanks for the new digs."
Pelton,"Ah, eh, remember what we talked about? We have to keep this whole living situation kind of quiet. You know, on the dean-low."
Chang,"Sure, you know, I'm barely there. I'm married to the job. And to a mannequin leg I found in the boiler room."
Crazy Schmidt,Homewrecker.
Professor Kane,"Your first major lab assignment is to construct a terrarium. Sort of like a diorama. You guys have weird reactions to stuff. Hey, can I ask you something? This is unrelated. As someone who just finished spending the majority of his life in prison, what happened with Legos? They used to be simple. Oh, come on, I know you know what I'm talking about. Legos were simple. Something happened out here while I was inside."
Troy,Who are these people?
Shirley,"Um, hello, please, Professor Kane?"
Kane,Yes?
Annie,"I know you haven't been here at Greendale very long, but, um...we're a"
Britta,It's kind of a thing. We've been through a lot.
Shirley,You probably heard of the
Abed,Paintball
Pierce,"I had sex with Eartha Kitt in an airplane bathroom, and these are the only guys I've ever told."
Troy,"Yeah, we're like a family. We love each other."
Abed,Second paintball
Kane,What is happening at this school? I have so many conversations that make no sense.
Jeff,"Uh, we'd really prefer to partner up amongst ourselves."
Kane,I don't care. Go ahead.
Study group,Yay!
Annie,"It's not you, it's me."
Britta,I'm just trying to protect us both from more pain down the road.
Abed,I may have a developmental disorder.
Troy,I need to catch up on
Shirley,I'm so sorry.
Jeff,I have a developmental disorder.
Pierce,"You're also, quite frankly, a very weird-looking man. I don't know you, but I just don't trust you. And I don't think I could grow to like you. The point of what I'm trying to tell you, Todd, is that I don't want to be your lab partner. No offense."
Todd Jacobson,"None taken. I understand, you wanna be with your friends."
Pierce,"Don't tell me what I'm feeling or thinking. It's petty. Good-bye, Todd. Okay, how are we gonna divide the...Hey, Todd! Todd, buddy! You passed the test!"
Chang,"I've been walking my beat a long time, sir. A long time. I've kept my head down, paid my dues. And, well, I think I'm ready to make detective."
Sgt. Nunez,You've only been here a month. You really haven't done much of anything. And there's no such thing as security guard detective. We don't solve crimes. We barely prevent them. You wanna detect something? Do it on your own time.
Chang,"Maybe I will. Maybe I will. My own words rang in my head like a bell inside a head. Maybe I was crazy. Or maybe, just maybe, I was a detective. Hey."
Suspicious girl,What?
Chang,Looking for something?
Suspicious girl,No.
Chang,"She said she wasn't, but her eyes said otherwise. She was all dame, legs that went all the way to the bottom of her torso. The kind of arms that had elbows."
Suspicious girl,Um...did you just call me in here to stare at me?
Chang,"The way she left, I could tell that somebody, or something, had really put the scare on her. But what? Why? Stapler. Was I crazy? Or were they somehow connected?"
Annie,I can't believe it. This is the first time there hasn't been a beetle in here. Should we move outside?
Jeff,Uh-huh.
Annie,Did you even hear what I said?
Jeff,Uh-huh.
Annie,Seriously? Is this what it's gonna be like working together?
Jeff,"What? I lost three followers? Man, people just can't handle the truth about Ben Sherman's winter collection."
Troy,"Roommates, study group, lab partners. We really are gonna spend all our time together. How awesome is that?"
Abed,Very. You know what else is awesome? Last night I saw the Hong Kong movie that
Troy,"Yeah, I know, I was there."
Abed,Did you see the scene where Kickpuncher kick-punches 200 guys with one kick-punch?
Troy,Yeah. Both of them.
Abed,Oh.
Troy and Abed,We spend too much time together. Jinx.
Shirley,Here's Ben with his cupcake. And here he is a few seconds later when he was crying because he dropped his cupcake.
Britta,Mm-hmm.
Shirley,"And here he is with another cupcake. Oh, wait, these pictures are out of order. That's the same cupcake."
Britta,"Oh, Shirley, these pictures are adorable. And comprehensive. But did you know that sugar is like baby meth? That's what my homeopath said."
Shirley,"Well, maybe your gay friend should mind his own business."
Chang,"""Forget about the girl,"" I told myself. ""Let her go, like a lobster claw letting go of a small balloon for lobsters."" Still, I had a hunch. Hmm. A matchbook. Something about it seemed clue-y. ""Arizona Matchbook Company."" Arizona. Arizona backwards is still Arizona! It's a palomino! Maybe I was crazy...or maybe I was finally sane. Why does this guy keep staring at me?"
Troy,Britta. What are you doing here?
Britta,"Oh, I was just getting some air."
Troy,Me too. And wondering something.
Britta,"I was wondering something, too."
Troy,Tell me.
Britta,"No, you first."
Troy and Britta,"I was wondering, what would it be like if we were partners?"
Abed,What's going on here?
Annie,Were you thinking of changing partners?
Shirley,Who's thinking of changing partners?
Jeff,Were you gonna bail on me?
Annie,"No. No one here is thinking of changing partners. No, sir."
Pierce,I am!
Todd,"While he was spying, I found a turtle."
Pierce,"It's not fair that I should be the only one here saddled with a total waste of space loser. No offense, Todd."
Todd,None taken.
Pierce,Why should you all get the exact partner you wanted?
Britta,That's right. It's totally not fair that we saddled Pierce with Todd.
Annie,"We should probably choose partners again. I mean, just to be fair."
Jeff,So it's agreed. Let's go to the
Shirley,Okay.
Todd,"Um, did you want me to come?"
Jeff,"Um, it's called ""the Todd problem."""
Jeff,"Okay, we just have to come up with a fair way to decide who is gonna be stuck for an entire semester with this...random, this, uh...non-grouper. No offense, Todd."
Todd,None taken. I'm happy to work with whoever.
Troy,"There's only one way to decide this fairly. We go boy-girl, boy-girl. But everyone has to have a different hair color. And be from a different high school. And be a different race. I guess I'd be with Britta. I guess my hands are tied."
Abed,"The hair color concept intrigues me because it's how I distinguish you anyway. But what if we arrange by age, so that way the young people can work while the old people sleep and vice versa."
Shirley,"Um, I was just wondering who you considered old, because I'd like to remind you again that I'm just about the same age as Jeff."
Abed,"Oh, I was counting Jeff as old, too."
Jeff,Hey!
Shirley,"Oh, well, that's all right then. I just don't understand how my age has anything to...oh, for heaven's sake, Pierce!"
Britta,"I was thinking the thing that would be most beneficial, you know, for the group, would be to pair the people with the lowest GPAs with the highest."
Annie,Hmm. Interesting. The highest carrying the lowest? I can see how you might want that.
Britta,"You know what, Annie? Pew, pew, pew, pew. Wait, no. Pew, pew, pew, wait."
Todd,Does anyone else have kids? Because I have a gorgeous little newborn that I'd like to get...
Britta,"Oh, perfect! You'll enjoy talking to Shirley about her kids."
Shirley,"Uh-uh, don't go trying to pawn Todd off on me."
Todd,"Again, none taken."
Annie,"Guys, our terrariums are due tomorrow and it's already nine."
Jeff,"Okay, let's make this simple and do it like student housing. Everyone write down their lab partner preferences from one to eight. Abed..."
Abed,Mmm-hmm.
Jeff,"You're a computer. You figure out a way to put us in our optimal pairings. And before you all go putting Todd down last, don't forget he comes with a turtle. You're halfway done. How does that sound? Somebody wake up Pierce."
Telephone voice,"Hello, Arizona Matchbook Company."
Chang,I had to get some answers. And I needed answers like a fish needs a bicycle...a lot.
Telephone voice,Hello? Hello?
(on phone),"Yeah, I am, uh, interested in your matchbooks."
Telephone voice,"Yes, would you like to place an order?"
Chang,I had to think fast.
(on phone),Yes.
Nunez,Get away from my desk.
(on phone),I'll call you back.
Nunez,You've been walking around campus asking people weird questions and then staring at them while slightly moving your lips?
Chang,I had to think fast. No.
Nunez,Ben...I think this job might be getting to you. I think you need to take some time off.
Chang,"Oh, you'd like that, wouldn't you?"
Nunez,Very much so. Yes.
Abed,"All right, yep. According to my system, Annie's gonna be with Shirley. Pierce is with me. Troy is with Britta. And Jeff is with Todd."
Annie,"Okay, let's get to work."
Jeff,"Uh, wait. Um, how did I end up with Todd? I mean, no offense, but he wasn't exactly at the top of my list."
Todd,None taken.
Abed,It's what the algorithm dictated.
Jeff,And we're just supposed to trust your algorithm?
Abed,You're questioning my algorithm?
Jeff,Not necessarily. Is your algorithm above questioning?
Abed,Not necessarily.
Jeff,Will you just tell us how you chose?
Abed,I used the ballots to rank everyone by popularity. And I put the most popular with the least popular. I figured it would maximize each partnership's audience appeal.
Jeff,"Oh, I, I see. So I was number one, and he was obviously number eight. No offense, Todd."
Abed,You and Todd were four and five.
Jeff,I was four?
Abed,Todd was four.
Jeff,"I was five? Well, that's insane! We don't even know him. He's a stranger."
Pierce,"Please, Jeff. It has feelings."
Troy,"Wait, so we all know Annie was number one, because she'd do all the work. And Shirley was her partner, so..."
Shirley,"But that means, so you all put..."
Pierce,I just worked it out. I'm more popular than someone!
Chang,"Getting the matchbooks shipped to me the same day wasn't easy. I had to pay the company money. I used Nunez's card. He'd thank me at the Detective Awards. Somewhere, somehow, I was gonna find what I was looking for. Holy Mary, mother of God. Was I crazy? Or was I on the verge of something? My mind reeled with thoughts. Voices. Stand-up premises. Why don't they just make tires out of pavement so you can drive on anything? What's up with buttons? What would happen if Nicholson was a gynecologist? There was something there. I need a notepad. Maybe a blazer."
Todd,"Honey, I, I, I don't know when I'll be home."
Shirley,How could you guys hate me more than Pierce? Or anything more than Pierce?
Pierce,"Thin ice, Shirley. My friends and I are not gonna let you drive a wedge between us."
Britta,Shirley has a point. This list stinks like a butt convention. How else could you explain Troy being so unpopular?
Troy,"Uh, I think I was the popular one in our pairing."
Britta,"Oh, Troy. Fine, why don't I just go work with Todd?"
Todd,"Hey, that's cool, whatever gets this project done."
Jeff,"Oh, wow, what a great guy. I can see why all of you like him so much more than me."
Annie,"Jeff, maybe it's just that no one wants to carry you all year."
Jeff,"Gee, you're right, Annie, it's not personal. I mean, it's not like people really like you. You're just a good grade in a tight sweater."
Annie,You're just a bad grade in a tight sweater. And who the hell are you always texting? Everyone you know is here.
Todd,"Okay, let's all just take a breath..."
Annie,"Don't get your number four stink on this, Todd. Okay, let's focus. We're all the same people we were 12 hours ago. Maybe we should just revert to our original pairings."
Abed,"But I thought you didn't want to carry Jeff. Oh, you just don't want to work with Shirley."
Shirley,"You too, brute?"
Annie,It's just...you're a creationist!
Shirley,What?
Annie,You're so religious. How are you gonna do science experiments if you don't even believe in science?
Shirley,"Just because someone's religious doesn't mean they have a problem with science. And certainly, if an introductory biology course at a community college can refute 2,000 years of miracles..."
Study Group,Groan!
Shirley,And what about Britta? She's not gonna dissect anything.
Britta,"Fine, you got me, I won't dissect anything with a face."
Abed,What about worms?
Britta,They have tiny little faces.
Annie,This is why you're the stupidest!
Britta,"If loving worms is stupid, I don't wanna be smart."
Annie,"It is, and you can't be."
Jeff,"Guys, I just figured it all out."
Troy,"Pierce, wake up, Jeff is gonna heal us."
Jeff,We have been looking at this totally wrong. There's no way I'm unpopular. One of you monsters just put me last in a petty attempt to humble me.
Pierce,"Grunt! I just had a terrible nightmare that Jeff was a pompous ass. Also Todd was there. Uh, no offense, Todd."
Chang,I'd poked my nose where it didn't belong. Someone or something had sent me a message. Veronica. It was my fault she had gotten mixed up in all this.
Jeff,"Uh-uh, Todd."
Todd,Pretty sure I heard a fire alarm.
Jeff,Nobody's going home until we see those ballots.
Britta,See the ballots? Are you crazy?
Jeff,I say let's lay our cards on the table and see what everyone really thinks of each other.
Britta,"Get behind me, Abed."
Annie,"Jeff, stop it!"
Abed,Pass!
Jeff,Give it to me!
Britta,"No, get back, get back! I am doing this for all of us."
Shirley,"Oh, no, she's got her marijuana lighter."
Jeff,Don't!
Study Group,Noooo!
Todd,The turtle is in there!
Britta,"Oh, my God, I am so sorry!"
Todd,What is wrong with you people? Huh? I thought you were supposed to be friends! I thought you were supposed to love each other!
Jeff,"Well, he is right about one thing. You're all terrible people. And I don't care about this stupid assignment. I'm going home. No, I'm not, I'm going to Biology class. It starts in 15 minutes."
Vicki,"And eventually, this caterpillar will come out of its cocoon. And then..."
Magnitude,"Pop, pop!"
Kane,"Nice work, you two. You know they're laughing at you, right? I mean, that's my theory. Now, super group. I can't help but notice a sorry lack of terrariums."
Britta,We didn't have time to finish.
Annie,Here's mine.
Jeff,When did you even have time to do that? You're pathological.
Annie,It's too late for flattery.
Jeff,"Professor, obviously this isn't working out. You're just gonna have to put us with our original lab partners. All right?"
Kane,"I don't have to do anything. Not after you broke my boy Todd. That man called me crying this morning. You know he fought in Iraq, right? We had a name for people like you in prison. We called you ""the mean clique."""
Annie,Gasp!
Kane,"But I have a solution. All seven of you will share a microscope, one bench, and one grade that I will average. Everyone else gets their own stuff."
Annie,So can we get an extension on the first assignment?
Kane,No. You all fail.
Pelton,"Oh, my God. How did this happen? And did I miss the firemen?"
Chang,"Dean, the explanation is simple. It's all connected. A web of conspiracy that goes all the way to the top of Arizona."
Pelton,All...right.
Nunez,"Hey, somebody's been squatting in the utility closet. There's a hot plate back there, thousands of matches. I mean, we're looking at dozens of major health and fire code violations. I think we're gonna have to get the police involved."
Pelton,And that's when it hit me. I was in really big trouble.
Nunez,Dean. Dean?
Pelton,"Oh, uh...no. No need to get the cops. With a conspiracy this big, they're probably involved."
Nunez,What?
Pelton,"What Chang says makes a lot of sense, and, um..."
