character,line
The Germans,Woah!
Annie,"Happy Friday, everybody. What are you doing this weekend?"
Pierce,"The question is, who am I doing this weekend?"
Jeff,He's asking because he's already forgotten. It's nobody.
Britta,I'm volunteering at the animal hospital.
Shirley,Aw.
Troy,Animal hospital?
Abed,The animals are the patients.
Troy,That makes sense.
Britta,"Yeah, Dr. Zizmor's letting me work off the cost of Daniel's eye surgery."
Jeff,"Wait. You won't spend money on a name-brand phone, but you got lasik for your geriatric cat?"
Britta,"He only has the one eye, Jeff. I can't exactly buy him a cat monocle, can I? It's pretentious. And for your information, this is a Totorola."
The Germans,Woah! Yey!
Abed,"Troy and I will be having a very special Saturday night, as in"
Troy,"It came! Our limited-edition, $299"
Annie,"""Abed is Batman now, Christian Bale."""
Abed,It's official.
Troy,From the man himself.
Abed,"May I have that back, Annie? Thank you. And just to clarify, if you see this lying out, I'm still using it, so you don't have to take it to the kitchen, dump it out, and wash the bowl."
Annie,Is this about your buttered noodles?
Abed,I didn't say that.
The Germans,Ah! Yeah!
Garrett,Aw!
Juergen,In your face!
Lukas,Your tears reveal your weakness!
Jeff,What is it with those tools and foosball? They've been at it for weeks.
Abed,I think they're European. It's probably a more important game over there. Foosball's like the soccer of ping-pong.
The Germans,Eesa! Eesa! Eesa! Eesa!
Jeff,I can't take it anymore.
Shirley,"Oh, Jeffrey, let them be."
Jeff,"Gentlemen, my name is Clarence Thaddeus Foos. My grandfather, Fletcher Morton Foos, invented this game for one purpose. To have the loudest, dumbest happen. Now it has. The game of foosball is completed. You're free to return to your undoubtedly hearing-impaired families."
Karl,"Tell you what, we'll stop playing, if you can score a point on us."
Jeff,"Tempting, but then wouldn't I be playing foosball? And, if so, how would I not be a loud, weird knob?"
Juergen,Free shot. I'm not even touching the foosenschaften.
Jeff,"Sorry, luftballons. I'm above it."
Karl and Lukas,"Oh, yeah! Booyah!"
Juergen,I wish there was a word to describe the pleasure I feel at viewing misfortune.
Lukas,It's the face of a broken man.
Britta,"Jeff. Smile. Uh, uh..."
Shirley,Oh!
Britta,"They, uh, they come in a six-pack."
Annie,"Oh. Buttered noodles. I'm allowed to throw out the dust, right? Yeah. Gasp!"
Troy,What's wrong?
Annie,"I, I..."
Troy,Why?
Annie,I stepped on it.
Troy,Why?
Annie,I was dusting the TV.
Troy,Why?!
Annie,I can run out and get a new one before he gets home.
Troy,"Oh, sure, Annie. And, and then we just have to record fake exclusive commentary by Christian Bale. Go ahead, you first."
Annie,This scene was a special challenge to all involved.
Troy,Stop it! That's not a real option! The disc is irreplaceably awesome!
Annie,"What if we got a different disc, and..."
Troy,"Annie, do you know how many sitcoms have done the ""secretly replace a broken, priceless item"" thing? 'Cause Abed does. Abed knows everything, and I know you think you can think your way out of this with your ""thinkiness,"" but don't think too much. You just have to confess. Okay?"
Annie,"Okay. We shot this scene on location...okay, he's right. It won't work."
Shirley,"Jeffrey? What, what are you doing?"
Jeff,"Hmm? Oh. You know, I just thought...next time those deutsche-bags try to show off, maybe I can catch them by surprise."
Shirley,"Jeff, you don't need to worry what foreigners think about you. That's your birthright as an American."
Jeff,"Okay, small confession. I used to love foosball. It was a great after-school game for a lonely kid with no dad. You know, just masculine enough without having to know how to throw or catch."
Shirley,I have seen you throw.
Jeff,"And it was fun, 'til I started getting bullied by people like those Germans. So I quit."
Shirley,"Well, you did the right thing. Foosball is a vile game for vile people."
Jeff,"Shirley, you wouldn't get it. It's a guy thing. It's not a fresh baked pie thing."
Shirley,"Well, I might get it a little. You don't know me."
Jeff,Ho...ly crap!
Abed,"All right, I think I figured out the viewing order. Original version, director's cut, director's cut with commentary, and then original version cool-down."
Troy,"Yeah, we'll see."
Abed,Mm-hmm.
Annie,"Oh, my God, you guys. We've been robbed!"
Troy,"Oh, man. I can't believe we got robbed."
Jeff,"Shirley, Shirley. You have to teach me. Please, help me beat those evil power krauts."
Shirley,"Don't you get it, Jeff? They're not evil people that are good at foosball. They are good at foosball because they're evil. It's an evil game that brings out the worst in us. Like, like out-of-town weddings where the reception's in the same place as everybody's rooms?"
Jeff,"Great. After three years of religious advice and carb-laden pastries, you finally have one thing I actually need, and...I'm sorry. Um, that was rude. It, it shouldn't be so important to me. I'll, uh...I'll see you Monday."
Shirley,"Jeff. Tomorrow, dawn, be in the"
Jeff,"Shirley, you are the best."
Shirley,"Dear Lord, please forgive me. And please have mercy on him."
Leonard,The stakes have never been higher.
Shirley,"Shut up, Leonard. I found your YouTube page. What's the point in reviewing frozen pizza?"
Leonard,You're talking about it.
Shirley,"Well, that is true."
Shirley,"Now, Jeffrey. The key to winning foosball is to tap into your darkness. So, I need you to promise you won't judge the side of me that might come out."
Jeff,Shirley. I'm gonna be perfectly blunt with you. The few times that you've been a little bad are the times I've liked you most.
Shirley,Really?
Jeff,Remember making fun of
Shirley,"Oh, yeah, they were tiny."
Jeff,"Remember what you did to Pierce's hoagie? That was so disturbing, I almost proposed on the spot. Now, come on, show me how to dominate."
Shirley,"All right, Winger, hands on the grips. I'm coming up on your right side in three, two, one! You know why you can't stop me?"
Jeff,Kill or be killed.
Shirley,"I said say it, mumbles!"
Jeff,Kill or be killed.
Shirley,Kill!
Jeff,Kill!
Shirley,Kill!
Jeff,Kill!
Shirley and Jeff,Kill!
Jeff,Yeah! You called me turkey. I love it.
Officer Cackowski,Sorry we couldn't get a car over here until now. Our captain was killed on duty last night.
Annie,"My God, I'm so sorry."
Officer Cackowski,Yeah. Good man. Leaves behind two kids and a pregnant wife. So you're missing a
Abed,My
Officer Cackowski,"Well, there's no sign of forced entry on your door or windows. You sure it wasn't just misplaced?"
Annie,Someone definitely broke in. Some of my jewelry's missing.
Troy,"You sure about that, Annie?"
Annie,"Mm-hmm. My necklace. It was gold, white gold, with emeralds. And my name engraved in Hebrew. It was a bat mitzvah gift from my Nana. She was a rockette. She married a count. He was blind. He loved her for her mind."
Officer Cackowski,"That's good color for the report, but I got to be honest, small stuff like this almost never turns up."
Annie,"Oh, no, Abed."
Officer Cackowski,We'll be in touch. Say...you look familiar. Did I ever pretend to shoot
Annie,"Well, I guess the only upside to this is it's brought us closer together as roommates."
Abed,"Something doesn't add up. If there was no forced entry, it had to be an inside job."
Annie,We don't know that.
Abed,"And instead of taking cash, pharmaceuticals, laptops, they take what? My"
Annie,Nana gave it.
Abed,"It's smoke. It's a ruse, a lie."
Annie,Hmm?
Abed,I think I know what happened here.
Annie,"Abed, I..."
Abed,The landlord did it. It all makes sense.
Annie,Hmm.
Abed,Something's got to be done.
Troy,"Oh, let's not leap to thing-doing. Right, Annie?"
Annie,Aaah?
Shirley,Double strike.
Jeff,Got it.
Shirley,Back blast.
Jeff,Boom!
Shirley,Viper shot.
Jeff,Nailed it!
Juergen,"Oh, look. How cute. You do like foosball. You just have to practice with your mama."
Jeff,What are you guys doing here on a Saturday night? Shouldn't you be making weird art movies or well-engineered cars?
Lukas,You take that back!
Juergen,We came to play. Get away from our table.
Shirley,"We're using it, strudel-brain."
Jeff,Nice.
Juergen,Then play us for it.
Shirley,Fine. Monday morning. Only let's make it interesting. The losers never get to use this table again.
Juergen,"Oh, you are so on that things have now become very much like Donkey Kong."
Jeff,We're gonna kick das butt.
Shirley,Nice.
Jeff,Thank you.
Juergen,Enough teutonic punnery. Monday morning you get this...
Jeff,"Were you guys walking around with a soccer ball just so you could do that? They left the ball and everything. I think they were literally walking around with it like a prop to use. That's, like, a $25 dollar bit, and it's not even that good."
Troy,"You have got to come clean, okay? I don't know what he's doing in there, but it feels dramatic."
