character,line
Jeff,It's open!
Annie,Look at us. Our group's first grown-up Christmas party. Thanks for hosting. I hope you don't mind. I brought a few things just to make the place look a little less short-term corporate housing.
Jeff,"Oh, well, mi casa es su art project."
Annie,"Cool. Figured just a little something there, a little juge right there. Just a few things to add a little Annie."
Jeff,"Annie, do we have to have another talk about you wanting to play house with me?"
Annie,"Sha. Sha-na-not. I'm just decorating for a party. Oh, I saw these curtains, and I couldn't resist. Let's just live with them for a night. We can totally return them."
Jeff,"Oh, let's totally return them."
Annie,Jeff. Live with them for one night.
Jeff,"Actually, these will also work for Valentine's day, Presidents day, whenever people get to see it. Annie, what is this?"
Annie,"Oh. I know we said no gifts, but I couldn't resist."
Jeff,You realize you've just put your friends in a very awkward position. A gift creates obligation.
Annie,I don't see it that way.
Jeff,"Well, I do, and I think the others will too."
Shirley,"Merry Christmas. I know we said no gifts, but I couldn't resist."
Jeff,"Oh, who couldn't have seen that coming?"
Shirley,"Oh, Annie, I love what you did with the place."
Annie,It's a work in progress.
Troy,"Good tidings, fellow Christmas celebrators. And to all a good wassailing."
Britta,"I know we said no gifts, but we couldn't resist."
Jeff,There's a real problem with resistance in this group.
Chang,"Hi. Thank you all so much for inviting me to my first Christmas. Oh, Annie explained to me that ""no gifts"" means ""bring gifts."" I'm getting it. No means yes."
Abed,"So, this is Christmas. Just this. I was hoping we could do a"
Annie,"Okay. Now that we're all here...oh, wait. Where's"
Jeff,"Oh, sensitivity training with"
Annie,"Oh. Okay. Well, now that we are all here, I have some good news and some bad news."
Troy,Great. Black licorice?
Annie,I have to start with the bad news. It's about our history paper. I heard through back channels we got a failing grade.
The Study Group,What?
Annie,Quendra
Shirley,I'll bet she does.
Jeff,We failed? This is terrible. I need that paper to graduate. Who screwed up their section?
Annie,"Jeff, it doesn't matter."
Jeff,"No, it matters to me. I want to know who cost me my early graduation."
Britta,I didn't do anything wrong.
Abed,I worked really hard.
Annie,"Guys, there's no need to point fingers, because I haven't told you the good news. I invited the professor to our party tonight."
Britta,Annie!
Troy,What? How is that better?
