character,line
Dean Pelton,"Okay, this awkward silence has been going on for days. Granted, Jeffrey looks amazing when he broods, but this has got to stop. Now, I don't know what happened, but we have to get to the bottom of this."
Annie,It's too embarrassing.
Dean Pelton,"I understand. You don't wanna talk about it, and you won't have to. They will talk for you."
Jeff,"Why did you make, have, and bring these?"
Dean Pelton,Mmm.
Jeff,Don't answer.
Britta,It's puppet therapy.
Dean Pelton,Mm-hmm.
Britta,The psychology world has recently embraced it after seeing it on
Dean Pelton,"You'll notice that each puppet is made in your likeness. They were a rush job. It's not like I had them on hand for personal use. Excuse me. Let me just grab this thing that's definitely not a whip. In addition to being adorable, I know firsthand that puppet therapy can and does work."
Kevin,"Uh, Dean, puppet Kevin here thinks I should have a candy bar right now."
Dean Pelton,"No, you know how it winds you up."
Kevin,"Fine. We'll split it. All right. Got money, bro? He's not what he seems!"
Dean Pelton,"Wait. Where's Pierce? I know he's not with us, but is he still with us?"
Troy,"I'm sure he's fine. Although, no one's seen him since he lost his mind in the woods."
Dean Pelton,"You all were in the woods? Oh. Oh, so the puppets are working. Okay. Uh...How did it start? What happened?"
Jeff,We're not playing with puppets.
Dean Pelton,"Oh, Jeffrey."
Shirley,"Dean, what happened is between us and Jesus, and Jesus don't snitch."
Abed,"Yeah, and I don't need a puppet to express myself. I already say whatever I want. But I am a fan of the medium, so..."
Dean Pelton,Ow. Hmm. That's interesting.
Britta,"Guys, are we just gonna avoid making eye contact forever? Who are we, Jeff during sex?"
Annie,Huh?
Britta,Let's just give it a shot and move on.
Jeff,"Fine. If we're gonna play this game, then, unlike sex with Britta, we're gonna do it quickly and with a small shred of dignity."
Britta,Eh.
Troy,Yeah.
Dean Pelton,"Jeffrey, dignity is my middle name, and my first name is Dean-nocchio! Ta, ta, ta, da! Ta, ta, ta, da! Whoo."
Abed,It all started on Friday. Britta was talking about a few of her latest causes.
Britta,"This one's for the Greendale animal shelter, this one's for global warming, this one's for global cooling, and..."
Jeff,This one's for the amount of rubber wasted while making stupid bracelets.
Britta,"That's called rubber flubbing, and it's a real problem. Open your eyes, people!"
Troy,"Britta said, ""Open your eyes, people."" Square."
Abed,Nice.
Jeff,What are you two doing?
Abed,"Oh. We're playing ""Study Group Bingo."""
Shirley,Study group bingo?
Abed,"We've been best friends for four years, so we've fallen into a comfortable, repetitive pattern like humorous misunderstandings on Three's Company or girls gossiping on Gossip Girl. So to liven things up, Troy and I made this bingo chart of the predictable things we say."
Pierce,This game is gay.
Troy,Square.
Shirley,You're mocking us? That's not a very Christian thing to do.
Abed,Square.
Shirley,Oh.
Annie,Can we go back to studying now?
Troy and Abed,Square.
Annie,I don't like this game.
Pierce,Me neither.
Shirley,I think it's mean.
Britta,There's no point.
Annie,"Yeah, it's insulting."
Jeff,"Okay, stop."
The Study Group,Square.
Jeff,Uh. Abed's right. We've had the same conversation a million times. I guess we're kind of stuck in a...
Study Group,Rut?
Jeff,"Yes. But to be fair, there's not many things you could be stuck in."
Annie,Elevators.
Shirley,Bad marriages.
Annie,A peat bog.
Pierce,On a flight in the middle seat.
Abed,Time loops.
Britta,The bottom of a well.
Troy,Your own emotions.
Abed,Quicksand.
Jeff,"Okay, stop!"
Study Group,Square.
Jeff,How did we get so predictable?
Dean Pelton,"And here is our state-of-the-art 1989 library where...oh, look! It is my favorite study group. They all really typify the diversity we have here at Greendale. Uh, ruggedly handsome leading man...a mom, an activist, a perfect student, a lifelong learner, a sidekick, and Abed. Enough foreplay. It's time to move this tour along to meet my good friend"
Jeff,"Look, the problem isn't us. We're awesome. The problem is Greendale. It's pulling our strings, and we need a break."
Abed,"Yeah, our Ferris Bueller needs a day off. Hey, whose dad has a vintage Ferrari?"
Annie,"Abed, a"
Shirley,"That's a good idea, Annie, but there's one problem. Where would we go?"
(various singing),"Where? Where would we go? We can go anywhere that you know. Could we travel through time? Or maybe see France? Or anywhere else naked ladies will dance. Could we fly in a booth? Could we go to church camp? I'd rather stay at Greendale. Could we ride a hot air balloon? Yes! Now that's an adventure. We should go soon. We could go anywhere in a balloon. Yes! That's an adventure. We can go high. We can see anything up in the sky. Yes, now that's an adventure. Pierce bring your dentures. We're so thrilled because soon, we'll be in a hot air balloon. Awww, awww, awww."
(singing),"Hey, guys. I'm the balloon guide. Before we take off, I'm gonna check the balloon ties. Look at the burner. Check out the basket. If you have a question, feel free to ask it."
(singing),Could we go to space?
(singing),Could we go to heaven?
(singing),I'd rather fly to Vegas.
(singing),It's getting time to ride the balloon
(singing),"Yes! Now this is adventure about to go soon. We're gonna go anywhere in the balloon. Yes, this is adventure, we're starting to fly. We can see everything here in the sky. This is adventure, there's beautiful weather now outside and we're fine as long as we have..."
Jeff,A balloon guide.
Study Group,"Oh, no! Oh, boy."
Balloon guide,"From now on, no more singing in the balloon."
Kevin,Did I miss it?
Balloon guide,Miss what? Who said anything about a runaway balloon?
Kevin,"Okay, let me process this. No!"
Study Group,"Oh, God. Whoa, whoa. We're really high. I'm really scared of heights."
Jeff,"Guys, what are we gonna do?"
Britta,I had a dream it would end this way.
Dean Pelton,"Oh, Jeffrey, you're on a runaway balloon? You could have died. You could have died. How could you almost let him die?"
Britta,"We all almost died, but we all didn't."
Shirley,"You know, plus, a near death experience would've only brought us closer together."
Annie,Good point.
Abed,Although it did get pretty hairy after that especially once Pierce started helping.
Pierce,"Okay, everyone push down with me at the same time. One, two, three! Come on, people. I can't do this alone."
Britta,You can't do it at all.
Pierce,"Oh, look. A downstream."
Study Group,Pierce! No! Whoa!
Troy,"If we fly to heaven, please don't tell my grandpa about me and Britta."
Jeff,This is not good.
Britta,There are so many clouds. It's so dark!
Troy,I can't even see the Landing Strip or any of the other nudie bars.
Shirley,"Oh, heaven, help us."
Annie,We must be a mile above the ground.
Pierce,That's international airspace. We're literally above the law. Jeff can marry any man he wants.
Jeff,"Wait a second, guys. I think we're starting to go down."
Shirley,You see? Prayer works.
Britta,"So does gravity, Shirley."
Shirley,"And you know who invented gravity, right?"
Study Group,Oh. Whoa!
Jeff,"Guys, let's put a pin in the mysteries of the universe convo until we land."
Abed,"Which will be sooner than we thought. We're gaining speed fast, people. Oh! Brace for impact."
Shirley,"Oh, damn you, gravity!"
Britta,"Damn you, prayer!"
Pierce,"Damn you,"
Study Group,Aaaah!
Troy,Has anyone else noticed
Study Group,Aaaah!
Pierce,Maybe I can soften our descent.
Study Group,"Pierce, no!"
Britta,"Bring it to me strong, old man monkey strength!"
Dean Pelton,"Okay. Okay, obviously, that was very scary. Post-traumatic stress is a real issue, but with these puppets giving voice to our feelings, we can begin to heal."
Troy,"Hey, come on."
Dean Pelton,This is gonna be a long and arduous process.
Abed,There's more.
Dean Pelton,"Hey, well, excuse Dean for reacting to the natural lull in your story. I'm so sorry. When you hurt, I hurt. What happened next?"
Troy,Whoa.
