character,line
Student,Ha-ha-ha!
Dean Pelton,"Whoa! What's that sound? Is that the tippy-tapping of secular boots on the roof? Oh, well, it must be yet another sign that it 'tis the season, because rumor has it that non-denominational Mr. Winter is on his way to the student lounge."
Shirley,I am so sick of the dean jamming his PCness down my throat.
Jeff,"Pierce, I'd like to commend you for letting that one go."
Troy,PCness. Now I get it.
Troy,It sounds like pen1s. I just got it too.
Shirley,"Well, it's still Christmas to all of us. And I made you all a little gift, because you're like my new family."
Annie,"""W.W.B.J.D?"""
Pierce,"If that stands for ""What would Billy Joel do?"" I'll tell you right now, he'd write another crappy song."
Troy,"Yeah, in your face, Billy Joel. Who is that?"
Shirley,"It stands for ""What would baby Jesus do? "" And it's to remind us that the real meaning of this season is Christmas."
Britta,"Oh, well, thank you, Shirley. I'm gonna put that in the pocket closest to my heart."
Shirley,"No, no, no. It's a bracelet, you put them on. Everybody put them on."
Mike,"Hey. Hey. You took all the Winter-Doodles. What are you, a douche bag?"
Abed,They're for my friends. But there's a lot left.
Mike,No. Only macadamia nut cookies. I have a tree-nut allergy.
Abed,Then you should probably stay away from Christmas-tree-shaped cookies.
Mike,"Ha-ha-ha! That did not even make allergic sense. What are you, an idiot?"
Jeff,"Okay, we get it, you and the A-Team are awesome, now beat it."
Mike,"Oh, look at that. Pretty boy, standing up for bird-face over here. Give me a Winter-Doodle."
Jeff,"If you're trying to be menacing, maybe don't call the cookie by its name."
Mike,"Oh, you're funny, you're a funny man. Wanna hear something funny? Knock, knock. My fist up your ba*ls."
Jeff,Who's there?
Dean Pelton,"Ho, ho, ho! Merry happy."
Mike,"This ain't over. There won't always be a dean around, all right?"
Pierce,"Still waiting on those cookies, Abed. Give me some rope, time in a tree give me the hope to run out of steam somebody said we could be here we could be roped up, tied up, dead in a year I can't count the reasons I should stay one by one they all just fade away"
Abed,"Jeff protected my honor. It was like My Bodyguard, but I was the kid from Meatballs, Jeff was from Full Metal Jacket, and the mustache guy was the brother of the guy in Entourage."
Jeff,Thanks for dumbing that down for us.
Abed,You got it.
Pierce,"What's the deal, Jeff? You leave your stones in your other suit? Why didn't you rap that guy in the face?"
Jeff,For the same reason that I floss and keep my guitar in its case. I'm over 23.
Shirley,"I'm proud of you for handling it peacefully, Jeff. Like a certain little birthday boy. Heh-heh-heh. Real men turn the other cheek. Let's see them."
Pierce,Nonsense. Men were wired to fight each other so women could choose the right mate.
Britta,"No, the real reason men fight is to release their pent-up gayness."
Pierce,"That guy wasn't g*y, he had a mustache."
Jeff,You know what I have? Finals. Are we cramming for Spanish or not? I need a 65 or I'm gonna flunk the class.
Annie,Why didn't you do the extra credit if you knew that you were failing?
Jeff,Because doing more than the minimum work is my definition of failing.
Shirley,Quick question. Are you all coming to my Christmas party right after the final or are you stopping home to change into your Christmas outfits?
Annie,I guess I could wear one of my Hanukkah sweaters.
Shirley,"Ah. Annie, I didn't know you weren't, um, Christian."
Annie,"Yep, one might even say I'm Jewish."
Shirley,"Oh, that's good for you. That's wonderful. I respect all religions of the world."
Abed,I'm Muslim.
Troy,Jehovah's Witness.
Britta,Atheist.
Shirley,The Lord is testing me.
Jeff,"Guys, this is a subject that breeds conflict, can we please...?"
Abed,"What religion are you, Jeff?"
Jeff,I'm agnostic.
Pierce,Agnostic. Lazy man's atheist. I'm born-again.
Shirley,Oh!
Pierce,We had a re-birthing ritual in my friend's hot tub. I'm now a level five Laser Lotus in my Buddhist community.
Britta,"Uh, that does not sound like Buddhism. Are you sure you're not in a cult?"
Pierce,"Just by asking me that question, you put me back down to a level four. You now owe me 2000 Energon Cubes."
Troy,"Do you know how foolish you sound right now? What else do you believe in, blood transfusions?"
Shirley,"Jehovah's Witnesses are a type of Christian, right, Troy?"
Troy,"Yeah, but we don't celebrate birthdays or Christmas, and we can't drink. But it helps."
Abed,So you're like a Muslim. Assalamu alaikum.
Troy,Shama-lama-ding-dong.
Shirley,"Well, don't we have a diverse little family. I say we open up this party to all faiths. I brought my Star of Bethlehem, which led the wise men to the savior of all mankind. And you guys can bring a little trinket or doodad from your philosophies. Sounds good?"
Jeff,"As an agnostic, I'm gonna bring my winning smile."
Chang,Ugh! So boring.
Shirley,"Done. Hee, hee! Feliz navidad."
Jeff,"""True or falso or none of the above?"" That doesn't make any sense."
Mike,"Hey, look at that, Forehead's taking a test."
Jeff,"Why don't you get going, Chuck Norris?"
Mike,Did you just shoo me?
Britta,Why don't you just kiss him already?
Mike,"Dude, I will shoo your nose down your throat."
Jeff,"Señor Chang, can you do something about this?"
Chang,I'll allow it.
Mike,"Qué pasa here, huh? It's usted, dude. Even I know that."
Jeff,"You picked the wrong day to correct my Spanish, No Sleeves. It's on."
Abed,He's doing this for me. He's my bodyguard.
Mike,You wanna dance?
Britta,Maybe to some show tunes?
Jeff,"No, I want to beat the crap outta you, and I'm gonna enjoy it. Because you're like this school. You're obnoxious, cramping my style and you smell like french-fry oil."
Mike,I don't get it!
Jeff,"Three o'clock! Bike rack, but not the one by the parking lot!"
Mike,"Right, the one by the trash cans, near the orange cones, where they're building the wheelchair ramp!"
Jeff,Yeah.
Chang,Best exam ever. That guy's awesome.
Jeff,"So help me, if that jerkweed made me fail."
Pierce,"Well, I aced it, amigo. That means cousin."
Abed,"So, what's my role going to be? Is there a key moment where I finally stand up for myself, take revenge on the villain?"
Jeff,"Uh, maybe you should just hang back."
Abed,"Yeah, I will. In his face."
Jeff,"Whatever you do, don't tell Shirley about the fight. She'll start in with all her mothery guilt-inducing powers. You know what I mean?"
Troy,No. I'm wearing this Jesus bracelet because it gets me chicks.
Pierce,"I know guys like this Mike. He used to be a nerd, now he's a meathead. Dangerous combo. Tyson, Lou Ferrigno, Rosie O'Donnell."
Troy,You're a pretty big dude. You've probably got some moves.
Jeff,"Yeah, I got some theories."
Abed,You've never been in a fight?
Jeff,"Technically, no. I guess I'm too charming and likable. Call me a name."
Troy,I can't.
Jeff,Mm.
Pierce,Are you telling me you've never been punched in the face?
Jeff,"No, thank God. This is the moneymaker."
Troy,"First time I got punched in the face, I was like, ""Oh, no."" But then I was like, ""This is a story."""
Jeff,And a good one.
Troy,Yeah.
Pierce,"Every man should be punched in the face. It's a rite of passage. In my day, Friday night was smoke a doobie, feel up a gal and then get your teeth knocked out by a Republican."
Jeff,"Guys, the plan here isn't for me to get hit. It's for me to hit him."
Pierce,"Oh, then it's settled. We have to teach Jeffrey how to fight. I know a few moves. Troy, I assume you're handy with a switchblade. Abed, you get back to the family tent, try to find a chicken for Jeff to chase."
Jeff,"Guys, I appreciate the enthusiasm, but I think I got this."
Mike,"Oh, well, look who it is. We got Forehead, Old Head, Dumb Head and the Other Head. See you at 3, Forehead. Give me a snowman, dork. See this, funny guy? Huh? Huh?"
Pierce,Classic Rosie.
Troy,Fight lessons in a half an hour?
Jeff,Good plan.
