character,line
Halloween,"A time of vampires, hobgoblins, Draculas, boogens and headless mice. I'm George Takei. You know what? Let's just get to it. How is it? Pretty good taco meat. I wonder how the dean scored this sweet spread."
Dean Pelton,Ah-ah-ah. Chef Gaga never reveals her caterer. And don't try reading my pa- pa- pa- poker face.
Jeff,"It's military rations from an Army surplus store. I didn't read your poker face, you left the containers in the garbage."
Dean Pelton,"Oh, well, um, you guys have fun. I'm gonna go take out the garbage."
Britta,"You may also want to adjust your iTunes setting. When it's not playing an endless loop of ABBA's greatest hits, it's playing what may be your personal voice memos."
Dean Pelton,What?
Dean Pelton,"note to self: Get oil changed. Check Netflix for that movie where Greg Kinnear plays a ghost. No, an angel. And something called Human Centi..."
Jeff,David Beckham. Dragon turtle?
Britta,"T. Rex. Man, I wonder how much effort you put into being accidentally handsome for a costume every year."
Jeff,"Half the effort you'll be putting into eating and drinking. Let me help you, dragon turtle."
Annie,"Guys, Shirley's costume is once again unwittingly ambiguous. I don't know what she's supposed to be, but she's not Miss Piggy. I repeat, she is not Miss Piggy. You're on your own."
Shirley,Hello. Guess who I am.
Britta,Umm. Can't you just say?
Shirley,No.
Annie,"Pierce, are you okay?"
Pierce,Huh? What?
Jeff,"Whoa. Hey, if you get any more sweaty and puffy, your costume's gonna reach authenticity. Oh, I don't understand. Shut up."
Annie,He's acting like the impression of him we do behind his back.
Shirley,"""What?"""
Annie/Britta,"""Where am I?"""
Jeff,"""Where's the black boy in the uniform?"""
Pierce,Leave me alone. Get away from me!
Britta,"Oh, man, just when you think it's funny."
Annie,"Pierce? Okay, okay. Okay. Excuse me, I think my friend is really sick."
Student,I'm not a doctor.
Rich,"I'm a doctor. Annie. Rich, from pottery class."
Annie,"Oh, hey."
Rich,"Oh, hey. Wow, this looks serious. Let's get him over here."
Annie,Okay.
Rich,"Boy, he is just not in very good shape, is he? But you look fantastic."
Annie,"Oh, thank you."
Rich,"Look at you, with your hood."
Women,"Right, between... Oh, my God. What is it?"
Troy,Get away from those hotties.
Troy,"You're safe now. If that thing comes back, I need one or both of your phone numbers."
Woman,"Yeah, right."
Troy,I don't get it. How do you do it?
Jeff,"Well, I'm wearing a $6000 suit, and you spent three days making cardboard robot armor."
Troy,You're saying they feel sorry for you?
Jeff,I'm saying I remind girls less of taking their little brothers to Comic-Con.
Dean Pelton,Rich.
Rich,More? Put her with the others. Hundred and two. This may be food poisoning.
Dean Pelton,"Rich, what did I tell you?"
Rich,To rule out food poisoning.
Dean Pelton,Yes. But also not to say the words out loud.
Starburns,"Who wants to walk my plank, huh? Hey."
Rich,"Okay, I'm ruling out food poisoning. Give me some rope, time in a tree give me the hope to run out of steam somebody said we could be here we could be roped up, tied up, dead in a year I can't count the reasons I should stay one by one they all just fade away"
Chang,Guess who I am.
Britta,Michelle Kwan?
Chang,Wrong.
Jeff,Kristi Yamaguchi?
Chang,"Peggy Fleming. Just been proven r*cist by the r*cist prover. Hey, guess who I am."
Britta,Drink.
Jeff,Have you noticed a weird vibe taking hold of this party? It's like every fifth person is on something seriously hard-core.
Britta,"Yeah, I wonder who's holding the key to your riddle."
Troy,Hey.
Abed,Hey. Where's your costume?
Troy,I'm trying something new.
Abed,"But our costumes go together. And if you're not in yours, I'm just a guy in a spandex suit and a helmet."
Troy,"Well, I'm a sexy Dracula."
Abed,You mean vampire.
Troy,I don't need to know which Dracula I am to be a Dracula. Nerd.
Rich,Your symptoms are progressing even faster than everyone else's.
Annie,"How much of that taco meat did you eat, Starburns?"
Starburns,I didn't eat any. My name is Alex.
Annie,Whatever it is must have transferred through Pierce's bite.
Rich,"My God, I think you're right. Annie, you make quite the little nurse."
Annie,"Thank you, Rich. You're quite a banana."
Starburns,"Jeez, why don't you guys just get a...? DEAN PELTON: But the only people getting sick are the ones eating what I bought at your surplus store. MAN #1: I never said the stuff was delicious, but you can't get sick, it's nonperishable."
Dean Pelton,What about the taco meat stuff? MAN #1: The what?
Dean Pelton,The classic flavor? MAN #1: Huh?
Dean Pelton,The one with the goofy label. Here. MAN #1: What goofy label? What are you...?
Dean Pelton,"""Classified Phoenix. If found, repeat key phrase, echo, tango, x-ray, nine, nine, seven."" Yeah, sounds delicious. Anyway, it looks like taco meat and..."
Dean Pelton,Hello? MAN #2: Greendale Community College?
Dean Pelton,Speaking. MAN #2: This is Special Operations Officer McHenry.
Dean Pelton,Hi. MAN #2: I need you to listen to me very carefully.
Shirley,"Okay, one hint. I'm a beloved character from our childhood."
Jeff,I can't stop seeing it.
Britta,I know.
Shirley,"Leonard, behave. I'm a Christian woman. Leonard, you better back that pumpkin a*s up or I will make a pie."
Rich,"Hey, Jeff. It's me, Rich, from pottery class. Doc Potterywood, remember?"
Annie,"Rich, bigger fish. There's an infection at the party making people act weird and bite each other. We need to coordinate an evacuation without causing unnecessary panic."
Troy,"Holy crap, Leonard's a zombie."
Abed,Zombie attack!
Annie,Never mind.
Student,"Oh, my God."
Jeff,Um. Um!
Dean Pelton,I'm sorry.
Students,Open the door!
Dean Pelton,I've been told we need a little baby quarantine until the Army gets here.
Students,The Army?
Dean Pelton,"I know, right? They said to wait for six hours. Stay strong."
Abed,"Guys, I hate to be the ""we've got company"" guy, but..."
Chang,"Hey, guess who I am. Or don't."
Jeff,Head to the back!
Troy,You punched a lady bee.
Jeff,"Let go of the door, you little b*tch."
Chang,"Welcome. Oh, thank God you're all right."
Jeff,"Shirley, door."
Chang,"Oh, he did it."
Jeff,"Okay, did we lose anybody out there?"
Annie,No.
Jeff,Is anybody hurt? No.
Jeff,"Last question, and I know it's a long shot. Did anybody shut off the dean's playlist? DEAN PELTON: Two percent milk, eggs, deodorant, Puppy Chow, black light, whole milk..."
Jeff,Okay.
Dean Pelton,Cotton swabs.
Jeff,It's officially a waking nightmare.
Dean Pelton,Add Eat Pray Love soundtrack to workout mix.
Jeff,When are the police coming?
Woman,Help is on the way.
Jeff,Hello?
Woman,Help is on the way. Help...
Jeff,Hello? Flavor Flav was right.
Shirley,It's the end of days.
Chang,It can't be the end of days. It's not 2012 yet. It's not the end of days.
Rich,"It's not the end of days. It's a rabies-related pathogen affecting the prefrontal cortex of the brain, causing hyperaggression. It could take years to take over the world."
Annie,How many years?
Rich,"One, one and a half."
Chang,"2012, end of days."
Shirley,"End of days, end of days."
Rich,"Good thinking, Jeff, vertical fold."
Jeff,"You making fun of me? That jacket is worth more than the island you were grown on, Chiquita MD."
Rich,"Chiquita MD, I like it."
Jeff,"Rich, this is a good time to let you know I hate you."
Troy,Shouldn't we be barricading the room?
Abed,I don't know. These guys don't seem so... I will help you.
Rich,"Wait, before you barricade us in, I need to ask if anyone has been bitten."
Chang,You bit? Huh? You bit?
Rich,"This pathogen is spread through bites. If anyone has been bitten and you allow us to seal ourselves in here with you, you're putting us all in danger. All right, go ahead."
Abed,"Nice. Okay, I got the middle. Barricade."
Britta,Are we really just gonna sit here?
Shirley,Army's gonna be here in six hours.
Jeff,Why six hours? Are they hosting the Oscars?
Chang,Damn. And the winner for
Best Adapted Oscar Burn,"Jeff Winger for Oh,"
Snap,The Man Who Went There.
Rich,"Those people don't have six hours. Judging from the temperatures, in three hours, they're gonna suffer brain damage. Three hours after that, they're gonna be dead."
Annie,What? We have to do something for them.
Jeff,Do something for the zombies?
Annie,"If we lower the temperature of the building, would it break the fever and k*ll the virus?"
Rich,It might.
Abed,"I know where the thermostat is, out on the wall. Troy, we have to rise to the occasion like Ripley and kick butt."
Troy,"I'm not Ripley, Abed. I'm a cool, sexy Dracula. I make love to ladies and I survive."
Jeff,I'm with Troy.
Annie,"Guys, those are not zombies. Those are our classmates and they're sick."
Troy,They can make us sick by biting us. The banana said so.
Rich,"It's true. The incubation only takes minutes. You get a stomachache, then your skin turns red. Followed by cold sweats, muscle spasms, high fever. Then the uncontrollable urge to bite uninfected flesh."
Shirley,"Oh, Jesus."
Rich,And I forgot one symptom. Slurred speech.
Jeff,You got bit!
Rich,I felt like maybe I was special.
Britta,Special? You're not special. I'm special. I was bit 10 minutes ago and I'm f...
Jeff,"Oh, great. Nobody's special! Hey, Rich, just so you know, I hate you less now. That's how much I hate your normal self."
Chang,You have to destroy the brain.
Chang,Hamster! A hamster!
Jeff,"Way to go. Run, run!"
Jeff,Head for the stairs!
Chang,Look out.
Shirley,What about Annie?
Jeff,Don't look back.
Shirley,Why not? Oh!
Chang,Shirley. Don't look back.
Abed,We have to go help them.
Jeff,You can't help them by getting bit.
Chang,It's occupied. Occupied.
Shirley,"Oh, this is how I die, as Miss Piggy."
Chang,You're not Miss Piggy. You're Glinda the Good Witch.
Shirley,"You knew? Just so you know, I've always loved Peggy Fleming."
Chang,You're not a r*cist.
Shirley,Mm-mm. Mm? Mm.
Jeff,"Get in. Get in. Oh, cool. A dark basement. I was just thinking we should be doing this in a dark basement."
Abed,"Troy, why did you ditch your costume?"
Troy,"Why bring that up now, Abed? We might die down here."
Abed,"All the more reason to get this ironed out. You called me a nerd. What defines a nerd? Committing to a costume with your best friend, is that what nerds do?"
Troy,"I don't know, because I'm not a nerd, so I'm not taking part in this conversation."
Jeff,Shh! Nerds! Did you hear that?
Jeff,Jeez! It was just a cat. Let's keep moving.
Troy,Holy crap.
Jeff,What is up with that cat?
Troy,Is someone throwing it?
Abed,Let's keep moving.
Jeff,"Let's not keep moving, because there is an insane cat down here."
Troy,But what about the zombies?
Jeff,"Back burner, Troy. This cat has to be dealt with."
Jeff,"There it is, grab it!"
Abed,"Get him. Let's go through there. Door should lead upstairs, the thermostat..."
Jeff,"Enough with the thermostat, Abed. This is not ""pretend playtime, save the world"" time. It's quarter past ""let's get the hell out of this building"" time."
Abed,"There. There's a window. If we climb that dusty fence, we can hoist against the wall and then squeeze through it."
Jeff,I vote we take the door.
Abed,He doesn't wanna dirty his suit.
Troy,For real?
Jeff,"Clothes make the man, Troy. What the...? Hey!"
Jeff,"That's my jacket. My jacket, you're stretching it. You're stretching it!"
Troy,"Go back, go back, go back."
Abed,Don't stop. Keep going.
Troy,"Move, move!"
Abed,"Now drop down, drop down. To the gate, to the gate. Go."
