character,line
Troy,Anyone know how long it takes papier-mâché to dry?
Jeff,Longer than it took Duncan to think up this assignment.
Annie,"I think he's gonna appreciate the work we did expanding our evolutionary chart. Oh, Britta, can you hold up the final stage of humanity?"
Britta,I still think man is gonna evolve into woman. Not a dragon monster with three legs.
Pierce,Three legs?
Jeff,"Well, it's been real. At least the paste smell has. But I have a date to catch. Or should I say a catch to date."
Britta,Oof. I hope you just came up with that.
Dean Pelton,"Look out, drive-by deaning. I'm kidding. Just a non-violent, verbal reminder. The local shelter is having a Puppy Parade this afternoon. ANNIE &"
Britta,Aw.
Troy,"Oh, I wanna lick it."
Dean Pelton,"I expect all of you to lend a paw. Heh, heh. Except you, Jeffrey. I know you've got a catch to date."
Jeff,"Oh, like you're famous for your wit."
Abed,Puppy Parade?
Troy,"I am in. I wanna see if those wiener dogs are born that way, or if they start off normal and then get wiener."
Annie,"Abed, did you pick up my pen? It's purple with a gel grip."
Abed,Nope. I'm strictly mechanical pencils these days.
Pierce,More relatable?
Annie,It was just here.
Abed,"You okay, Annie? Chocolate?"
Shirley,"Do you want me to push you to the parade, Pierce?"
Pierce,"No, thanks. I don't want people to think of me as a handicap. If anything, this chair makes me more than a human. You move it by blowing into this tube. It's the most expensive one. I outbid three hospitals for this baby, and it was worth every penny. Oh. Oh."
Annie,"Wait. Please, just wait. I'm sorry, but I need to know who took my pen."
Britta,"Uh... Sorry, I don't see it."
Jeff,"Yeah, sorry, Annie."
Annie,"No. Not ""Sorry, Annie."" We passed ""Sorry, Annie"" eight pens ago. I keep bringing pens and you guys keep taking them, and I'm afraid I'm putting my foot down."
Shirley,"Okay. Now Annie has made it clear that this is an issue, so from now on, we need to be more respectful of her things, okay? Okay. Cool."
Annie,"Give me some rope, time in a tree give me the hope to run out of steam somebody said we could be here we could be roped up, tied up, dead in a year I can't count the reasons I should stay one by one they all just fade away"
Jeff,"All right, it's not on the floor, so whoever accidentally took..."
Annie,"Not accidentally. Accidents don't just happen over and over and over again, okay? This isn't budget day-care."
Jeff,"Okay, whoever insidiously and with great malice aforethought abducted Annie's pen, confess, repent and relinquish so we can leave."
Troy,"Maybe nobody took it. Sometimes I think I lost something important, and it turns out, I already ate it."
Annie,"I didn't eat my pen, Troy. I know I brought it, and now it's gone. Ah. I took a photo. Aha. Zoom in. See? See? I took this 10 minutes ago. My pen was on the table. No one has come in or out since. One of you has my pen right now."
Jeff,"Annie, it's a pen."
Annie,It's not a pen. It's a principle.
Troy,Not a good time to get gum. Okay.
Abed,Are we going to the Puppy Parade? It's starting to feel like a bottle episode.
Pierce,"Again with the TV crap. Hey, meatball, did you take Annie's pen to make life more like Benny Hill or whatever you do?"
Annie,Abed?
Abed,I wouldn't do that. I hate bottle episodes. They're emotional nuance. I might as well sit with a bucket on my head.
Britta,"Well, I have a photography project to finish. My grandmother's hands aren't gonna take close-ups of themselves. Hasta la later."
Annie,Hmph.
Britta,"Was that ""hmph"" directed at me?"
Annie,"If the ""hmph"" fits."
Britta,"I don't have your pen, Annie."
Annie,I'm always lending you supplies. You never come prepared.
Britta,"If it's so important, have my pen."
Jeff,That's my pen.
Britta,"Whatever, people. They're just things."
Annie,"Since they're just things, I don't suppose you'd mind letting us take a quick look-see in your bag?"
Britta,"I'd very much mind, Annie. There's no such thing as a quick invasion of civil liberties."
Pierce,"Oh, man."
Britta,"It starts with a quick look into someone's bag. Then it's a brisk peek at our phone records. And before you can say 1984, the Thought Police are forcy-worcing you to bend and spread."
Jeff,Bend and spread? Are the Thought Police gonna make love to us?
Troy,Do they find thoughts in our butts? I knew I should've read that book.
Annie,"Britta, stop using the Constitution as a baby blanket. Last week she invoked the Freedom of Information Act to request photocopies of my notes."
Jeff,"Heh, heh. That's pretty good."
Britta,"Well, excuse me for living free."
Pierce,"Come on, stoney, we all know the pen's in your bag."
Annie,"Yeah, come on."
Jeff,"Yeah, come on, just drop it."
Britta,Happy?
Jeff,Not if that's a used Q-tip.
Annie,Ew!
Pierce,Gross.
Britta,"Yes, gross. Welcome to the gross business of martial law. Welcome to what used to be individuality seized and disintegrated by cowardly groupthink. Welcome, my friends, welcome to the machine."
Jeff,"Well, Annie, it looks like you were wrong. Britta does come prepared for one thing. Or six. Big weekend?"
Britta,Can't complain.
Pierce,"Razzle pzazzle. DEAN PELTON: Attention, students. The Puppy Parade is starting on the quad. Better come quick. Every moment, these puppies grow older and less deserving of our attention."
Britta,"Whoa, whoa. Where do you think you're going?"
Troy,"Have you ever gone to a Puppy Parade halfway through, Britta? Uh, heh. It is pointless."
Britta,Then you clearly stole the pen. The Patriot Act cuts both ways.
Jeff,"Actually, it's pretty one-sided. That's the point."
Britta,Here's my point. Whoever the pen thief is just watched me get Guantanamoed. I'd like to know who it is so I can let them know they have lost my trust.
Abed,It's a bottle episode.
Shirley,"Britta, we're sorry we looked at your prophylactic equipment. Your lifestyle mistakes are none of our business."
Britta,"Oh, thanks, Shirley. But now let's rustle through your tampons and wallet so we can apologize to you."
Shirley,I'm sure everybody here knows I don't steal.
Annie,"Have you checked your bag, Shirley? If you took it by mistake, I forgive you."
Britta,"Oh, if I took it, it's larceny. If you find it under mother hen, it's a mistake."
Shirley,Mother hen? I think we're about the same age.
Britta,"Sure, unless time is linear."
Shirley,I'll make your a*s linear.
Britta,That doesn't make sense.
Shirley,I'll make your a*s sense.
Pierce,"Girls, don't get your panties puckered. We all know what we're really thinking. If, and I mean if, the culprit is among us, statistically speaking, it's Troy."
Jeff,"Yes, we were all just thinking that - in 1856."
Troy,1856? What if a ghost took the pen?
Shirley,Please forgive him.
Troy,For what?
Pierce,"For stealing the pen, dummy."
Troy,Why would I take her pen? I don't even like having my own. It's probably under one of Pierce's cast. He uses everything to itch his legs. We're on our third DVD remote.
Pierce,"If I took the pen, I'd say so."
Troy,You probably forgot. Been popping painkillers like Tic Tacs.
Pierce,"Oh, yeah, right. ""Side effects, verbal dysphasia and octopus loss."" I don't see anything on this squirrel about memory."
Shirley,Now I wanna know who has it.
Annie,"Yeah, nice try, Shirley. That doesn't take you off the list. Jeff, you're in charge. I demand you deal with this. There's nothing to deal with. I'll say."
Jeff,"Okay, all right, all right, everyone breathe. You know what this is?"
Abed,Yep.
Jeff,Shut up. This is a normal day with friends who are done studying and a pen that rolled away.
Annie,Rolled away?
Jeff,Or fell down someone's shoe.
Annie,Let's check shoes.
Jeff,"Annie! Fine, fine. Someone in this room is hiding your pen. Wanna know why? They feel terrible. They made a mistake. They waited too long to come forward and now they feel bad. They should. Okay, okay. So, pen thief, we understand what happened, and we forgive you."
Annie,If you confess and apologize.
Jeff,"But here's the trick. Because this person now has no reason not to come forward, if by some chance, I get to the count of three and nobody comes forward, guess what. We have to accept that no one has the pen, don't we? Don't we? Good. So here we go. One. Two. Pierce, you have something to tell us?"
Pierce,"Yes. Is it me, or has it become really obvious that Jeff took the pen?"
All,Yes.
Abed,Definitely could be.
Jeff,"You wanna make a bet, you jerks? Lockdown. Abed, seal the doors. Nobody leaves until this pen shows up."
Abed,I don't like this.
Jeff,"Yeah, tell it to the pen you might have. Gwynnifer? Hi. Yeah, it's me. I can't make it. Well, tell your disappointment to suck it. I'm doing a bottle episode."
Jeff,Okay. You just became my hero.
Troy,Thank you.
Jeff,No pen.
Annie,I can see. Why do you keep taking that tone with me?
Britta,"Oh, I'll field that. If nobody else has this pen, it means you realized you had it and were too embarrassed to say, and we get to k*ll you."
Annie,"I'm not hiding my own pen, you paranoid weirdo. Everybody stay within each other's eyelines. One of you is a monster."
Abed,"Me next, right?"
Britta,Hold on. Can we please consider the threshold that we are crossing? We don't trust Abed?
Annie,He shredded my backpack.
Troy,He freed my pet monkey.
Britta,Because we corrupted him. He's our innocent.
Jeff,He put gum in your hair.
Britta,"Empty the bag, Abed."
Shirley,"Pierce, you don't have a bag?"
Pierce,Giraffe.
Shirley,"Uh, Jeff, you don't have a bag?"
Jeff,"Oh, I'd never deprive the world of the part of my chest the strap would cover."
Abed,"Makes sense. What's left, Shirley, a little hugging and crying, then we're done?"
Britta,"Wait, Abed, why is my name in here?"
Abed,That's mine.
Britta,And Shirley's and Annie's?
Annie,What is it?
Britta,"Charts, some kind of calendar?"
Abed,That's my personal private business.
Britta,"Annie, 4 on, 28 off, next November 10th. Britta, 5 on, 27 off..."" Oh, my God. Are you charting our menstrual cycles?"
Annie,What? Gross.
Shirley,"Abed, this is so personal. And so accurate."
Annie,"Abed, this is really creepy. I don't understand why you would do this."
Abed,"I can explain. Oh, I thought you'd keep yelling over me. Okay, I can explain. You know I have trouble reading people, say the wrong things sometimes, and I noticed it was happening more often with you three. I noticed fluctuating patterns and started graphing them and by the time I realized what I was measuring, it had started to yield positive results for everybody, so I kept doing it."
Annie,Were you ever gonna tell us about this? I feel so violated. Thanks.
Abed,More chocolate?
Annie,Aah! Get away from me.
Pierce,Abed just became my hero. Can I have a little...?
Girls,No!
Pierce,Sheesh. Guess it's true what they say about the sync-up.
Abed,"If I could share a few words of sarcasm with whoever took this pen. I wanna say thank you for doing this to me. Thought I'd have to suffer through a Puppy Parade. I prefer being entombed in a mausoleum of feelings I can neither understand nor reciprocate. Whoever you are, can I get you anything? Ice cream? Best friend medal? Anything? Mm-mm? Okay, sarcasm over. You're last up, Shirley. Dump your comedically huge bag and end this."
