character,line
Dean Pelton,"Agnes, cancel my appointments."
Agnes,What appointments?
Dean Pelton,Wishful thinking.
Annie,"It's called, """
Alternative Energy,"The Key to a Brighter Tomorrow."" Notice all the animals wearing sunglasses?"
Abed,Because it's a brighter tomorrow?
Annie,Yeah.
Shirley,My boys are in elementary and don't make as many dioramas as we do.
Annie,"The Environmental Club is making them for Green Week. This afternoon, in the cafeteria, we're having a Bio-Diorama-Rama. I heard one kid made a diorama about a world without dioramas."
Troy,I sleep over at your place tonight?
Abed,"Totally. We're both done with classes, we can start the sleepover now. Let's get in our pajamas and build a blanket fort."
Britta,A blanket fort. Wow.
Abed,You can come hang out with us.
Britta,"Uh, thanks, but I think I'll find something more grown-up to do."
Troy,"Hmph. Okay, enjoy eating fiber and watching The Mentalist."
Shirley,"Britta, that wasn't nice."
Britta,"I'm sorry, Shirley. But who wants to hang out in a blanket fort with grown men in tiny Underoos?"
Dean Pelton,"Hello. So, Jeffrey, I was just looking over your class schedule."
Jeff,Why?
Dean Pelton,"Uh, maybe it was a random spot check. Maybe it was a specific spot check. Maybe I'm making a scrapbook. The point is, you will not be receiving credit for your independent study: ""Conspiracy Theories in U.S. History."""
Jeff,What? Why not?
Dean Pelton,"Because the class doesn't exist and neither does the teacher, Professor Professorson?"
Jeff,"What? That's his name, it's Dutch. I think it means professor."
Dean Pelton,I think it means poppycock.
Britta,The ultimate Jeff Winger blow-off class. The one that doesn't exist.
Dean Pelton,"Now I have to audit an entire system for shenanigans, which means, bye-bye, weekends. Bye-bye, writing at Starbucks till a certain Persian barista asks me about my novel."
Annie,"God, Jeff, it's one thing to blow off regular classes, but this devalues all the credits I work very hard for."
Jeff,"Can I defend myself and say this is nuts? I've been meeting with this professor, in his office, every Wednesday, all semester."
Dean Pelton,Professor Professorson?
Jeff,Yes.
Dean Pelton,Really? You're gonna commit to this?
Jeff,Commit to what? Reality?
Dean Pelton,"Okay, then, please, lead me to Professor Professorson."
Jeff,Gladly.
Annie,This I got to see.
Dean Pelton,"I have always dreamt of playing charades with you, just not like this, and not on dry land."
Troy,You thinking what I'm thinking?
Abed,"We're too big for this, aren't we?"
Troy,Yeah. But if we went two pillows higher in the corner we could vault the ceiling. Bump up the square footage. Make this a blanket fort for men.
Jeff,"Well, here we are, Professor Professorson's office."
Dean Pelton,Oh. Oh.
Jeff,I don't know what's going on. Believe me. I've spent a whole year studying conspiracy theories with Professor Professorson right here. Wait. Of course. Conspiracy theories. This is a test. He's teaching me about real conspiracies by erasing his existence.
Annie,"My God, do you know what this means? That's how stupid Jeff thinks other people are."
Dean Pelton,"I always knew you were lazy, but I didn't realize you'd stoop to such pathetic lies."
