character,line
Annie,Wow. They found a way to make the human being even creepier. Covering him in icicles.
Shirley,I think it's festive.
Jeff,"Yeah, my favorite Christmas tradition is trimming the hellraiser."
Abed,"Guys, I found something we can watch together for Christmas this year. The long-lost 1981 Inspector Spacetime Holiday Special. Run time two and half hours and so critically reviled that after it aired, the creator has his knighthood revoked."
Troy,"That sounds terrible. I want to watch it twice, but I'm spending Christmas with my relatives. Or rather, I'm spending the day with my relatives while they refuse to acknowledge Christmas."
Shirley,You Jehovah's Witnesses- so severe. Andre and I will be spending Christmas giving gifts to the more persuadable of our Jewish friends.
Annie,"I wouldn't call an unannounced visit from your pastor ""a gift."" And don't bother this year. I'll be at the movies with my bubbe."
Troy,You're not taking both of them?
Annie,"Well, one's dead."
Troy,What?
Abed,I was looking forward to hanging out with you guys this Christmas. This semester has been so long and dark and angry. I was thinking we could have some light-hearted fun as a family.
Jeff,"I think what we've learned, Abed, is that attempts to make the holidays brighter tend to give them a certain darkness."
Shirley,"Oh, I don't know if I agree with that."
Glee Club,Deck the halls with boughs of holly
Shirley,"Actually, maybe I do. Heads up. Glee club."
Glee Club,"'tis the season to be jolly fa la la la la la la rock on! Merry Christmas, Greendale. Glee club here, reminding you that our Christmas pageant is coming. Next stop, regionals! I said deck"
Troy,Please tell me we were not this obnoxious the year we filled in for them.
Annie,"T-minus five seconds till hip-hop remix. Four, three."
Glee Club,Come on! Re-re-re-remix! Re-re-re-remix! Fa la la la la f-a l-a come on whoo
Britta,"You're awfully quiet, Jeff. Nobody hates the glee club more than you."
Jeff,Today I'm just content to sit back and enjoy the show.
Glee Club,"And now our pop music mash-up! Elton Lil' John Lennon! Kick it! Hey, tiny dancer! Okay!"
Chang,Stop! Cease and desist.
Jeff,"Glee club, meet ASCAP, protecting musical copyrights since 1914. It appears they have received an anonymous tip that unlicensed material was being performed here without the artists' permission. Merry Christmas, everyone. Glee club just became history club."
Glee Club,My soul is dead!
Shirley,Oh!
Jeff,"Okay, if anyone asks, we were never here."
Glee Club,"Why? Give me some rope, time in a tree give me the hope to run out of steam somebody said we could be here we could be roped up, tied up, dead in a year I can't count the reasons I should stay one by one they all just fade away"
Dean Pelton,"The glee club is at Westside Hospital, recuperating from a collective nervous breakdown. This is the second glee club we've lost in two years. We might have to cancel the Christmas pageant. And to think they were this close to regionals."
Pierce,What the hell are regionals?
Dean Pelton,"They're this close, Pierce. Anyway, an old friend wants to talk to you. Your favorite Glee Club instructor, the dreamy and boyish Mr. Cory Radison!"
Mr. Rad,"Oh! Uh, I thought I told you to call me Mr. Rad. Or Cory. Just don't call me ""late to dinner."" Unless you're serving brussels sprouts!"
Dean Pelton,"I won't, I promise!"
Troy,This guy's like human froyo.
Mr. Rad,"Look, when the last glee club died in that bus crash, you guys stepped up. And you were the best gosh darn emergency substitutes I've ever worked with. SHIRLEY &"
Annie,"Aw! MR. RAD. Well, this time... I'm not gonna kid you. It won't be easy."
Dean Pelton,Oh!
Mr. Rad,"Your best... Won't be good enough. And ten times your best will be so bad, I will yell at you. But I promise, if we dig down"
Jeff,Pass.
All,Yeah.
Mr. Rad,Okay.
Dean Pelton,Don't you hurt him. Mr. Rad!
Annie,I feel like we let Mr. Rad down.
Jeff,"No, he let himself down when he left the house this morning wearing a sweater-vest."
Shirley,I guess we did have fun last time.
Troy,"Did we? I can hardly remember. It's all a weird, happy, musical fog."
Britta,"Yeah, it was almost like being on ecstasy, only instead of having pointless conversations and dancing like idiots- wait. It was exactly like being on ecstasy!"
Jeff,"That's what worries me about this guy. He is equal parts Hanson and Manson. Nobody let him corner you until he is out of recruitment mode, or next thing you know, we'll all be caring about Christmas pageants and... Regionals."
Britta,"You're right, deal."
Annie,Ugh. Agreed.
Troy,Got you.
Pierce,What the hell are regionals?
Abed,What are you still doing here?
Mr. Rad,"I thought I'd give her one more tinkle before I took down decorations. No glee club means no pageant, means no Christmas."
Abed,I'm sure trying to make things brighter just would've made more darkness.
Mr. Rad,"That sounds like a certain ex-lawyer talking. I see a lot of myself in you, Abed. You care about your friends, and you wish they cared more about each other. That's not an easy position to be in sometimes."
Abed,I just want my friends and I to have a merry Christmas together.
Mr. Rad,"Well, maybe you could start by giving them the greatest Christmas gift of all."
Abed,What's that?
Mr. Rad,Glee! It's a feeling you get when your brain finally lets your heart get in its pants Glee! It's like a drug that you use that turns pain into shoes and your shoes into dance
Abed,How's your piano still playing this song?
Mr. Rad,Glee is the answer when questions are wrong you'll understand if you just sing along 'cause glee is the gift that you need
Abed,Glee is what I'll spread to my friends like a virus that sends them to a healthier place Glee! I'll understand every scene because they'll sing what they mean instead of making a face
Mr. Rad,families are closer when families are winning everything's cooler when cameras are spinning
Both,singing and dancing in unison... in-inning glee is the gift that we need Glee!
Abed,"Thank you, Mr. Rad. Don't break down the set yet. I'm gonna try to get my friends to be in the Christmas pageant."
Mr. Rad,"Thank you, Abed! Thank you."
Abed,"Merry Christmas, Troy."
Troy,"Abed, you look gleeful."
Abed,"Troy, don't you think it might actually be fun, doing this Christmas pageant for the glee club?"
Troy,"Abed, we hate the glee club."
Abed,Yeah. I guess I just like liking things.
Troy,"Abed. Look, you know I'd do anything you did, but... I'm a Jehovah's Witness. We're not supposed to celebrate Christmas."
Abed,"I've been thinking about that. I may have a loophole. What if you were a Jehovah's Witness that was merely pretending to be into Christmas, gathering clues and blending in to take down the holidays from within?"
Troy,"You mean like a spy investigating, making it seem like I'm celebrating, when actually I'm infiltrating Santa's operation?"
Abed,Yoip!
Troy,"Going deep cover past enemy lines making everybody think I'm on the Christmas side rocking warm sweaters, hanging big-a*s lights if the fat man can see me, yo it's gotta look right I'll watch all the tv specials that I never could I'll even cry during the sad ones, like James Bond would and when the big night comes, it's time to set the bait cold milk, hot cookies"
Both,decorative plate
