character,line
Narrator,"A new day has dawn at Greendale Community College. Some said we'd never bounce back after the unfortunate events of the Star-Burns wake riot instigated by the Greendale Seven. But today the guilty parties have been expelled, enrollment is up, and tuition is more affordable than ever. And the architect of this modern-day miracle? Security chief Benjamin Franklin Chang, a man who has brought security, harmony, and success to what is fast becoming the area's premier community college. Greendale's never been better. Thanks, Chang."
Jeff,You see? It's not the real Dean.
Officer Cackowski,Of course. The head of security at Greendale Community College has kidnapped the Dean and replaced him with a deanel-ganger.
Jeff,"Well, when you say it that way, it sounds ridiculous."
Troy,"Yeah, the word we used was doppel-deaner."
Britta,"Look, I hate cops."
Annie,You have to do something. Isn't this a felony? Chang is holding a man against his will.
Shirley,The real Dean never would have expelled us. He loved us.
Officer Cackowski,"Unfortunately, love is not admissible evidence. Oh... Love is not admissible evidence I'm working on a cop opera."
All But Pierce,Cop-ra!
Pierce,Police-ical!
Annie,Fine. We'll get some proof.
Officer Cackowski,"No, you won't. If I catch any of you within 50 feet of Greendale, I'll throw you all in jail. Thanks for the hot water."
Pierce,"Wait, cop-ra! Give me some rope time in a dream give me the hope to run out of steam somebody said it can be here one by one, they all just fade away"
Girl,I'm watching you. Move along.
Chang,How's the planning going for my birthday Chang-stravaganza?
Joshua,"The magician's booked, and the invitations went out to the school board and the budweiser frogs."
Chang,Perfect.
Joshua,"Yeah, um, one little snag. See, we're kind of running out of money, what with all the students dropping out and the cost of your throne."
Chang,It's a prescription throne. I have back mumps. Don't look it up. It's rare. But you might be right. We should free up some revenue for entertainment at the party. Where's my deanel-Chang-er? Fire the custodial staff.
Fake Dean,"Okay. Cool. Do you think I could get out a little early? My wife's getting her braces off, and I..."
Chang,No.
Fake Dean,Okay.
Troy,I love how binoculars make far away things seem like they're close. They're like... TROY &
Britta,Telephones for your eyes.
Annie,Snagged one of those flyers.
Britta,"First Chang kidnaps the Dean, and now he throws himself a birthday party? It's just like Stalin back in Russia times."
Troy,Dance-off? Sundae bar? One of those Ed Hardy street magicians? What kind of monster would... Photo booth with props!
Annie,"Chang's got to be holding the Dean on campus, but there's no way we're gonna get past those guards. We need somebody on the inside."
Troy,I may know a guy.
Murray,"And the air-conditioning repair annex won't admit to any knowledge of what's going on. But the fact is, wherever there is air, we have eyes."
Troy,Gross.
Murray,"Suffice it to say, if Chang were holding your Dean c*ptive, it'd be pretty foolish to hold him on campus. It'd be even more foolish to hold him in a central air room in the cafeteria, which we monitor. DEAN PELTON: Oh, no, Jeffrey. Looks like PB and J again. You win the bet."
Troy,So he's in the cafeteria building?
Murray,"Suppose he is. In the basement. And suppose you wanted to get to him. Suppose you actually managed to make it past the guards at the front, there's 50 more inside, armed to the teeth with stun batons and misplaced sexual aggression. Let's say you happen to get past them and then you get to meet Chang's number one, Joshua, a 4'10"", 105-pound bucket of piss and zit cream. I cannot express to you how much I hate this kid. Now, beyond that dog sneeze in a pair of reeboks, you're gonna find a state-of-the-art keypad on the basement door. And just for extra fun, they change the code every day, and the only copy is locked up in Chang's office. Now, just for a lark, let's pretend you actually make it down to the basement door. Who is there to greet you? Another guard and another lock to which there is only one key. And where is that key?"
Troy,"Well, where is it?"
Murray,"Oh, sorry, it's very clear in my head. Key's around Chang's neck. The point is, you're not getting down there without our help."
Troy,So help us.
Murray,"We have no horse in this race, but... there is one thing we want. Not a lot of people get a second chance. Just you and probably Obama. Give it some thought."
Annie,"Great, so according to Troy's intel, Greendale is impregnable."
Shirley,So what do we do?
Abed,Only one answer. Elaborate heist? Elaborate heist?
Pierce,"We'll need disguises. I do a great swami. Of course it works best with a cobra, but if you guys cut me a length of garden hose..."
Jeff,"Are we all forgetting that if we get caught on that campus, we go to jail? Do you know how long someone as sarcastic as I am would last in prison? Such a long time. There's got to be a practical way to do this."
Troy,"There is another way in. If I enroll in the AC school, they'll help us. We could walk in and out. It'll mean I'll have to move out of here and into AC school housing, and I won't be able to hang out with you guys anymore, or have a relationship, or use the word ""sensational"" for some reason."
Britta,"Troy, we are not losing you to save the Dean or Greendale... Or anything, ever."
Jeff,"Don't be so dramatic, Troy. The answer is simple. We just have to plan an elaborate heist."
Britta,Yes.
Pierce,"Great, I'll get my turban."
Jeff,Everyone except Pierce has to plan an elaborate heist. EUGENE (
Richie),"Happy birthday, Ben. On behalf of the school board."
Chang,Shower organizer? Are you guys psychic?
Carl,Well you deserve it. You have worked wonders here.
Chang,"Oh, you boners. Now go party your butts off. Your butt could use it, Richie. Listen up, men. Keep an extra deep lookout for the Greendale Seven. I won't have them ruining my 25th birthday."
Boy Guard,"Yes, sir. By the way, your cake just arrived."
Jeff,"Shirley will enter first through the loading dock disguised as the chef. From there, she'll head into the kitchen."
