character,line
Scene,Annie's apartment. Britta and Annie are packing up Annie's things in cardboard boxes.)
Britta,"I'm so glad you're moving out of this neighborhood, Annie. Some dude peed on my car while I was parking it."
Annie,"Oh, you met Spaghetti! Yeah, I won't miss him."
Britta,"Speaking of missing people, how did Jeff dodge this b*llet... (looks up at Annie and corrects herself) Of friendship?"
Annie,He said he was under the weather.
Britta,Pshaw!
Annie,Thanks for helping. Can you imagine how much fun this is gonna be? Me living with Troy and Abed?
Britta,"(picking up a stuffed bunny to pack) Yeah, there'll be a honeymoon phase, but it won't be long till you hate their guts. (Baby voice) What's this wittle guy's name?"
Annie,I'll never hate Troy and Abed.
Britta,"Oh, my God, I forgot. You're 20. Don't worry, it's natural. When you become roommates with friends, the things you love about them become the things that make you want to smother them with a pillow."
Annie,But... That's unacceptable to me.
Britta,"Then...I'm lying? (Annie nods vigorously, worried. The door opens and we hear fake trumpeting offscreen, coming from Abed. He enters the room with Troy, both of them wearing matching green T-shirts.)"
Troy,Forgetting something?
Abed,"Yeah. (Troy pulls a real trumpet from behind his back, and Abed takes it.)"
Abed,(quietly) Yes.
Troy,"Hit it! (Abed starts playing the trumpet as Troy jumps around, doing a silly dance. Annie bounces along a little, too.)"
Annie,"(to Britta) Yeah, like I'm gonna get sick of this."
Abed,(ending his trumpeting) Wh-what wh-what? (Annie applauds and smiles.)
Troy,We're here to help you move... on the dance floor.
Abed,Nice! Tweet it!
Troy,Tweeting it.
Britta,What are you tweeting?
Troy,"Everything. We're live tweeting Annie's move on Twitter. Hashtag #AnniesMove. (Troy and Abed both point to their T-shirts, which are emblazoned with the hashtag.)"
Annie,How fun. (Pierce and Shirley enter)
Pierce,(grumpily) How was I supposed to know it was a handicap space?
Shirley,Because the man in the wheelchair was yelling it!
Pierce,"Oh, yeah, and he doesn't have an agenda. (looking around; to the room at large) Hold it. Where's Winger?"
Annie,Sick.
Pierce,Pshaw!
Britta,"Yeah, I'm calling him. (Does so) (Cut to Jeff in the changing room of a clothing store. His cell phone rings, and he picks it up.)"
Jeff,(fake sick voice) Hello?
Britta,"(accusingly) So you're sick, huh?"
Jeff,That's what they tell me.
Britta,"Cut the wit, Winger. Where are you, The Gap or Banana Republic?"
Jeff,"Wow, Britta, you got me all figured out."
Britta,"Well, I can tell you're not in bed."
Jeff,"That's right, Britta. I'm pretending to be violently ill to avoid lifting a few boxes. Because I'm 13. (As he says this, he gestures for an attractive saleslady to come over to his dressing room.)"
Saleslady,"And who's your primary care physician, Mr. Winger?"
Jeff,"Uh, Dr. Schroeder. S-c-h. (As he says this, she takes a shirt from him and hands him a scanner.) Um, do you want to see my insurance card?"
Saleslady,"Please. (Jeff waves at her and gestures for her to leave, which she does.)"
Britta,"Wait, are you at a hospital?"
Jeff,"No, I'm at The Gap. (He beeps the scanner.) You hear that? That's not a heart monitor. It's a machine telling me I'm low on khakis."
Saleslady,"(off-screen) Dr. Tarpenian to radiology, Dr. Tarpenian."
Britta,"Crap, I- I'm sorry. I just assumed—"
Jeff,"(putting the scanner on a nearby shelf) Whatever. I don't blame you. I've lied before. It's probably karma that I'm sick. But believe me, if you had what I have, you'd rather be moving boxes."
Britta,"(contritely) Okay, feel better. Sorry."
Jeff,"Yeah, I'll see you guys on Monday. (Coughs) (Britta hangs up)"
Jeff,(to the saleslady) You are fantastic.
Saleslady,So are you. (flirtily) What are you doing after this?
Jeff,"Probably trying a couple of boot-cuts. But after that... (The saleslady looks hopeful.) Maybe, like, a blazer? (She looks disappointed.) (Opening titles) ***ACT 1*** ("
Scene,"Annie's apartment. Abed, Shirley, Pierce, Annie, and Britta are all packing things up.)"
Annie,(holding an empty tape g*n) How are we out of packing tape?
Abed,"I don't know. I think I left some in the bathroom. (He opens the bathroom door. A smiling Troy is taped to the back of it with a copious amount of packing tape. Britta gives Annie an ""I-told-you-so"" expression as Abed, looking in the bathroom, pretends not to notice Troy.)"
Abed,"(exiting the bathroom) Nope, uh, nothing in here."
Annie,You guys! You used all of it?
Troy,(from the back of the closed bathroom door) I had a big breakfast. (Annie puts down the tape g*n and pulls Britta outside the apartment.)
Abed,Nice. Tweeting it! (Annie and Britta are in the apartment hallway.)
Annie,"(nervous) Okay, there might be a slight danger I will end up hating them."
Britta,"(grinning) Man children... Can't live with them, can't leave them alone with your tape."
Annie,"Britta, don't make jokes! You're bad at it! Also, I can't afford to live anywhere else, (getting increasingly panicked) and everything is riding on this, and I'm out of tape—"
