character,line
The Study Group,...to you!
Pierce,"Well, that was just weird. Why did we only sing the last two words? What happened to the ""Happy Birthday"" part?"
Shirley,"You know Troy is Jehovah's Witness, they don't celebrate birthdays."
Abed,Annie and I did our best to keep the language on the cake compliant.
Troy,"Hello During a Random Dessert. The month and day of which coincide numerically with your expulsion from a uterus. You guys. I never cry, but..."
Britta,"All right, happy expulsion, Troy, but after cake, we cram, for realsies. Finals are coming up."
Jeff,"Yeah, this group is starting to use special occasions to avoid studying. Last week we had fondue and played Boggle because Shirley's niece took her first bath."
Abed,With bubbles.
Shirley,Thank you. It's a milestone.
Pierce,"Funny, because my birthday was last week and nobody noticed. Or cared."
Jeff,Pierce...you don't remember the huge party we threw you? We need to talk about those painkillers.
Pierce,"Gotcha! I remember my party, stupid! That was some party."
Troy,You still owe me for the keg deposit.
Pierce,You think I don't know that?
Britta,Troy.
Jeff,Troy.
Troy,Kickpuncher: Detroit
Abed,"Not everywhere. I have a cousin in Detroit, they're not crazy about it there."
Troy,This is how you turn twenty. Thanks.
Shirley,"Here, let me help..."
Pierce,"I broke my legs, not my gender."
Annie,"While we're... watching this unfold, some birthday facts to enjoy: Troy's birthday is tomorrow, December 4th. Also born that day: Tyra Banks, Marissa Tomei and French cinematographer Claude Renoir."
Troy,Jackpot!
Annie,"On the Chinese calendar, Troy is a horse, like me: Purposeful, self-possessed and gregarious."
Troy,"No, I’m pretty sure I'm a snake. I remember, because I'm determined, self-possessed and mendacious."
Jeff,"Pierce, what is this, what are you doing? Explain yourself."
Pierce,Who made this crappy cake?
Abed,A cake maker. At a cake store.
Pierce,"Well, he did it wrong."
Annie,"Troy. We're 1990, we're horses."
Troy,I was born in '89.
Jeff,Then...you were born twenty-one years ago.
Troy,Which makes me twenty...because everyone is ten for two years. Because fifth grade is really hard...for everyone. MOM! How many lies am I living?!
Britta,"Do you understand, at midnight, you turn twenty-one. As in drinking age?"
Troy,Whoa!
Jeff,"Okay, this party just became unacceptable. We’re going out."
Britta,Yep.
Annie,You guys were just complaining about us having too many parties.
Jeff,Too many lame ones. This is real.
Shirley,What makes it real?
Jeff,"Shirley, think of it as Troy taking his first bath, only the bubbles are his manhood."
Troy,I want to bathe in manhood!
Jeff,I’m taking you to Johnny's.
Britta,Ucch. You mean Douchey's?
Jeff,"Oh, of course you hate cool bars. I don't suppose you’ve even been to Johnny's."
Britta,"Hey, I've never been to Beirut, either,...And I...probably will go there, one day, because I'm sure it has a lot of interesting culture, unlike Johnny's, which is douchey!"
Jeff,Let's hear your suggestion.
Britta,The Red Door.
Jeff,"Oooooh, the Red Hipster?"
Britta,"It's not hipster. Hipsters haven't even found it, it's underground."
Shirley,"Why don't we go somewhere fun, like Peg Leg Pablo's. They have virgin mudslides."
Britta,"They're milkshakes, Shirley."
Annie,"You guys, all you think about is yourselves. Think about me. I'm nineteen, I can't get into a bar."
Jeff,Well...
Annie,"Okay, well...have fun..."
Britta,"Okay, I’ll get Annie an ID."
Annie,A fake ID?
Britta,"It'll be real, it just won't be yours. Meet you at the Red Door."
Jeff,Nice try. We’re not going to Red Poet's Society.
Britta,Not going to Douchey Cologne's.
Jeff,"Fine, on the count of three, name the least offensive bar you’ve ever been to, one, two, three..."
Jeff and Britta,Flannahan's Hole.
Jeff,"Done. Troy, you riding with me?"
Troy,You have to ask?
Shirley,"Pierce, you want to come in my van?"
Pierce,"I'm not a disabled, all right? I don't need people's help to do normal things, why can't everybody stop doting on me and leave me...Good. I'll beat you there!"
Annie,I don't think this girl looks very much like me.
Britta,She's a white brunette.
Annie,So is Anne Hathaway.
Shirley,Go on...
Annie,And what is your friend doing with a stack of other people's IDs?
Britta,Don't know. Sometimes people sell their ID when they're leaving the state and need cash.
Annie,"So this girl's a drifter. A floater. An urchin. Caroline Decker. 20067 Moonfish Lane, Corpus Christi, Texas ...Texas? Do I need an accent?"
Britta,You don't need an accent.
Annie,I'm Caroline Decker.
Britta,Don't do that.
Shirley,I guar-un-tee.
Britta,That's Cajun... (on phone) What?
Jeff (phone),"Flannahan's Hole is closed. That’s not... I'm not being clever, I mean it's out of business."
Britta (phone),"Well, that's what they get for trying to please everyone. So, now what?"
Jeff (phone),"There's a place on Third and Water. It's fun divey but not staph infection divey, it's got either a really gross name or an ironically fancy one, possibly both..."
Britta (phone),Oh.
Britta (to Shirley),Go to Third and Water.
Shirley,"Wait, why? That wasn't the deal."
Britta (phone),Shirley's pushing back.
Jeff (phone),"Why, because they don’t have plastic menus and milkshakes?"
Britta (to Shirley),"Why, because they..."
Jeff (phone),"Don't repeat it, you goon! Look, just... the women are your problem, the men are going to The Ballroom. And now I guess I am being clever."
Troy,"So, plastic menus are bad? See, this is the kind of stuff I need to learn, plastic menus seem like a great idea to me. For when you spill something on them."
Jeff,"You're entering a new chapter of your life, Troy. Sadly, it's the final chapter, but it's also the longest, and if you play it right, the best. You and I are just two guys, now. Peers. Equals."
Troy,So awesome. Maybe later I can drive your car?
Troy,"Hello, former enemy."
Jeff,He's 21 at midnight. Cool?
Bouncer,Happy Birthday.
Annie,Caroline Decker from Corpus...
Britta,"Annie, you don't need an accent."
Annie,"If my ID says Texas, they'll be suspicious..."
Britta,"Look, they're not going to question your ID because you're a hot girl. We're good for business. The hotter you are, the more they'll risk the fine."
Shirley,I don't like this place.
Britta,"You've been clear about that, Shirley. Oy vey."
Annie,Howdy?
Bouncer,Can't be too careful.
Britta,I understand.
Bouncer,Hey Shirley! Welcome back.
Shirley,You don't know me. Hmmm? OK?
Bouncer,Yeah.
Jeff,This place is all right.
Britta,"Yeah, it's OK."
Troy,These pictures must be of all the regulars. You think someday I'll make it up to this wall?
Jeff,"I don't say this often, Troy, but dream a little smaller."
Bartender,Can I get you guys anything?
Shirley,Oh! I'm OK.
Jeff,"Another Macallan's, neat."
