character,line
Troy,Buzzzzz.
Abed,"Hey Buzby, how are you today?"
Troy,"Not so great, Bumbleton. I have a ton of pollen to collect, but I'm really tired."
Abed,Flying a little low? Maybe you should get high.
Troy,Who's this?
Abed,This is drugs.
Troy,Aren't drugs bad?
Abed,No way. Drugs are like special honey. They give you a buzzzz.
Pierce,"Don't call me honey, honey."
Annie,"Pierce, drugs doesn't say that."
Pierce,"You know, I don't say anything, by the way. I mean, I thought this show was about drug awareness. Who's gonna be aware of a character that has no lines? Also, I noticed on page 15 I get flushed down a toilet."
Jeff,Consider yourself lucky.
Abed,"Annie, question. Is Pierce marijuana? And does marijuana help people work faster? I thought it made them just custom-paint their vans and solve mysteries."
Troy,"Also, are you sure that my costume was on backwards? Somehow, I felt more confident before."
Shirley,"I have a question. I don't think my character would say ""tripping balls."""
Annie,That's not a question.
Shirley,"I don't think my character would say ""tripping balls,"" okay?"
Annie,"Guys, let's remember why we're doing this. If our work helps even one kid make better choices, then it will all be worth it. I wish I had seen a show like this when I was younger. It might have helped me avoid my mistakes."
Britta,"Well, we're happy to do this for you, Annie. But I have to say, my school had plenty of shows like this and I think sitting through them drove me to drugs."
Annie,You don't respond to anything appropriately.
Britta,Thank you.
Dean Pelton,"Dean dong. Heh, heh, heh. I'm just checking in to see how the Greendale Anti-Drug Players are doing. Now, I talked to the guidance councilor at San Ramon Middle School and there's gonna be at least fifty little, at-risk rug rats coming here tomorrow for your big world premiere."
Jeff,That's terrific.
Shirley,That's nice.
Pelton,"So, with any luck, we'll get rid of all those Charleston Chews in the vending machines."
Annie,"Um, Dean Pelton, were you hoping to participate in the show?"
Pelton,"Oh, I would love to, Annie but as you can see from my outfit, I have plans. So, off to the airport Ramada."
Troy,How come he gets a front stinger?
Abed,Do you think bees eat their own honey?
Troy,I'm sure they've at least tasted it.
Britta,This guy keeps texting me.
Jeff,You don't like him?
Britta,I don't like flirting in text.
Jeff,"That's like saying you don't work by electric light. If you wanna have an active sex life, part of it's texting."
Britta,I don't remember asking your opinion.
Chang,"Can't talk now. Shirley, since I might be the father of your unborn child, I made you a mix tape. I hope you like Johnny Gill. And since you probably don't have a cassette player, here's a list of used ones on Craigslist."
Shirley,"Britta, are you walking out of this room?"
Britta,"Uh, yeah. Hey, you know that you're gonna have to acknowledge him eventually."
Shirley,I don't know who you're talking about.
Britta,Chang.
Shirley,I know who you're talking about. He doesn't exist.
Pierce,"Um, Annie."
Annie,Ooh!
Pierce,I'm sorry. A word?
Annie,Mm-hm.
Pierce,"I don't know if you know this, but I did TV commercials for"
Annie,Oh.
Pierce,"Heh, heh. I was kind of the Gerber baby of moist towelettes. Heh, heh."
Annie,"That's great, Pierce."
Pierce,Yeah. I've done a lot of acting workshops.
Annie,Hmm.
Pierce,"I do physical comedy, funny dances, foreign accents."
Annie,Accents?
Pierce,Name any country.
Annie,Russia.
Pierce,"Point being, there are many tools I can bring to the table that I think the script may be wasting."
Annie,"Pierce, do you know what I think is really great about this show? The only real star of it is the message."
Pierce,"Right, of course. Is the message Jeff Winger? Becuase he's on every page of this thing, and..."
Annie,I'll see you tomorrow.
Pierce,You bet.
Abed,"Oh, Britta left her phone. She's getting a text message."
Jeff,Let me see. Oh. It's from
Abed,What are you doing?
Jeff,"Dragging Britta, kicking and screaming, into 1997."
Abed,What'd you say?
Jeff,"""There's not much to the cat costume. But can't wait to show you what's underneath."""
Abed,How could you think that's a good idea?
Jeff,I got a better question. How could it not be a great idea?
Annie,"Wha...? Pierce, what are you doing here?"
Pierce,Never mind that. There's a rapist in the hallway.
Annie,"That's my landlord. And if he wanted to rape you, you'd be raped. Did you follow me?"
Pierce,Let me answer your question with two of my own. What are you doing in an apartment above
Annie,"This is where I live, Pierce. It just happens to be above a marital aids store."
Pierce,I don't get it. Aren't everyone's parents rich?
Annie,"Well, I'm not speaking to my parents. After my nervous breakdown, my Mom wanted to put the problem behind us and I wanted to deal with it. So, I went to rehab and she cut me off."
Pierce,What are you living on?
Annie,"I saved. Every penny from babysitting, every birthday check. Every dollar from the period fairy when I was a kid. I guess I thought it would last longer."
Pierce,"Excuse me, what's a period fairy?"
Annie,The fairy that gives you a dollar every time you get your period.
Pierce,Does she still come?
Annie,Pierce!
Pierce,"You know, you and I are very much alike, Annie. We're both realists and we're both cute. And we'd both rather die than let someone else control us. I see the point of this place now. This crap hole is a monument to self-reliance."
Annie,I found the drapes in a dumpster. Can you believe it?
Pierce,"Heh, heh. Yes. You know, I wanna help, Annie."
Annie,"Oh, no, no, no, no, no, Pierce."
Pierce,"Come on, now."
Annie,I'm not taking money from you.
