character,line
Jeff,"Pierce, you made us all drive to a warehouse in the middle of nowhere. You could at least tell us why."
Pierce,"Hey, I know as much as you. I got a letter from the executor of my father's estate. It said to come out here with my seven closest friends."
Abed,You brought six.
Annie,"Well, who else was he gonna bring?"
Pierce,LeVar Burton
Gilbert Lawson,Mr. Hawthorne. I apologize.
Pierce,"Gilbert. Even from the grave, my father's got you by the short and curly salt and pepperies."
Gilbert,My name is Gilbert Lawson. I was
The Study Group,Ew.
Pierce,"All right, all right. It's inheritance time. How 'bout that check, soul brother?"
Gilbert,"Your father did leave you something, but it's more of an activity."
Jeff,Thank you for keeping it as creepy as possible.
Abed,This looks like a multi-player gaming interface.
Troy,I've heard enough.
Pierce,"Oh, that diabolical old fossil face. I asked him for money to invest in video games back in 1979."
Gilbert,Cornelius spent over 30 years developing a video game for you. It was his dying wish that you and seven of your closest friends would play it.
Pierce,LaVar Burton was a maybe.
Gilbert,"So, please, choose a seat."
Abed,Cool.
Jeff,So a 100-year-old man designed a 30-year-old video game? This I've got to see.
Gilbert,"Once you're seated behind your computers, a photograph of you will be taken and an avatar will be made from your likeness."
Troy,I didn't bring my likeness.
Gilbert,"Don't smile. All right, everyone, let's begin."
Troy,Nice!
Abed,Cool.
Troy,Old school.
Abed,"Cool, cool, cool."
Britta,Which one is me? I assume nothing because I'm not racist.
Annie,Aww! We're adorable!
Shirley,Why did this thing take photos if it was going to completely fabricate random body shapes?
Jeff,"That's what I'm saying! My hair looks good, though. Orange button is jump."
Britta,Whee!
Pierce,Which guy am I?
Abed,There's a door here.
Hippie,Peace. Love.
Annie,What's that?
Abed,I think it's a hippie.
Hippie,Peace. Love.
Annie,Aww!
Troy,"Annie, stop ""awing"" everything."
Annie,"Don't be jaded. He's saying ""peace."" Hello."
Hippie,Sex.
Shirley,"Did he say ""sex""?"
Hippie,Drugs. Sex.
Britta,"Oh, my God."
Jeff,"Hold on, I'm coming."
Annie,Oh! Oh! Ow! Ow!
Jeff,Darn! Shoot! Dang it. Um...
Troy,"Jeff, you just murdered Annie."
Jeff,"Well, better than doing nothing!"
Abed,I'm not sure that's the case.
Shirley,That's debatable.
Jeff,"You guys, help me."
Britta,The way you helped Annie?
Hippie,Sex.
Abed,"Before we engage, we should hang back and study their tactics."
Jeff,What?
Hippies,Group sex.
Jeff,"Oh, my God!"
Annie,"Oh, cool, I'm alive. Pierce?"
Pierce,This game makes no sense.
Annie,What happened to you?
Jeff,I don't want to talk about it.
Annie,"Pierce, point the joystick right."
Pierce,So I'm supposed to just guess that? Where are the instructions?
Hippies,Love! Love!
Britta,"Take that! Take that! Yeah, we rule!"
Abed,"Oh, you guys are alive."
Annie,You re-spawn in the
Jeff,"Here, I'll show you."
Abed,Hey!
Shirley,Jeffrey! Shame on you!
Jeff,"""Hang back and study their tactics""?"
Abed,Let him get it out of his system.
Jeff,"Ah, forget it. Let's just keep moving."
Jeff,Now what?
Cornelius Hawthorne,Welcome to Hawkthorne.
Pierce,That's Dad's voice. Dad?
Cornelius,"Piercinald. In 1980, you said that video games, not moist towelettes, were the business of the future. Today, moist towelettes are stocked in every supermarket, while arcade after arcade closes."
Troy,He's got a point.
Cornelius,"Nevertheless, I designed this game to be played upon my death by you and whatever cabal of fruits, junkies, and sluts you call your friends."
Pierce,Her name is Britta.
Cornelius,"Only one player can win... the first to reach my throne inside Castle Hawkthorne. Their reward, Pierce, will be your inheritance."
Study Group,What?
Jeff,His inheritance?
Study Group,What?
Cornelius,"So you see, Pierce, turns out you were right. Video games are important. Ha, ha, ha. Worst son ever!"
Pierce,"Well, great. How do I fight you guys? Which button fights?"
Troy,"Pierce, stop."
Annie,"Pierce, relax."
Abed,"Pierce, stay in the game, stay in the game."
Jeff,"Pierce, calm down. Nobody's gonna fight you."
Pierce,Why not?
Troy,"Because when you're friends with someone for three years, it's weird to steal their family's money."
Abed,And there wouldn't be a lot of sport in beating you. Look at yourself.
Britta,"Yeah, you really do suck."
Gilbert,You're playing the game wrong.
Pierce,Why is
