character,line
Summary,Summer break arrives for the students at Greendale
Featuring,"Leonard, Greendale student body."
Setting,Greendale Community College
Leonard,"School's out, bitches!"
Dean Pelton,"Congratulations, Greendale students! We've pulled off another year and we're still standing. Take that, health inspector, building inspector, foundation inspector, water line inspector, geologist, exterminator, plumber, and dad. Ha ha ha ha ha!"
Featuring,"Jeff, Britta, Annie Abed, Chang, Frankie and Dean Pelton."
Setting,The Vatican
Jeff,Abed. Why bring a metronome?
Abed,I thought the sound might accentuate the anxious idleness of our last meeting's final seconds.
Jeff,"Good job, bad idea."
Frankie,"Okay, that is done."
Britta,Yeah!
Annie,Yay!
Frankie,"There's more! This one is exciting. We have to rename the Save Greendale committee, due to the fact that Greendale is done being saved!"
Chang,You think that's more exciting than summer?
Frankie,"Oh, am I stealing your rays, dude? Come on, it's neat! Our mission is finally accomplished, once and for all, so what do we call ourselves now?"
Jeff,The accomplishers.
Britta,The obsoletists.
Abed,Steven King's dreamcatchers.
Annie,Susan.
Frankie,"You guys are rebelling against yourselves. You get that, right?"
Elroy,"The current trend in branding is unique, simplistic, phonetically memorable gibberish. How about nipple dippers?"
Jeff,I like nipple dippers.
Abed,"Ooh, nippledippers.com is available."
Elroy,Grab that mother.
Abed,Done.
Annie,"Nipple dippers, listen up. Text from the dean. ""Don't leave yet, I'm almost there. Special celebration. Just finished entire semester without wearing a single silly outfit."""
Britta,Oh. I didn't even notice. Good for him.
Dean Pelton,"Oh, oh. Hey everybody! I made it! Obviously, I binged pretty hard there after the bell rang but, I made it! Are you guys going out to celebrate or something? Maybe I'll tag along, it's been a tough year, I could use a drink."
Jeff,We were gonna to Britta's bar whenever Mother time is willing to call it a year.
Frankie,"Okay fine, we're done, happy summer."
Britta,Nipple dippers drink for free!
Frankie,"I'll pay for my drinks, I'm not acknowledging that title."
Abed,Someone owes me ten bucks for the domain.
Elroy,I won't be able to join you. I gotta get on the road to California. I got a job through LinkedIn.
Annie,What? That's crazy! People use LinkedIn?
Elroy,"No, LinkedIn hired me to help figure out why people don't use it. Also, I have an old lady friend I went to high school with who just became un-married last week and I thought I'd look her up."
Jeff,"Wow, you work fast. Or actually, very slow.m Either way, good luck."
Abed,Are you coming back Elroy?
