character,line
Summary,Jeff finds a new blow off class and tells the study group about it. Britta helps Abed follow his dreams.
Featuring,Jeff Winger
Setting,Accounting classroom.
Jeff,"Hey, man. My name is Jeff. I'm trying to lock down the rest of my schedule before the deadline. I heard this class was a cakewalk. Are you passing it? Do you like Dane Cook?"
Student,"Yeah, he's awesome."
Jeff,So far so good.
Eustice Whitman,"Death, so called, is a thing that makes men weep...and yet a third of life is spent in sleep. Open your text books to page 37. Now close them and throw them away. Throw it away! Ha-ha-ha. Throw it away! For those who are new, the motto of this class, carpe diem, seize the day, no tests, no papers. You want an A? Live...in...the moment."
Jeff,Jackpot.
Professor Eustice Whitman,"Take off your shoes. Quick, take off your shoes. Everyone, take your shoes off, throw them away. Throw them across the room over there. Today we learn to walk, get up and walk out the door."
Jeff Winger,"Yes, I'm new, but I'll be old too soon. Carpe diem, sir, carpe diem."
Professor Eustice Whitman,I like it!
Featuring,Pierce Hawthorne
Setting,Group Study Room F
Pierce Hawthorne,Voice command. Voice command. Voice command. Voice command. Voice command. Voice comm...
Britta,Would you please use the buttons?
Pierce,"Okay, grandpa."
Troy Barnes,Achoo!
Shirley Bennett,Oh! God bless you...dear.
Troy,What's so funny?
Jeff,"You guys, I found it. The ultimate blow-off class. Professor Whitman, he thinks he's in Dead Poets Society. There's no tests, there's no work, it's just day seizing. The deadline to enroll is tomorrow. I suggest you all do it."
Britta,"Well, some of us are here to actually learn things."
Troy,I'm in.
Annie,"Me too, it sounds educational."
Shirley,"I'll do it, I love Robin Williams."
Jeff,Abed?
Abed,"Not a fan. In every movie, there's an authority figure that gets mad at him for making people laugh."
Jeff,"No, are you going to take the class?"
Abed,"Oh, I can't. My dad will only pay for classes that will help me run the family restaurant. It's been struggling since 2001, 9/11 was pretty much the 9/11 of the falafel business."
Britta,So your dad has your whole life planned out for you? Are you even interested in falafel?
Abed,I'm interested in making movies but my Dad says all media's western propaganda that negatively stereotypes Arabs.
Troy,"You should see Aladdin, Jafar was a badass."
Shirley,"Yes, he was."
Abed,Yeah.
Shirley,He was.
Britta,"Abed, how much does a film class cost?"
Abed,Seventy dollars.
Jeff,Britta?
Britta,Jeff?
Jeff,Britta.
Shirley,Isn't Abed's dad a hardcore Muslim? They're not as understanding as Christians. You could get your head cut off with a salami sword.
Annie,Shirley! That's the most racist thing I've ever heard.
Jeff,Pierce will beat that in one minute.
Abed,"This is really nice of you. The memo says, ""For dreams."""
Annie and Shirley,Aw.
Jeff,"You guys, are we going to study Spanish, or keep getting involved in each other's personal lives?"
Troy,Achoo!
Jeff,"Hey, Troy sneezes like a girl!"
Troy,How about I pound you like a boy? That didn't come out right.
Shirley,Why don't you leave him alone with his cute baby sneezes.
Troy,You're not my mother.
Pierce,She's not?
Jeff,Twenty-nine seconds.
Summary,"The study group, sans Britta and Abed, attend the Accounting class. Jeff and Britta are confronted by Abed’s father Gobi."
Featuring,"Eustice Whitman, Shirley, Jeff, Troy, Annie and Pierce."
Setting,Accounting classroom.
Professor Eustice Whitman,What's your name?
Shirley,My name is Shirley Bennett.
Professor Eustice Whitman,"Shirley, you get an A..."
Shirley,Oh.
Professor Eustice Whitman,...if you can tell me why you are here at Greendale.
Jeff,(To Troy) What did I tell you?
Jeff,"Okay, but, uh, never again."
Professor Eustice Whitman,Shirley?
Shirley,To get a degree in business so I can sell my baked goods and whatnot on the Internet.
Professor Eustice Whitman,Why...are you here?
Professor Eustice Whitman,To get a degree in business so I can sell my baked goods and whatnot on the Internet.
Professor Eustice Whitman,Why are you here?!
Shirley,Because I wasted 15 years of my life on a man who left me with nothing but stretch marks and a foggy memory of two bland orgasms. And now it's time to get what's mine.
Professor Eustice Whitman,"Day seized. Only when we stop stopping our lives can we begin to start starting them. Miss Edison here, for example, would rather write what happens to other people than live what is happening to her."
Annie,I thought there might be a quiz.
Professor Eustice Whitman,"Well, here's a quiz for you. Why did the pretty young girl die alone, surrounded by sweater-wearing cats who were trained to use human toilets? Get up on your desk. Come on, stand on your desk. Up on your desk."
Professor Eustice Whitman,"She made it. Ha-ha. Everyone, stand on your desks. Up, up, up. Come on. Rise, rise, rise above the programming. All your lives you were told don't stand on your desk. Well, why not?"
Pierce,"(To Shirley) You know, I was very moved by your honesty earlier. Particularly the part about, uh, your husband not being..."
