character,line
Summary,The group arrives at
Featuring,Britta Perry
Setting,Troy and Abed's apartment
Britta,Didn't they say 304?
Annie,"No, 303. I wrote it down twice."
(singing),Troy and Abed's new apartment!
Britta and Annie,Hi!
Troy,Come on in.
Annie,Wow. Okay.
Britta and Annie,Wow.
Britta,What a great place. You guys-- You guys look so fancy.
Thanks. We read a book on how to be the perfect party hosts. Rule number one,dress to impress.
Rule number two,avoid touchy topics like the Negro problem. The book was written in the 40s.
Abed,Yeah.
(from the kitchen),"Oh good, you guys are finally here!"
Britta,Finally?
Abed,Shirley showed up at 3.
Shirley,Time flies when I'm baking.
Troy,"No, it doesn't."
Annie,"Oh, the door downstairs was propped open with this. This is really unsafe. Anyone could've just wandered into your building."
Abed,Like one of our guests?
Troy,I’ll Be right back.
Abed,"Thank you, Troy. Let me give you ladies the grand tour. Bathroom, kitchen, who cares? And this is my scale model of the rolling boulder scene from Raiders..."
Abed,...with actual rolling boulder.
Britta,Ooh.
Abed,Yeah.
Recording,"Adios, Sapito."
Britta and Annie,Ah.
Abed,"Pow. Pretty cool, huh?"
Britta,Super cool. And sexy. Super sexy cool.
Annie,Overselling it.
Shirley,I made pizza!
Abed,But we ordered real pizza.
Shirley,"Well, there's nothing more than homemade. You didn't have some of the ingredients, so I used ketchup and cream cheese!"
Abed,We ordered real pizza.
Annie,"Uh, Abed. Okay, hey! I got you that."
Troy,Bienvenido de la casa chez Trobed.
Jeff,Very nice.
Jeff,"Oh, look, Indiana Jones and the Apartment of Perpetual Virginity."
Troy,"Chop busted, fellow adult. Chop busted."
Pierce,"It's nice. It's not mansion nice, but it's nice. Didn't you use to live in a mansion with me?"
Troy,"Yeah, but this more my speed and century."
Pierce,"It's okay. I've hardly missed you at all since I had you removed from my portraits. Jeff, check it out."
Pierce,"Serbian rum. So strong, it is banned there. Banned in Serbia, Jeff. Let that concept sink in."
Jeff,"Yeah, well, you enjoy. I have to leave early."
Abed,Oh?
Jeff,"Yeah, sorry. I got an invite to the opening of a new club. Look at this place. It's like it was designed for me."
Abed,It was. I made that in Photoshop and mailed it to you a month ago so that you'd keep the night open on your calendar.
