character,line
Britta,"I'm so glad you're moving out of this neighborhood, Annie. Some dude peed on my car while I was parking it."
Annie,": Oh, you met Spaghetti! Yeah, I won't miss him."
Britta,"Speaking of missing people, how did Jeff dodge this bullet...of friendship?"
Annie,He said he was under the weather.
Britta,Sha!
Annie,Thanks for helping. Can you imagine how much fun this is gonna be? Me living with Troy and Abed?
Britta,"Yeah, there'll be a honeymoon phase, but it won't be long 'til you hate their guts. What's this wittle guy's name?"
Annie,I'll never hate Troy and Abed.
Britta,"Oh, my God, I forgot. You're 20. Don't worry, it's natural. When you become roommates with friends, the things you love about them become the things that make you want to smother them with a pillow."
Annie,But...that's unacceptable to me.
Britta,Then...I'm lying?
Troy,: Forgetting something?
Abed,: Yeah. Yes.
Troy,Hit it!
Annie,"Yeah, like I'm gonna get sick of this."
Abed,"What, what? What, what?"
Troy,We're here to help you move...on the dance floor.
Abed,Nice! Tweet it!
Troy,Tweeting it.
Britta,What are you tweeting?
Troy,Everything. We're live tweeting Annie's move on Twitter. Hashtag #AnniesMove.
Annie,How fun.
Pierce,: How was I supposed to know it was a handicap space?
Shirley,: Because the man in the wheelchair was yelling it!
Pierce,"Oh, yeah, and he doesn't have an agenda. Hold it. Where's Winger?"
Annie,Sick.
Pierce,Sha!
Britta,"Yeah, I'm calling him."
(phone),Hello?
(phone),"So you're sick, huh?"
(phone),That's what they tell me.
(phone),"Cut the wit, Winger. Where are you, The Gap or Banana Republic?"
(phone),"Wow, Britta, you got me all figured out."
(phone),"Well, I can tell you're not in bed."
(phone),"That's right, Britta. I'm pretending to be violently ill to avoid lifting a few boxes. Because I'm 13."
Sales girl,"And who's your primary care physician, Mr. Winger?"
Jeff,"Uh, Dr. Schroeder. S-c-h. Um, do you want to see my insurance card?"
Sales girl,Please.
(phone),"Wait, are you at a hospital?"
(phone),"No, I'm at The Gap. You hear that? That's not a heart monitor. It's a machine telling me I'm low on khakis."
Sales girl,"Dr. Tarpenian to radiology, Dr. Tarpenian."
(phone),"Crap, I, I'm sorry. I just assumed..."
(phone),"Whatever. I don't blame you. I've lied before. It's probably karma that I'm sick. But believe me, if you had what I have, you'd rather be moving boxes."
(phone),"Okay, feel better. Sorry."
(phone),"Yeah, I'll see you guys on Monday."
Jeff,You are fantastic.
Sales girl,So are you. What are you doing after this?
Jeff,"Probably trying a couple of boot-cuts. But after that...maybe, like, a blazer?"
Annie,How are we out of packing tape?
Abed,"I don't know. I think I left some in the bathroom. Nope, uh, nothing in here."
Annie,You guys! You used all of it?
Troy,I had a big breakfast.
Abed,Nice. Tweeting it!
Annie,"Okay, there might be a slight danger I will end up hating them."
Britta,"Man children. Can't live with them, can't leave them alone with your tape."
Annie,"Britta, don't make jokes! You're bad at it! Also, I can't afford to live anywhere else, and everything is riding on this, and I'm out of tape..."
Britta,"Annie, listen. Breathe. When I was in Amsterdam, I met this guy who ate too many shrooms and fell out of a window at the Anne Frank house. Oh, no, no, he's fine. The doctor said that the drugs made his body just limp enough to keep him from breaking his neck."
Annie,"Britta, I don't see what your taste in men has to do with my situation."
Britta,"What I'm saying, Annie, is that if you're gonna live with two guys like that, you've gotta learn to go limp. Loosey-goosey. Shake it all up."
Annie,Limp...loosey-goosey. Okay. New Annie. Going with the flow. Loosey-goosey. Is it loosey-goosey or goosey-loosey? Is it hyphenated? You know what? Don't tell me. I don't need to know. Bro...heim.
Abed,"Okay, go."
Troy,Aah!
Abed,Didn't feel it.
Annie,What... a fun use you found for my bubble wrap!
Troy,I know! We have to sell this to the military.
Annie,"Yeah, baby. Yah, babe-eh."
Troy,Here's the other tape gun. Think fast!
Annie,Ooh! You broke my pluggy thing. No worries. That's what the security deposit is for. Hashtag #ThatIsAll.
Pierce,"Oh no, you're not letting some slumlord take your hard-earned money. I'll fix it. I used to do that kind of thing all the time when I was a slumlord."
Annie,"Really, Pierce? My landlord's coming by to do the inspection at 5:00. Do you think you're gonna have it done by then?"
Pierce,"Easy peasy, George and Weezie."
Troy,This is probably the last that'll fit in our car.
Annie,I'll help you. But not in an uptight way.
Shirley,"I'm very concerned about this living situation. I mean, I've seen enough episodes of Friends to know that cohabitation leads to sex, drugs and something a Parade magazine called Schwimmer-fatigue."
Britta,"Good for you, Shirley. What's the saying? If you can't stop 'em, judge 'em?"
Shirley,"Well, somebody's gotta be this group's moral compass."
Britta,"And that somebody has to be you, right? Because by moral compass, you mean Shirley's religion."
Shirley,Well...
Britta,Want a ride?
Shirley,"Well, if this is a forecast of the conversation, I will ride with somebody else."
Pierce,"Don't worry, Shirley. Keep me company while I fix this and I’ll give you a ride over there."
Shirley,Britta!
Dean Pelton,"Well, hey there, stranger! What a coincidence, huh? This is just like that, uh, Lake House movie. I can only assume. Even I have limits."
Jeff,Dean Pelton.
Pelton,"Jeff, it's Saturday. Call me Craig. Off campus, I'm just a Craigular Joe. Ooh, what'd you get? Ah, now I feel like I have to head back out there."
Jeff,"Dean, uh, Craig. It's nice to see you but I actually have to run."
Pelton,"Oh, yeah, you're probably heading to help Annie move. Right? Oh, I follow Troy and Abed on Twitter. Looks like Annie's moving and you're...sick at the hospital? Curious. I might head there myself. I could tell them you said hi."
Jeff,I'd rather you didn't.
Pelton,"Well, maybe I won't have time. Especially if we're doing...lunch?"
Britta,"Yeah, but your religion isn't the same as morality. And calling me amoral because I'm atheistic is religious persecution."
Shirley,How can I religiously persecute you? You don't have a religion.
